"breakdownTime";"employees";"siteTraffic";"errorCode";"topic";"hoursToImprove"
"2022-09-15";7;514443;"403-S2";"mathematics";16,9
"2019-07-15";23;804369;"400-S1";"economics";22,4
"2018-03-15";23;36446;"400-S1";"economics";22,4
"2021-06-27";23;624556;"404-S1";"medicine";40,4
"2018-12-22";21;722065;"404-S2";"economics";31
"2018-01-24";25;505750;"404-S2";"medicine";40,8
"2018-03-20";19;270394;"400-S1";"economics";22,5
"2018-08-29";29;188396;"403-S1";"economics";22,3
"2020-07-02";17;939607;"404-S1";"economics";30,6
"2021-05-15";15;519266;"404-S2";"economics";31,3
"2019-02-27";10;339638;"400-S1";"mathematics";15
"2021-09-27";25;387994;"404-S1";"economics";30,4
"2021-06-24";10;578268;"403-S1";"medicine";33
"2018-09-09";29;380876;"404-S1";"mathematics";22,3
"2019-12-24";8;350946;"404-S1";"economics";31,3
"2018-11-29";13;254171;"404-S1";"economics";30,8
"2021-09-20";8;799200;"404-S1";"mathematics";23,3
"2019-02-05";12;499422;"400-S1";"mathematics";14,8
"2020-04-08";23;908326;"404-S2";"economics";30,9
"2020-08-02";21;583165;"404-S1";"mathematics";22,5
"2021-07-26";17;697821;"403-S1";"mathematics";14,6
"2020-05-12";9;125214;"403-S1";"mathematics";15,1
"2019-10-12";18;124521;"400-S1";"economics";22,6
"2020-08-03";7;988215;"400-S1";"mathematics";15,4
"2021-04-09";24;718895;"403-S1";"mathematics";14,4
"2021-01-15";20;729820;"400-S1";"economics";22,5
"2020-11-14";22;922949;"403-S1";"economics";22,5
"2020-01-11";22;411832;"400-S2";"medicine";32,9
"2018-01-28";17;229032;"400-S1";"mathematics";14,6
"2020-03-04";6;245258;"404-S1";"mathematics";23,7
"2019-05-08";13;708661;"400-S2";"mathematics";15,5
"2021-07-12";6;442308;"403-S1";"mathematics";15,7
"2022-04-02";19;499439;"404-S2";"economics";31,1
"2022-12-27";5;69410;"403-S1";"mathematics";16
"2018-05-03";25;472574;"400-S1";"economics";22,4
"2022-06-01";13;272759;"404-S2";"economics";31,5
"2021-04-25";28;730764;"404-S1";"mathematics";22,4
"2020-09-30";21;473766;"404-S1";"medicine";40,5
"2018-02-07";7;849657;"404-S1";"economics";31,4
"2021-06-27";28;511483;"403-S2";"mathematics";14,7
"2020-10-15";15;252872;"400-S1";"mathematics";14,7
"2019-06-14";16;596737;"404-S2";"mathematics";23,3
"2021-12-31";8;258800;"403-S2";"mathematics";16,5
"2018-11-08";28;556393;"404-S1";"economics";30,4
"2022-08-10";15;909859;"404-S2";"mathematics";23,3
"2020-09-16";18;377657;"404-S1";"mathematics";22,6
"2018-12-02";28;556626;"403-S1";"medicine";32,4
"2021-04-11";14;336193;"404-S1";"economics";30,7
"2018-03-23";26;42948;"404-S1";"economics";30,4
"2019-05-20";12;127578;"403-S1";"mathematics";14,8
"2020-09-09";29;658790;"403-S1";"mathematics";14,3
"2021-07-29";14;872280;"403-S1";"economics";22,7
"2018-09-15";18;39772;"400-S1";"mathematics";14,6
"2020-10-16";24;511536;"403-S1";"mathematics";14,4
"2020-06-05";13;821890;"403-S1";"economics";22,8
"2021-12-30";28;939673;"403-S1";"mathematics";14,4
"2021-07-07";20;87280;"403-S1";"medicine";32,5
"2018-02-02";16;563914;"403-S1";"medicine";32,6
"2022-08-18";9;224657;"404-S1";"mathematics";23,1
"2022-10-04";29;170890;"404-S1";"economics";30,3
"2022-03-07";18;624355;"400-S2";"mathematics";15,1
"2022-10-14";28;363565;"400-S2";"economics";22,7
"2021-11-23";8;235732;"403-S1";"economics";23,3
"2018-02-05";10;989647;"403-S1";"medicine";33
"2020-10-30";22;611511;"404-S2";"economics";30,9
"2022-08-05";9;989188;"403-S1";"medicine";33,1
"2021-02-03";26;486092;"403-S1";"medicine";32,4
"2018-08-01";25;327595;"403-S1";"mathematics";14,4
"2020-05-20";13;147692;"404-S2";"economics";31,5
"2021-06-18";16;799542;"403-S1";"medicine";32,6
"2019-04-16";10;943626;"400-S1";"economics";23
"2020-11-19";27;222348;"400-S1";"economics";22,4
"2020-01-17";28;39681;"403-S1";"mathematics";14,4
"2022-05-09";27;783719;"404-S2";"mathematics";22,7
"2018-12-09";13;183674;"400-S2";"mathematics";15,5
"2019-05-06";21;768819;"404-S1";"mathematics";22,5
"2020-01-31";24;187029;"404-S2";"economics";30,8
"2020-03-12";11;674050;"404-S2";"mathematics";23,8
"2018-02-02";15;52030;"403-S2";"mathematics";15,3
"2019-07-27";16;113724;"400-S1";"economics";22,6
"2022-03-20";24;474277;"404-S1";"mathematics";22,4
"2022-12-21";13;863104;"400-S1";"mathematics";14,8
"2018-01-24";23;412875;"404-S1";"mathematics";22,4
"2021-03-09";12;840685;"403-S1";"mathematics";14,8
"2019-07-12";9;524292;"403-S1";"mathematics";15,1
"2022-11-09";8;294069;"403-S1";"mathematics";15,3
"2019-07-26";14;404088;"403-S1";"mathematics";14,7
"2019-11-02";9;506656;"403-S1";"mathematics";15,1
"2018-04-03";29;857575;"403-S1";"mathematics";14,3
"2022-05-06";21;28088;"400-S1";"mathematics";14,5
"2022-12-09";25;534158;"404-S2";"medicine";40,8
"2021-07-21";5;789203;"403-S2";"mathematics";18
"2022-09-29";26;794256;"404-S1";"mathematics";22,4
"2018-07-10";26;656700;"400-S1";"mathematics";14,4
"2022-01-18";10;607301;"403-S1";"economics";23
"2022-08-14";8;837016;"403-S1";"economics";23,3
"2020-09-06";22;675200;"403-S1";"mathematics";14,5
"2018-06-05";26;766925;"400-S1";"mathematics";14,4
"2020-11-24";6;777017;"404-S2";"medicine";43,3
"2019-08-21";6;919595;"403-S1";"mathematics";15,7
"2019-06-07";19;757486;"404-S1";"economics";30,5
"2020-03-22";6;63568;"404-S1";"economics";31,7
"2022-11-05";6;946014;"400-S1";"mathematics";15,7
"2020-03-26";7;328238;"404-S2";"mathematics";24,9
"2020-02-15";8;64648;"403-S2";"economics";24,5
"2018-09-22";8;863462;"404-S1";"medicine";41,3
"2018-05-16";29;679590;"403-S1";"medicine";32,3
"2020-09-03";14;360212;"404-S1";"medicine";40,7
"2022-12-27";19;774124;"404-S1";"mathematics";22,5
"2022-07-06";7;163949;"400-S1";"mathematics";15,4
"2022-07-24";14;146544;"403-S1";"mathematics";14,7
"2022-07-13";11;411923;"404-S1";"medicine";40,9
"2018-05-03";10;319450;"403-S1";"mathematics";15
"2021-04-14";23;607462;"404-S1";"mathematics";22,4
"2020-10-15";25;482756;"404-S1";"mathematics";22,4
"2020-08-31";6;128069;"400-S1";"mathematics";15,7
"2021-04-27";22;740159;"400-S2";"mathematics";14,9
"2018-02-16";9;45754;"403-S2";"mathematics";16,2
"2021-10-16";14;525984;"404-S1";"economics";30,7
"2019-10-09";14;160436;"404-S1";"economics";30,7
"2022-10-26";23;510070;"403-S2";"mathematics";14,9
"2022-06-28";11;770694;"403-S1";"medicine";32,9
"2020-11-11";28;27901;"403-S1";"mathematics";14,4
"2020-07-26";25;444974;"403-S1";"mathematics";14,4
"2021-09-27";12;828289;"404-S1";"economics";30,8
"2019-10-05";15;687424;"403-S1";"medicine";32,7
"2021-09-09";24;244362;"404-S2";"mathematics";22,8
"2021-05-22";27;161833;"404-S2";"mathematics";22,7
"2018-09-19";19;721764;"400-S1";"medicine";32,5
"2022-11-27";25;65859;"403-S2";"medicine";32,8
"2019-02-25";9;963225;"403-S1";"economics";23,1
"2021-03-30";29;652938;"403-S1";"economics";22,3
"2018-11-05";19;64102;"404-S2";"economics";31,1
"2020-04-28";19;34038;"404-S2";"economics";31,1
"2018-03-06";5;837924;"404-S1";"mathematics";24
"2018-05-20";10;709495;"404-S2";"mathematics";24
"2019-01-03";21;477206;"403-S1";"medicine";32,5
"2021-10-20";23;909853;"400-S2";"mathematics";14,9
"2021-05-28";7;285958;"404-S1";"economics";31,4
"2019-09-11";28;836625;"400-S1";"mathematics";14,4
"2020-09-14";7;802602;"403-S2";"economics";24,9
"2020-12-07";17;801327;"404-S1";"mathematics";22,6
"2020-12-04";20;746584;"403-S2";"mathematics";15
"2018-01-24";27;498675;"403-S1";"medicine";32,4
"2021-03-23";28;268626;"400-S2";"economics";22,7
"2018-02-03";24;144355;"400-S2";"economics";22,8
"2018-04-14";14;328173;"404-S2";"medicine";41,4
"2022-08-31";23;230036;"403-S2";"medicine";32,9
"2022-03-01";13;482852;"404-S1";"mathematics";22,8
"2019-02-18";5;390469;"403-S1";"mathematics";16
"2020-12-15";7;405014;"404-S1";"medicine";41,4
"2022-02-06";17;774153;"403-S2";"mathematics";15,2
"2021-07-16";27;561854;"403-S1";"economics";22,4
"2022-05-23";23;90500;"404-S2";"economics";30,9
"2018-09-29";16;862779;"403-S1";"mathematics";14,6
"2018-05-28";30;115905;"400-S1";"economics";22,3
"2018-05-01";20;717823;"404-S1";"mathematics";22,5
"2021-05-25";13;745873;"404-S1";"economics";30,8
"2021-11-24";30;347595;"403-S1";"mathematics";14,3
"2018-01-12";29;185958;"403-S1";"economics";22,3
"2019-06-15";8;795600;"400-S2";"economics";24,5
"2021-06-01";30;742268;"403-S1";"economics";22,3
"2022-08-15";20;520598;"403-S2";"mathematics";15
"2021-07-18";30;112543;"400-S1";"mathematics";14,3
"2019-09-05";22;404259;"403-S2";"economics";22,9
"2018-07-07";18;534169;"403-S2";"mathematics";15,1
"2020-11-28";23;789449;"404-S1";"mathematics";22,4
"2020-09-09";26;830409;"400-S2";"medicine";32,8
"2022-02-20";12;38849;"404-S1";"medicine";40,8
"2020-06-07";25;519166;"404-S1";"economics";30,4
"2021-03-16";13;316318;"404-S1";"economics";30,8
"2021-07-28";30;435987;"400-S2";"economics";22,7
"2019-06-11";30;650589;"404-S1";"mathematics";22,3
"2022-12-21";11;488472;"404-S2";"medicine";41,8
"2022-04-26";29;708352;"400-S1";"mathematics";14,3
"2022-01-08";6;184283;"403-S2";"mathematics";17,3
"2018-03-27";19;680365;"404-S1";"mathematics";22,5
"2020-01-29";30;865138;"403-S1";"medicine";32,3
"2020-04-02";13;999645;"403-S1";"medicine";32,8
"2021-06-04";22;387895;"403-S1";"medicine";32,5
"2021-08-22";16;708095;"400-S1";"mathematics";14,6
"2018-10-24";11;536544;"400-S2";"mathematics";15,8
"2022-01-29";7;925778;"403-S1";"economics";23,4
"2020-10-07";25;462211;"400-S1";"mathematics";14,4
"2021-12-15";19;208604;"403-S2";"mathematics";15,1
"2020-02-13";24;723248;"403-S1";"mathematics";14,4
"2018-12-27";21;441171;"403-S2";"mathematics";15
"2021-05-26";18;266153;"404-S2";"mathematics";23,1
"2022-01-12";16;290273;"403-S1";"mathematics";14,6
"2021-05-23";25;559532;"404-S2";"mathematics";22,8
"2021-03-12";28;716978;"400-S2";"medicine";32,7
"2018-01-15";9;535006;"400-S1";"economics";23,1
"2018-04-15";25;224356;"404-S1";"mathematics";22,4
"2021-05-10";28;432823;"404-S2";"mathematics";22,7
"2019-04-27";21;607739;"403-S1";"mathematics";14,5
"2018-12-18";19;668126;"404-S1";"economics";30,5
"2018-08-22";20;754931;"403-S1";"mathematics";14,5
"2020-03-13";12;237282;"400-S1";"mathematics";14,8
"2019-06-04";17;128308;"400-S1";"medicine";32,6
"2021-03-16";14;624808;"403-S1";"mathematics";14,7
"2021-11-06";5;887652;"403-S2";"mathematics";18
"2019-01-09";16;756775;"403-S2";"economics";23,3
"2020-09-26";30;876205;"403-S1";"medicine";32,3
"2021-03-13";8;619297;"404-S2";"economics";32,5
"2020-09-09";22;830680;"404-S1";"mathematics";22,5
"2021-11-11";11;834984;"404-S1";"mathematics";22,9
"2022-02-13";22;385926;"404-S2";"economics";30,9
"2021-11-28";28;473858;"400-S2";"medicine";32,7
"2022-11-25";22;194227;"400-S1";"medicine";32,5
"2019-09-01";10;379619;"404-S1";"mathematics";23
"2021-12-30";9;682800;"404-S1";"mathematics";23,1
"2018-12-01";15;782075;"404-S1";"medicine";40,7
"2018-02-01";21;741769;"404-S1";"mathematics";22,5
"2022-11-27";11;928451;"404-S1";"mathematics";22,9
"2022-08-04";5;761473;"404-S1";"mathematics";24
"2021-05-27";14;492437;"404-S1";"mathematics";22,7
"2019-08-07";12;431146;"404-S2";"economics";31,7
"2018-06-24";15;900737;"404-S2";"mathematics";23,3
"2019-05-01";14;663741;"403-S1";"economics";22,7
"2020-07-03";21;919514;"400-S1";"mathematics";14,5
"2020-07-19";20;943112;"403-S1";"economics";22,5
"2020-06-13";7;49542;"404-S1";"medicine";41,4
"2022-11-18";21;129554;"403-S1";"medicine";32,5
"2020-12-07";26;29139;"404-S2";"mathematics";22,8
"2018-01-19";14;954194;"403-S1";"mathematics";14,7
"2020-09-06";12;727058;"404-S1";"medicine";40,8
"2019-01-24";6;565777;"400-S1";"mathematics";15,7
"2018-08-31";14;95982;"403-S1";"mathematics";14,7
"2021-06-01";27;406333;"403-S1";"medicine";32,4
"2018-10-01";8;346722;"403-S1";"economics";23,3
"2019-05-21";24;83568;"404-S2";"medicine";40,8
"2020-10-08";20;260451;"404-S1";"economics";30,5
"2022-09-11";9;437858;"404-S2";"mathematics";24,2
"2021-11-27";13;485413;"404-S2";"mathematics";23,5
"2018-07-02";6;256110;"403-S1";"economics";23,7
"2022-10-01";10;705876;"400-S1";"economics";23
"2022-06-04";15;52766;"404-S2";"mathematics";23,3
"2019-09-29";13;288137;"403-S2";"mathematics";15,5
"2022-07-19";27;996066;"403-S1";"economics";22,4
"2018-07-11";29;552515;"404-S2";"mathematics";22,7
