"SaleDate"%"ItemDetails"%"BrandTier"%"SellerRating"%"DaysListed"%"ShippingMethod"%"DiscountApplied"%"FinalPrice"
"2023//06//28"%"Dress_VeryGood"%"Low"%4,26%15%"Economy"%"No"%"80.67 USD"
"2023//08//24"%"Dress_VeryGood"%"Mid"%4,82%9%"Standard"%"No"%"105.91 USD"
"2023//04//08"%"Accessories_Good"%"Mid"%4,27%7%"Economy"%"No"%"7.19 USD"
"2023//11//26"%"Jacket_Good"%"Premium"%4,24%20%"Standard"%"No"%"193.27 USD"
"2023//08//02"%"Jacket_Fair"%"Mid"%4,63%13%"Standard"%"No"%"108.52 USD"
"2023//05//07"%"Accessories_VeryGood"%"Mid"%5%10%"Economy"%"No"%"74.18 USD"
"2023//07//31"%"Jacket_VeryGood"%"Low"%4,71%14%"Economy"%"No"%"117.33 USD"
"2023//06//23"%"Jacket_Good"%"Mid"%4,35%7%"Standard"%"No"%"146.82 USD"
"2023//09//30"%"Accessories_VeryGood"%"Mid"%3,93%11%"Economy"%"Yes"%"35.81 USD"
"2023//10//29"%"Shoes_VeryGood"%"Low"%4,75%9%"Economy"%"Yes"%"80.1 USD"
"2023//11//06"%"Jacket_Good"%"Mid"%4,92%8%"Economy"%"No"%"122.65 USD"
"2023//08//20"%"Jacket_Good"%"Mid"%4,37%12%"Standard"%"No"%"99.04 USD"
"2023//08//31"%"Shoes_VeryGood"%"Mid"%3,97%4%"Economy"%"No"%"96.93 USD"
"2023//12//16"%"Jacket_VeryGood"%"Low"%3,87%10%"Standard"%"No"%"97.98 USD"
"2023//12//01"%"Shoes_Good"%"Low"%3,62%9%"Standard"%"No"%"90.22 USD"
"2023//10//07"%"Accessories_Fair"%"Low"%4,08%12%"Economy"%"No"%"5 USD"
"2023//04//23"%"Accessories_Good"%"Low"%4,13%19%"Standard"%"No"%"33.43 USD"
"2023//04//17"%"Dress_Good"%"Low"%4,21%15%"Standard"%"Yes"%"39.94 USD"
"2023//05//31"%"Dress_Fair"%"Mid"%4,05%8%"Standard"%"Yes"%"57.86 USD"
"2023//06//03"%"Shoes_Fair"%"Mid"%4,04%20%"Economy"%"No"%"74.45 USD"
"2023//04//12"%"Shoes_VeryGood"%"Low"%4,02%22%"Economy"%"Yes"%"70.93 USD"
"2023//09//12"%"Shoes_New"%"Premium"%4,85%12%"Economy"%"Yes"%"163.01 USD"
"2023//06//09"%"Dress_VeryGood"%"Mid"%4,53%16%"Economy"%"No"%"110.98 USD"
"2023//06//04"%"Jacket_Fair"%"Low"%3,87%9%"Standard"%"Yes"%"71.13 USD"
"2023//01//05"%"Shoes_VeryGood"%"Mid"%4,79%9%"Economy"%"No"%"150.92 USD"
"2023//11//22"%"Shoes_Fair"%"Low"%4,46%21%"Standard"%"No"%"61.95 USD"
"2023//09//29"%"Dress_Good"%"Low"%4,56%13%"Standard"%"No"%"94.43 USD"
"2023//10//07"%"Jacket_Fair"%"Low"%4,47%3%"Economy"%"Yes"%"52.36 USD"
"2023//10//15"%"Accessories_Fair"%"Low"%4,69%9%"Economy"%"No"%"35.72 USD"
"2023//10//04"%"Shoes_Good"%"Mid"%4,27%11%"Express"%"No"%"122.43 USD"
"2023//02//24"%"Accessories_New"%"Mid"%4,31%12%"Standard"%"No"%"91.8 USD"
"2023//11//27"%"Jacket_Good"%"Low"%4,76%11%"Economy"%"No"%"105.2 USD"
"2023//08//26"%"Accessories_VeryGood"%"Mid"%5%9%"Standard"%"No"%"46.68 USD"
"2023//09//09"%"Dress_New"%"Low"%4,4%5%"Economy"%"No"%"96.16 USD"
"2023//12//05"%"Accessories_Good"%"Premium"%4,33%6%"Standard"%"No"%"75.41 USD"
"2023//02//08"%"Shoes_Good"%"Low"%4,66%5%"Express"%"No"%"96.3 USD"
"2023//11//06"%"Accessories_VeryGood"%"Low"%4,92%6%"Standard"%"Yes"%"48.81 USD"
"2023//05//17"%"Dress_Fair"%"Mid"%4,9%14%"Standard"%"Yes"%"52.12 USD"
"2023//08//14"%"Shoes_New"%"Low"%4,38%5%"Express"%"No"%"117.51 USD"
"2023//02//17"%"Dress_VeryGood"%"Premium"%3,8%13%"Express"%"No"%"127.26 USD"
"2023//03//18"%"Jacket_Good"%"Mid"%5%3%"Standard"%"Yes"%"119.3 USD"
"2023//03//24"%"Shoes_Good"%"Mid"%4,65%7%"Express"%"No"%"85.4 USD"
"2023//07//03"%"Jacket_VeryGood"%"Mid"%4,49%11%"Economy"%"Yes"%"141.13 USD"
"2023//02//08"%"Shoes_Fair"%"Mid"%4,73%5%"Economy"%"No"%"85.35 USD"
"2023//07//15"%"Shoes_VeryGood"%"Mid"%4,68%11%"Standard"%"No"%"139.49 USD"
"2023//09//14"%"Accessories_Good"%"Low"%5%6%"Standard"%"No"%"41.76 USD"
"2023//06//17"%"Dress_Good"%"Low"%4%9%"Economy"%"Yes"%"43.68 USD"
"2023//10//13"%"Accessories_Good"%"Low"%4,24%17%"Standard"%"Yes"%"5 USD"
"2023//04//04"%"Dress_Fair"%"Mid"%3,98%6%"Economy"%"Yes"%"77.55 USD"
"2023//09//29"%"Dress_Good"%"Low"%3,44%15%"Economy"%"Yes"%"68.36 USD"
"2023//12//10"%"Shoes_New"%"Low"%4,28%6%"Express"%"No"%"122.86 USD"
"2023//11//06"%"Accessories_Fair"%"Low"%4,22%17%"Economy"%"Yes"%"20.02 USD"
"2023//01//20"%"Jacket_Good"%"Mid"%4,99%7%"Standard"%"Yes"%"112.32 USD"
"2023//12//26"%"Shoes_Fair"%"Low"%4,93%6%"Economy"%"Yes"%"78.83 USD"
"2023//07//14"%"Shoes_Good"%"Low"%4,4%11%"Express"%"Yes"%"114.15 USD"
"2023//12//15"%"Dress_VeryGood"%"Mid"%4,31%18%"Economy"%"No"%"87.73 USD"
"2023//06//13"%"Dress_VeryGood"%"Low"%5%27%"Economy"%"No"%"80.06 USD"
"2023//02//21"%"Dress_Fair"%"Low"%4,72%9%"Economy"%"No"%"36.03 USD"
"2023//12//30"%"Shoes_VeryGood"%"Low"%4,98%8%"Economy"%"No"%"126.26 USD"
"2023//01//22"%"Jacket_Good"%"Mid"%4,42%8%"Standard"%"Yes"%"110.68 USD"
"2023//06//26"%"Shoes_Good"%"Low"%4,31%6%"Express"%"No"%"101.15 USD"
"2023//02//11"%"Shoes_VeryGood"%"Mid"%4,33%18%"Economy"%"Yes"%"126.05 USD"
"2023//11//11"%"Dress_Good"%"Mid"%4,71%11%"Economy"%"No"%"92.49 USD"
"2023//03//25"%"Accessories_Good"%"Low"%5%7%"Economy"%"No"%"53.34 USD"
"2023//01//11"%"Dress_VeryGood"%"Mid"%4,47%24%"Economy"%"No"%"115.94 USD"
"2023//05//01"%"Dress_Good"%"Mid"%3,93%13%"Express"%"No"%"62.72 USD"
"2023//10//29"%"Accessories_Good"%"Low"%5%8%"Economy"%"Yes"%"47.98 USD"
"2023//03//26"%"Jacket_Good"%"Premium"%4,3%9%"Economy"%"No"%"137.23 USD"
"2023//12//31"%"Dress_Fair"%"Low"%4,15%8%"Standard"%"Yes"%"56.54 USD"
"2023//07//13"%"Dress_Good"%"Low"%3,78%19%"Standard"%"No"%"96.6 USD"
"2023//04//17"%"Shoes_Fair"%"Mid"%4,61%5%"Economy"%"No"%"113.54 USD"
"2023//03//18"%"Accessories_Good"%"Mid"%3,9%9%"Standard"%"No"%"61.71 USD"
"2023//07//17"%"Jacket_VeryGood"%"Low"%4,56%10%"Economy"%"No"%"112.64 USD"
"2023//09//06"%"Accessories_Good"%"Mid"%4,2%25%"Standard"%"Yes"%"24.33 USD"
"2023//07//19"%"Accessories_VeryGood"%"Mid"%4,27%10%"Standard"%"No"%"42.75 USD"
"2023//06//09"%"Jacket_Good"%"Low"%4,15%27%"Standard"%"No"%"96.08 USD"
"2023//09//07"%"Accessories_VeryGood"%"Mid"%4,46%42%"Economy"%"No"%"61.49 USD"
"2023//10//19"%"Dress_New"%"Low"%4,49%5%"Economy"%"No"%"80.02 USD"
"2023//01//16"%"Dress_Good"%"Low"%4,84%5%"Economy"%"Yes"%"55.61 USD"
"2023//02//02"%"Accessories_VeryGood"%"Mid"%4,9%7%"Economy"%"Yes"%"48.67 USD"
"2023//02//09"%"Accessories_New"%"Low"%3,56%26%"Economy"%"No"%"19.76 USD"
"2023//01//10"%"Dress_VeryGood"%"Mid"%4,4%11%"Economy"%"No"%"121.02 USD"
"2023//07//19"%"Jacket_Good"%"Mid"%4,75%7%"Standard"%"No"%"125 USD"
"2023//05//05"%"Jacket_New"%"Low"%4,07%5%"Economy"%"Yes"%"114.2 USD"
"2023//09//22"%"Shoes_Good"%"Low"%4,11%6%"Standard"%"No"%"120.16 USD"
"2023//09//20"%"Shoes_Good"%"Low"%4,03%15%"Standard"%"No"%"76.45 USD"
"2023//07//05"%"Jacket_New"%"Mid"%4,47%2%"Economy"%"Yes"%"144.32 USD"
"2023//03//02"%"Accessories_VeryGood"%"Premium"%3,97%14%"Economy"%"Yes"%"47.96 USD"
"2023//09//09"%"Jacket_New"%"Mid"%3,76%21%"Standard"%"No"%"144.48 USD"
"2023//06//01"%"Jacket_Fair"%"Low"%4,72%13%"Standard"%"Yes"%"59.92 USD"
"2023//11//15"%"Shoes_VeryGood"%"Low"%4,1%12%"Express"%"Yes"%"99.03 USD"
"2023//02//23"%"Dress_Good"%"Mid"%3,56%9%"Economy"%"No"%"72.23 USD"
"2023//01//26"%"Accessories_New"%"Mid"%4,41%13%"Standard"%"Yes"%"55.39 USD"
"2023//08//23"%"Dress_Good"%"Premium"%3,86%6%"Economy"%"Yes"%"116.23 USD"
"2023//10//16"%"Accessories_Good"%"Low"%4,49%7%"Standard"%"Yes"%"52.92 USD"
"2023//07//04"%"Dress_Good"%"Low"%4,92%14%"Economy"%"No"%"30.31 USD"
"2023//09//10"%"Shoes_Good"%"Low"%3,98%10%"Standard"%"Yes"%"103.73 USD"
"2023//04//25"%"Dress_Good"%"Low"%4,63%15%"Standard"%"No"%"76.66 USD"
"2023//01//10"%"Shoes_Fair"%"Low"%5%12%"Standard"%"Yes"%"53.34 USD"
"2023//11//05"%"Shoes_VeryGood"%"Low"%4,98%37%"Economy"%"No"%"80.76 USD"
"2023//02//23"%"Jacket_VeryGood"%"Mid"%4,93%9%"Economy"%"No"%"126.79 USD"
"2023//07//24"%"Jacket_Fair"%"Low"%4,5%21%"Standard"%"No"%"82.43 USD"
"2023//12//29"%"Shoes_Good"%"Mid"%4,13%22%"Economy"%"No"%"127.49 USD"
"2023//09//24"%"Dress_VeryGood"%"Mid"%4,2%15%"Economy"%"Yes"%"104.12 USD"
"2023//01//25"%"Jacket_Good"%"Low"%4,02%5%"Standard"%"Yes"%"103.8 USD"
"2023//02//21"%"Shoes_Good"%"Mid"%4,41%7%"Economy"%"No"%"74.16 USD"
"2023//10//09"%"Shoes_Good"%"Low"%4,66%6%"Economy"%"No"%"79.24 USD"
"2023//08//03"%"Dress_Good"%"Low"%4,36%9%"Standard"%"No"%"38.82 USD"
"2023//12//12"%"Dress_VeryGood"%"Low"%4,58%18%"Standard"%"No"%"78.38 USD"
"2023//06//09"%"Shoes_VeryGood"%"Mid"%4,36%7%"Standard"%"No"%"142.98 USD"
"2023//02//26"%"Dress_Fair"%"Low"%4,11%14%"Economy"%"No"%"51.56 USD"
"2023//04//15"%"Jacket_Fair"%"Mid"%4,83%5%"Economy"%"No"%"101.39 USD"
"2023//12//23"%"Dress_VeryGood"%"Mid"%4,5%8%"Standard"%"Yes"%"85.98 USD"
"2023//10//06"%"Jacket_Good"%"Mid"%4,4%13%"Economy"%"Yes"%"114.98 USD"
"2023//09//27"%"Dress_Fair"%"Mid"%4,85%5%"Standard"%"Yes"%"44.37 USD"
"2023//05//14"%"Dress_VeryGood"%"Low"%4,37%7%"Express"%"No"%"75.42 USD"
"2023//12//13"%"Shoes_Good"%"Premium"%3,92%21%"Standard"%"No"%"144.39 USD"
"2023//05//09"%"Jacket_VeryGood"%"Premium"%5%16%"Standard"%"Yes"%"181.06 USD"
"2023//08//06"%"Jacket_Fair"%"Mid"%4,24%6%"Standard"%"Yes"%"79.17 USD"
"2023//04//16"%"Dress_Good"%"Low"%3,61%10%"Standard"%"Yes"%"38.93 USD"
"2023//07//05"%"Dress_Good"%"Low"%4,41%17%"Economy"%"No"%"77.93 USD"
"2023//12//03"%"Shoes_New"%"Low"%4,03%5%"Standard"%"No"%"119.76 USD"
"2023//10//12"%"Shoes_Fair"%"Low"%4,69%11%"Economy"%"No"%"86.52 USD"
"2023//01//26"%"Dress_VeryGood"%"Premium"%4,38%6%"Standard"%"No"%"126.16 USD"
"2023//01//27"%"Jacket_Good"%"Mid"%4,29%11%"Standard"%"No"%"99.98 USD"
"2023//01//07"%"Jacket_Fair"%"Low"%4,22%3%"Standard"%"No"%"73.66 USD"
"2023//09//02"%"Jacket_Good"%"Mid"%4,56%12%"Standard"%"Yes"%"123.25 USD"
"2023//06//03"%"Dress_Good"%"Mid"%4,17%8%"Express"%"No"%"73.95 USD"
"2023//02//10"%"Dress_VeryGood"%"Mid"%4,71%14%"Express"%"No"%"114.74 USD"
"2023//07//31"%"Jacket_New"%"Low"%4,13%14%"Economy"%"No"%"133.13 USD"
"2023//08//10"%"Jacket_Good"%"Mid"%4%5%"Economy"%"Yes"%"69.16 USD"
"2023//06//08"%"Dress_Good"%"Mid"%4,19%10%"Economy"%"No"%"80.32 USD"
"2023//12//15"%"Dress_Fair"%"Low"%4,34%10%"Express"%"Yes"%"67.41 USD"
"2023//05//25"%"Jacket_VeryGood"%"Low"%3,51%3%"Economy"%"No"%"91.7 USD"
"2023//02//26"%"Dress_Good"%"Low"%3,99%20%"Economy"%"No"%"44.66 USD"
"2023//05//28"%"Jacket_Good"%"Mid"%4,7%12%"Economy"%"No"%"105.01 USD"
"2023//06//12"%"Dress_VeryGood"%"Low"%3,73%8%"Economy"%"No"%"53.43 USD"
"2023//08//26"%"Shoes_Good"%"Premium"%4,44%9%"Standard"%"No"%"154.49 USD"
"2023//06//10"%"Jacket_VeryGood"%"Premium"%4,27%10%"Economy"%"No"%"149.2 USD"
"2023//03//07"%"Shoes_VeryGood"%"Mid"%4,98%11%"Standard"%"Yes"%"123.4 USD"
"2023//01//04"%"Dress_Good"%"Premium"%4,4%11%"Standard"%"No"%"108.37 USD"
"2023//11//26"%"Jacket_Fair"%"Low"%5%31%"Economy"%"No"%"95.07 USD"
"2023//08//13"%"Dress_Good"%"Low"%4,23%8%"Standard"%"Yes"%"34.42 USD"
"2023//04//27"%"Jacket_Good"%"Low"%4,81%9%"Economy"%"No"%"130.38 USD"
"2023//01//25"%"Dress_Good"%"Premium"%4,01%18%"Standard"%"No"%"120.48 USD"
"2023//05//16"%"Jacket_Good"%"Mid"%4,77%20%"Standard"%"No"%"135.21 USD"
"2023//02//24"%"Accessories_VeryGood"%"Mid"%4,11%11%"Economy"%"Yes"%"28 USD"
"2023//08//05"%"Jacket_VeryGood"%"Low"%4,44%44%"Standard"%"Yes"%"92.75 USD"
"2023//03//26"%"Dress_Fair"%"Low"%4,48%5%"Express"%"No"%"48.38 USD"
"2023//02//14"%"Accessories_Good"%"Mid"%4,4%10%"Economy"%"No"%"56.14 USD"
"2023//05//26"%"Dress_VeryGood"%"Low"%4,47%7%"Standard"%"No"%"53.52 USD"
"2023//06//19"%"Shoes_Good"%"Mid"%4,34%13%"Standard"%"No"%"83.41 USD"
"2023//05//14"%"Shoes_VeryGood"%"Low"%4,58%4%"Standard"%"No"%"112.41 USD"
"2023//07//18"%"Jacket_Good"%"Mid"%4,05%5%"Standard"%"Yes"%"73.34 USD"
"2023//12//27"%"Shoes_VeryGood"%"Mid"%5%6%"Economy"%"No"%"108.56 USD"
"2023//06//25"%"Shoes_Fair"%"Mid"%4,19%8%"Economy"%"No"%"74.13 USD"
"2023//09//02"%"Accessories_VeryGood"%"Mid"%4,01%12%"Economy"%"Yes"%"19.97 USD"
"2023//11//05"%"Jacket_VeryGood"%"Premium"%3,77%12%"Economy"%"No"%"162.67 USD"
"2023//04//14"%"Dress_VeryGood"%"Mid"%4,99%13%"Economy"%"No"%"118.58 USD"
"2023//11//05"%"Accessories_VeryGood"%"Low"%4,07%12%"Express"%"Yes"%"23.84 USD"
"2023//11//15"%"Jacket_VeryGood"%"Premium"%3,44%12%"Express"%"Yes"%"167.72 USD"
"2023//07//18"%"Dress_VeryGood"%"Low"%4,6%10%"Economy"%"Yes"%"60.43 USD"
"2023//07//29"%"Jacket_VeryGood"%"Low"%3,84%34%"Express"%"No"%"101.43 USD"
"2023//12//15"%"Accessories_Good"%"Mid"%4,37%3%"Economy"%"Yes"%"19.72 USD"
"2023//08//13"%"Shoes_VeryGood"%"Low"%4,19%3%"Economy"%"Yes"%"69.21 USD"
"2023//09//15"%"Jacket_Good"%"Low"%4,03%9%"Economy"%"No"%"55.46 USD"
"2023//06//26"%"Accessories_New"%"Low"%4,27%4%"Standard"%"Yes"%"53.18 USD"
"2023//05//21"%"Dress_Fair"%"Premium"%4,32%9%"Economy"%"No"%"126.55 USD"
"2023//01//24"%"Jacket_Fair"%"Low"%4,1%14%"Express"%"No"%"94.71 USD"
"2023//05//10"%"Dress_VeryGood"%"Low"%3,39%14%"Economy"%"No"%"104.84 USD"
"2023//06//14"%"Dress_VeryGood"%"Low"%4,88%9%"Economy"%"Yes"%"66.51 USD"
"2023//07//10"%"Shoes_Fair"%"Low"%4,6%4%"Standard"%"No"%"84.78 USD"
"2023//03//17"%"Dress_New"%"Low"%4,24%11%"Economy"%"Yes"%"84.69 USD"
"2023//09//26"%"Jacket_VeryGood"%"Low"%4,9%14%"Standard"%"Yes"%"97.44 USD"
"2023//06//19"%"Accessories_Fair"%"Low"%4,21%13%"Standard"%"Yes"%"14.77 USD"
"2023//07//17"%"Jacket_VeryGood"%"Low"%3,84%25%"Standard"%"No"%"94.39 USD"
"2023//12//28"%"Jacket_Good"%"Premium"%4,35%8%"Standard"%"No"%"153.67 USD"
