"TravelDate";"Destination";"Species";"TravelClass";"Duration";"PromoTokens";"Price"
"2024_08_17";"Andromeda_S";"Andromedan";"Economy";11;12;443,33
"2024_11_27";"Venus_S";"Jovian";"Luxury";4;3;551,1
"2024_02_26";"Jupiter_P";"Saturnian";"Economy";8;8;1036,18
"2024_05_25";"Andromeda_S";"Andromedan";"Economy";13;10;409,71
"2024_12_19";"Saturn_P";"Saturnian";"Economy";6;7;805,87
"2024_12_13";"Andromeda_P";"Jovian";"Economy";11;10;973,48
"2024_11_19";"Venus_P";"Jovian";"Economy";4;7;838,31
"2024_05_15";"Mars_S";"Human";"Economy";9;7;439,55
"2024_09_11";"Saturn_S";"Martian";"Business";4;11;1077,52
"2024_02_16";"Venus_P";"Jovian";"Business";3;3;1469,42
"2024_05_12";"Andromeda_P";"Andromedan";"Luxury";2;12;1031,56
"2024_09_28";"Mars_S";"Saturnian";"Luxury";6;3;635,21
"2024_11_28";"Andromeda_P";"Venutian";"Economy";4;10;839,38
"2024_08_01";"Mars_S";"Saturnian";"Luxury";7;5;746,5
"2024_06_18";"Saturn_P";"Martian";"Luxury";14;13;1122,01
"2024_03_04";"Jupiter_S";"Andromedan";"Business";8;9;1075,55
"2024_12_26";"Mars_S";"Martian";"Luxury";12;1;747,19
"2024_07_29";"Mars_P";"Martian";"Luxury";11;1;1184,98
"2024_04_06";"Venus_S";"Venutian";"Luxury";10;7;556,21
"2024_09_20";"Saturn_P";"Jovian";"Economy";2;12;1033,81
"2024_08_27";"Venus_S";"Saturnian";"Economy";10;6;538,51
"2024_03_20";"Mars_P";"Saturnian";"Business";1;3;1531,48
"2024_09_19";"Andromeda_P";"Venutian";"Business";12;13;1612,66
"2024_12_28";"Andromeda_S";"Venutian";"Luxury";13;10;718,37
"2024_06_26";"Mars_S";"Martian";"Business";4;12;1069,62
"2024_12_10";"Mars_P";"Martian";"Luxury";10;13;1147,52
"2024_05_08";"Andromeda_P";"Venutian";"Economy";13;1;1091,96
"2024_10_25";"Andromeda_P";"Martian";"Economy";13;11;953,81
"2024_04_21";"Venus_S";"Saturnian";"Business";10;2;1170,38
"2024_10_04";"Venus_P";"Saturnian";"Luxury";1;8;1064,12
"2024_05_25";"Andromeda_P";"Venutian";"Luxury";10;7;1022,3
"2024_10_17";"Mars_S";"Venutian";"Economy";10;12;403,96
"2024_07_13";"Mars_P";"Human";"Economy";3;3;894,36
"2024_02_26";"Andromeda_P";"Human";"Economy";11;11;798,07
"2024_11_11";"Andromeda_S";"Human";"Economy";10;9;345,43
"2024_09_14";"Saturn_S";"Saturnian";"Economy";7;12;442,18
"2024_04_15";"Andromeda_P";"Venutian";"Business";1;5;1578,67
"2024_02_23";"Andromeda_P";"Jovian";"Economy";8;12;918,81
"2024_11_20";"Saturn_P";"Jovian";"Economy";4;6;812,97
"2024_07_01";"Venus_P";"Human";"Luxury";7;4;1030,84
"2024_06_12";"Andromeda_P";"Jovian";"Business";5;8;1476,84
"2024_07_23";"Mars_P";"Human";"Luxury";3;10;1225,23
"2024_03_26";"Mars_S";"Andromedan";"Luxury";14;2;667,46
"2024_03_04";"Venus_P";"Andromedan";"Economy";11;11;983,32
"2024_10_13";"Mars_P";"Venutian";"Economy";3;8;956,52
"2024_11_15";"Venus_P";"Martian";"Business";3;3;1558,96
"2024_02_13";"Andromeda_P";"Andromedan";"Luxury";13;12;1193,49
"2024_09_07";"Mars_S";"Saturnian";"Business";5;5;981,79
"2024_10_24";"Jupiter_P";"Jovian";"Business";7;13;1619,27
"2024_05_21";"Venus_P";"Martian";"Luxury";13;6;1024,05
"2024_04_06";"Venus_P";"Saturnian";"Luxury";1;6;1076,44
"2024_06_21";"Andromeda_P";"Saturnian";"Luxury";14;13;1028,27
"2024_04_17";"Saturn_S";"Human";"Business";14;7;1120,1
"2024_10_20";"Mars_S";"Martian";"Luxury";9;10;775,89
"2024_08_13";"Andromeda_S";"Jovian";"Business";1;9;1119,33
"2024_12_14";"Venus_S";"Saturnian";"Business";14;6;1165,4
"2024_10_18";"Andromeda_P";"Saturnian";"Luxury";6;13;1096,1
"2024_08_22";"Venus_P";"Human";"Luxury";5;1;1236,22
"2024_01_22";"Venus_S";"Saturnian";"Economy";10;8;482,39
"2024_09_10";"Saturn_S";"Human";"Economy";3;10;407,36
"2024_02_03";"Jupiter_S";"Human";"Economy";5;5;474,34
"2024_06_04";"Saturn_S";"Jovian";"Economy";1;8;326,52
"2024_05_30";"Jupiter_P";"Jovian";"Luxury";9;6;1152,81
"2024_03_21";"Jupiter_S";"Andromedan";"Business";9;7;1077,36
"2024_10_08";"Jupiter_S";"Martian";"Business";12;3;1031,36
"2024_06_07";"Andromeda_S";"Human";"Economy";12;12;553,11
"2024_08_26";"Jupiter_S";"Saturnian";"Luxury";14;13;581,23
"2024_06_29";"Venus_P";"Venutian";"Luxury";8;2;1048,71
"2024_07_01";"Jupiter_P";"Human";"Luxury";6;13;1231,54
"2024_11_03";"Mars_P";"Martian";"Business";6;5;1653,05
"2024_07_25";"Andromeda_S";"Saturnian";"Luxury";6;3;577,73
"2024_04_03";"Mars_S";"Andromedan";"Business";9;3;1151,44
"2024_08_26";"Saturn_P";"Venutian";"Business";3;10;1439,62
"2024_05_30";"Venus_S";"Venutian";"Luxury";6;3;513,1
"2024_03_22";"Venus_P";"Martian";"Business";7;8;1414,08
"2024_06_24";"Saturn_S";"Jovian";"Luxury";14;8;537,14
"2024_05_05";"Mars_P";"Martian";"Luxury";8;1;1095,96
"2024_10_25";"Saturn_S";"Jovian";"Business";10;9;1028,71
"2024_05_21";"Andromeda_P";"Venutian";"Business";13;6;1551,69
"2024_02_22";"Andromeda_P";"Venutian";"Economy";3;8;971,22
"2024_01_19";"Jupiter_P";"Venutian";"Business";14;10;1608,01
"2024_07_27";"Andromeda_P";"Human";"Luxury";12;12;1172,97
"2024_03_02";"Andromeda_S";"Saturnian";"Luxury";4;2;714,07
"2024_10_26";"Jupiter_P";"Martian";"Business";10;7;1659,98
"2024_12_24";"Mars_S";"Andromedan";"Economy";1;13;341,7
"2024_04_25";"Jupiter_P";"Jovian";"Luxury";13;3;1170,7
"2024_08_06";"Saturn_P";"Jovian";"Economy";1;2;833,21
"2024_03_26";"Venus_S";"Jovian";"Economy";12;13;550,6
"2024_11_26";"Andromeda_S";"Venutian";"Business";5;11;1056,98
"2024_07_14";"Mars_S";"Jovian";"Economy";7;7;512,94
"2024_05_04";"Saturn_P";"Jovian";"Economy";13;11;1009,72
"2024_04_26";"Jupiter_P";"Venutian";"Business";3;6;1427,52
"2024_11_02";"Mars_P";"Jovian";"Business";11;11;1428,98
"2024_05_20";"Venus_S";"Venutian";"Economy";5;12;310,75
"2024_04_30";"Jupiter_S";"Jovian";"Economy";4;9;446,22
"2024_06_19";"Jupiter_P";"Andromedan";"Economy";3;6;1009,34
"2024_11_18";"Mars_P";"Venutian";"Luxury";3;2;1039,78
"2024_02_15";"Venus_S";"Venutian";"Economy";8;9;466,44
"2024_05_09";"Mars_S";"Martian";"Luxury";4;2;613,62
"2024_05_13";"Venus_P";"Martian";"Luxury";4;2;1041,22
"2024_08_13";"Venus_S";"Jovian";"Economy";4;6;367,88
"2024_04_18";"Venus_S";"Andromedan";"Luxury";12;2;572,23
"2024_12_25";"Andromeda_P";"Venutian";"Business";12;6;1420,9
"2024_01_13";"Saturn_S";"Venutian";"Economy";8;6;422,05
"2024_06_24";"Saturn_S";"Human";"Economy";9;8;577,38
"2024_06_19";"Andromeda_S";"Andromedan";"Business";4;4;969,31
"2024_04_07";"Saturn_S";"Andromedan";"Economy";9;6;341,35
"2024_10_01";"Mars_P";"Human";"Business";2;12;1516,16
"2024_11_30";"Venus_S";"Venutian";"Luxury";12;8;718,34
"2024_09_19";"Mars_P";"Martian";"Business";3;2;1443,5
"2024_06_12";"Venus_P";"Venutian";"Economy";1;3;806,23
"2024_01_26";"Jupiter_P";"Saturnian";"Business";7;10;1500,71
"2024_04_01";"Venus_S";"Jovian";"Economy";5;10;319,65
"2024_07_19";"Jupiter_S";"Venutian";"Luxury";2;6;567,1
"2024_02_06";"Mars_S";"Martian";"Economy";12;9;340,75
"2024_07_30";"Saturn_P";"Martian";"Luxury";1;8;1178,17
"2024_05_14";"Venus_P";"Martian";"Luxury";2;11;1020,5
"2024_07_01";"Jupiter_P";"Andromedan";"Luxury";11;6;1215,09
"2024_05_22";"Andromeda_S";"Venutian";"Business";12;2;1192,46
"2024_10_07";"Andromeda_P";"Jovian";"Luxury";5;5;1280,11
"2024_02_26";"Jupiter_S";"Andromedan";"Business";12;12;982,43
"2024_07_29";"Venus_P";"Saturnian";"Luxury";8;1;1093,24
"2024_04_22";"Andromeda_P";"Martian";"Luxury";4;4;1238,96
"2024_11_10";"Saturn_P";"Saturnian";"Business";4;11;1432,74
"2024_11_05";"Venus_P";"Andromedan";"Economy";6;11;992,54
"2024_07_04";"Mars_P";"Martian";"Luxury";4;6;1029,19
"2024_08_09";"Saturn_P";"Human";"Economy";1;10;986,68
"2024_11_01";"Mars_P";"Human";"Business";9;8;1494,76
"2024_12_11";"Saturn_S";"Martian";"Economy";13;8;460,11
"2024_08_17";"Andromeda_P";"Saturnian";"Economy";3;8;847,25
"2024_10_27";"Saturn_P";"Martian";"Business";1;1;1560,34
"2024_11_21";"Venus_P";"Martian";"Business";7;3;1597,09
"2024_02_22";"Venus_P";"Martian";"Luxury";10;8;1255,97
"2024_06_16";"Saturn_P";"Venutian";"Business";11;13;1469,87
"2024_12_05";"Jupiter_S";"Saturnian";"Luxury";7;13;683,85
"2024_12_07";"Andromeda_P";"Saturnian";"Business";9;11;1568,04
"2024_07_02";"Venus_S";"Jovian";"Luxury";5;12;768,53
"2024_11_20";"Jupiter_P";"Human";"Luxury";9;9;1026,03
"2024_11_19";"Jupiter_P";"Andromedan";"Business";4;13;1482,42
"2024_08_19";"Jupiter_P";"Jovian";"Luxury";9;6;1027,2
"2024_05_24";"Mars_P";"Andromedan";"Luxury";7;2;1074,88
"2024_06_09";"Mars_S";"Andromedan";"Luxury";10;6;603,97
"2024_03_09";"Jupiter_S";"Andromedan";"Luxury";12;9;565,22
"2024_04_29";"Saturn_P";"Venutian";"Economy";9;10;964,85
"2024_10_27";"Saturn_S";"Saturnian";"Economy";8;9;498,96
"2024_01_26";"Andromeda_P";"Venutian";"Economy";10;3;926,99
"2024_08_15";"Venus_P";"Andromedan";"Business";8;1;1455,95
"2024_03_09";"Venus_P";"Jovian";"Business";10;6;1647,92
"2024_11_18";"Saturn_P";"Andromedan";"Luxury";5;5;1174,06
"2024_02_09";"Venus_P";"Martian";"Economy";14;9;967,04
"2024_01_25";"Mars_S";"Andromedan";"Luxury";12;10;602,87
"2024_06_15";"Saturn_P";"Saturnian";"Economy";3;2;948,09
"2024_02_12";"Jupiter_P";"Martian";"Business";7;4;1651,56
"2024_06_07";"Mars_S";"Saturnian";"Economy";8;7;363,68
"2024_05_25";"Andromeda_P";"Martian";"Luxury";4;9;1238,5
"2024_08_01";"Jupiter_P";"Human";"Luxury";9;13;1159,23
"2024_12_05";"Saturn_S";"Human";"Business";9;2;1150,38
"2024_10_23";"Venus_P";"Human";"Luxury";14;3;1077,3
"2024_05_04";"Andromeda_S";"Andromedan";"Economy";8;8;423,28
"2024_11_17";"Andromeda_S";"Martian";"Business";6;6;956,66
"2024_05_23";"Venus_S";"Jovian";"Luxury";4;7;583,78
"2024_09_01";"Venus_P";"Andromedan";"Business";7;1;1464,77
"2024_08_22";"Venus_P";"Jovian";"Business";4;4;1496,36
"2024_03_26";"Mars_P";"Martian";"Luxury";9;9;1211,56
"2024_03_17";"Jupiter_S";"Andromedan";"Business";5;2;1136,17
"2024_08_31";"Saturn_S";"Venutian";"Economy";7;4;543,91
"2024_12_14";"Jupiter_S";"Saturnian";"Luxury";2;6;533,88
"2024_04_17";"Jupiter_S";"Venutian";"Business";8;13;903,1
"2024_03_03";"Jupiter_S";"Human";"Economy";9;7;335,61
"2024_02_04";"Saturn_P";"Martian";"Luxury";7;4;1048,76
"2024_08_30";"Saturn_S";"Human";"Business";6;9;1158,23
"2024_05_09";"Jupiter_S";"Human";"Economy";12;4;499,34
"2024_03_26";"Saturn_S";"Martian";"Business";3;9;1154,61
"2024_02_10";"Venus_S";"Venutian";"Luxury";14;13;730,26
"2024_07_03";"Jupiter_S";"Human";"Luxury";3;7;638,29
"2024_08_14";"Saturn_S";"Saturnian";"Business";13;5;991,19
"2024_04_30";"Venus_P";"Venutian";"Luxury";12;6;1262,89
"2024_07_29";"Mars_S";"Martian";"Luxury";2;13;553,12
"2024_09_13";"Jupiter_P";"Venutian";"Business";2;10;1543,27
"2024_05_23";"Saturn_S";"Martian";"Luxury";8;9;752,29
"2024_08_02";"Mars_S";"Human";"Luxury";12;8;574,78
"2024_08_25";"Mars_S";"Saturnian";"Business";10;3;1006,17
"2024_07_16";"Saturn_S";"Saturnian";"Economy";13;6;324,17
"2024_11_17";"Saturn_S";"Human";"Luxury";8;7;560,28
"2024_08_07";"Andromeda_P";"Andromedan";"Business";11;10;1665,42
"2024_03_06";"Mars_S";"Andromedan";"Business";8;2;1028,83
"2024_06_25";"Saturn_S";"Martian";"Business";7;8;1020,49
"2024_12_22";"Andromeda_S";"Saturnian";"Economy";13;9;404,49
"2024_04_16";"Jupiter_P";"Andromedan";"Economy";8;7;1023,2
"2024_08_24";"Venus_S";"Venutian";"Luxury";8;2;686,93
"2024_05_30";"Andromeda_P";"Human";"Economy";11;4;858,01
"2024_04_18";"Saturn_P";"Human";"Economy";7;13;1033,73
"2024_10_21";"Saturn_S";"Jovian";"Economy";2;6;548,94
"2024_04_26";"Mars_S";"Human";"Luxury";9;1;643,19
"2024_08_18";"Jupiter_S";"Human";"Luxury";10;2;719,93
"2024_09_13";"Jupiter_P";"Martian";"Business";3;4;1662,9
"2024_05_09";"Jupiter_P";"Venutian";"Luxury";3;6;1001,51
"2024_04_30";"Andromeda_P";"Venutian";"Economy";13;2;941,24
"2024_02_28";"Venus_P";"Human";"Economy";8;5;815,53
"2024_11_20";"Andromeda_P";"Jovian";"Economy";14;4;928,19
"2024_02_07";"Venus_P";"Martian";"Luxury";4;3;1271,7
"2024_09_02";"Mars_S";"Venutian";"Business";2;4;1133,52
"2024_05_21";"Saturn_S";"Saturnian";"Economy";13;3;511,21
"2024_01_29";"Venus_P";"Venutian";"Economy";11;2;822,1
"2024_01_02";"Venus_P";"Andromedan";"Luxury";1;11;1166,08
"2024_09_13";"Jupiter_P";"Venutian";"Luxury";14;4;1128,73
"2024_11_02";"Andromeda_S";"Andromedan";"Economy";8;9;579,38
"2024_02_11";"Mars_P";"Martian";"Business";10;13;1434,84
"2024_09_25";"Jupiter_P";"Venutian";"Luxury";9;6;1206,26
"2024_09_02";"Jupiter_S";"Martian";"Economy";3;9;304,14
"2024_01_10";"Venus_P";"Andromedan";"Luxury";5;6;1075,55
"2024_04_18";"Andromeda_P";"Saturnian";"Luxury";6;9;1045,23
"2024_06_25";"Mars_P";"Saturnian";"Economy";5;8;1051,06
