"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2025","37.135","37.028","37.162","36.845","13.60K","0.14%"
"07/03/2025","37.084","36.790","37.315","36.570","55.65K","0.97%"
"07/02/2025","36.727","36.245","36.815","36.055","41.29K","0.91%"
"07/01/2025","36.397","36.325","36.875","36.055","54.05K","0.62%"
"06/30/2025","36.172","36.150","36.460","35.585","43.84K","-0.54%"
"06/27/2025","36.370","36.890","36.975","35.950","67.93K","-1.05%"
"06/26/2025","36.757","36.395","36.925","36.365","1.89K","1.86%"
"06/25/2025","36.085","36.085","36.085","36.085","0.00K","1.08%"
"06/24/2025","35.701","35.830","35.830","35.600","0.01K","-1.25%"
"06/23/2025","36.153","36.160","36.165","36.160","0.01K","0.38%"
"06/20/2025","36.017","36.750","36.820","35.515","95.42K","-0.96%"
"06/19/2025","36.368","36.785","36.820","36.182","31.88K","-1.48%"
"06/18/2025","36.913","37.205","37.405","36.540","60.67K","-0.64%"
"06/17/2025","37.151","36.370","37.330","36.170","80.27K","1.93%"
"06/16/2025","36.448","36.450","36.645","36.125","49.80K","0.26%"
"06/13/2025","36.355","36.410","36.770","36.040","58.85K","0.17%"
"06/12/2025","36.295","36.360","36.585","35.580","75.67K","0.09%"
"06/11/2025","36.261","36.675","36.790","36.150","77.36K","-1.04%"
"06/10/2025","36.642","36.895","36.975","36.425","66.39K","-0.42%"
"06/09/2025","36.796","36.165","37.030","36.055","79.17K","1.82%"
"06/06/2025","36.139","35.800","36.510","35.755","85.16K","0.93%"
"06/05/2025","35.805","34.650","36.270","34.600","113.63K","3.34%"
"06/04/2025","34.648","34.680","34.825","34.355","50.00K","0.04%"
"06/03/2025","34.633","34.920","34.935","34.165","75.48K","-0.18%"
"06/02/2025","34.694","33.130","34.945","33.075","90.76K","5.04%"
"05/30/2025","33.029","33.450","33.470","32.865","41.47K","-1.18%"
"05/29/2025","33.423","33.110","33.655","32.800","50.05K","0.79%"
"05/28/2025","33.160","33.380","33.580","33.035","41.20K","-0.45%"
"05/27/2025","33.311","33.610","33.745","32.880","60.14K","-0.80%"
"05/26/2025","33.580","33.600","33.743","33.415","14.96K","-0.04%"
"05/25/2025","33.595","33.618","33.710","33.560","44.59K","-0.04%"
"05/23/2025","33.609","33.185","33.695","33.020","46.29K","1.17%"
"05/22/2025","33.219","33.585","33.915","32.740","66.34K","-1.27%"
"05/21/2025","33.646","33.275","33.780","33.125","59.59K","1.42%"
"05/20/2025","33.174","32.500","33.305","32.235","50.29K","2.05%"
"05/19/2025","32.507","32.550","32.795","32.380","33.72K","0.47%"
"05/16/2025","32.354","32.795","32.865","31.980","40.94K","-1.00%"
"05/15/2025","32.680","32.395","32.820","31.780","45.07K","0.73%"
"05/14/2025","32.444","33.085","33.150","32.255","47.79K","-1.98%"
"05/13/2025","33.100","32.800","33.435","32.680","48.17K","1.46%"
"05/12/2025","32.624","32.600","33.200","32.045","61.46K","-0.88%"
"05/09/2025","32.914","32.605","33.040","32.360","32.46K","0.91%"
"05/08/2025","32.617","32.575","33.095","32.370","48.49K","-0.53%"
"05/07/2025","32.791","33.470","33.480","32.415","49.63K","-1.77%"
"05/06/2025","33.381","32.695","33.470","32.625","54.72K","2.79%"
"05/05/2025","32.474","32.250","32.880","32.160","32.79K","0.67%"
"05/02/2025","32.259","32.630","32.975","32.120","40.59K","-0.65%"
"05/01/2025","32.469","32.810","32.865","31.860","43.16K","-1.09%"
"04/30/2025","32.828","33.195","33.345","32.385","53.71K","-2.23%"
"04/29/2025","33.577","33.400","33.835","33.100","52.76K","1.24%"
"04/28/2025","33.165","33.205","33.295","32.780","1.66K","0.47%"
"04/25/2025","33.010","33.550","33.690","32.715","53.15K","-1.47%"
"04/24/2025","33.503","33.565","33.670","33.135","53.16K","-0.13%"
"04/23/2025","33.547","32.450","33.675","32.050","87.82K","1.95%"
"04/22/2025","32.905","32.640","33.170","32.255","91.54K","1.18%"
"04/21/2025","32.521","32.440","33.100","32.385","50.06K","0.16%"
"04/17/2025","32.470","32.770","32.925","32.110","50.11K","-1.55%"
"04/16/2025","32.980","32.305","33.175","32.255","63.04K","2.11%"
"04/15/2025","32.297","32.280","32.425","32.070","38.57K","0.40%"
"04/14/2025","32.167","32.195","32.380","31.655","60.90K","0.81%"
"04/11/2025","31.910","31.115","32.210","30.865","92.34K","3.74%"
"04/10/2025","30.759","30.990","31.245","30.510","80.27K","1.13%"
"04/09/2025","30.415","29.780","31.065","29.255","96.91K","2.46%"
"04/08/2025","29.686","30.090","30.520","29.560","76.83K","0.28%"
"04/07/2025","29.604","29.230","30.760","27.545","138.80K","1.28%"
"04/04/2025","29.230","31.920","32.045","29.115","126.20K","-8.57%"
"04/03/2025","31.970","34.950","34.950","31.730","155.00K","-7.73%"
"04/02/2025","34.650","34.375","35.155","34.290","63.07K","0.99%"
"04/01/2025","34.309","34.770","34.960","34.160","54.48K","-0.87%"
"03/31/2025","34.611","34.825","35.200","34.165","67.10K","-0.58%"
"03/28/2025","34.814","35.325","35.495","34.645","68.62K","-0.26%"
"03/27/2025","34.905","34.050","34.980","33.970","1.02K","2.50%"
"03/26/2025","34.054","34.075","34.335","33.900","0.42K","0.09%"
"03/25/2025","34.023","33.300","34.150","33.300","0.55K","1.71%"
"03/24/2025","33.450","33.540","33.805","33.380","32.35K","-0.11%"
"03/21/2025","33.486","34.115","34.135","33.165","53.51K","-1.49%"
"03/20/2025","33.991","34.425","34.595","33.615","50.53K","-0.63%"
"03/19/2025","34.205","34.640","34.790","34.110","50.63K","-1.76%"
"03/18/2025","34.818","34.380","35.000","34.325","57.45K","1.49%"
"03/17/2025","34.308","34.410","34.455","33.955","45.45K","-0.36%"
"03/14/2025","34.433","34.505","34.860","34.140","60.18K","0.37%"
"03/13/2025","34.306","33.725","34.680","33.435","74.49K","1.67%"
"03/12/2025","33.743","33.375","33.815","33.180","57.66K","1.80%"
"03/11/2025","33.147","32.460","33.445","32.215","57.93K","1.90%"
"03/10/2025","32.530","32.945","33.150","32.280","51.81K","-0.85%"
"03/07/2025","32.809","33.210","33.310","32.560","59.37K","-1.59%"
"03/06/2025","33.338","33.235","33.380","32.860","51.41K","0.62%"
"03/05/2025","33.134","32.560","33.310","32.395","65.24K","2.33%"
"03/04/2025","32.381","32.265","32.660","32.030","50.89K","0.22%"
"03/03/2025","32.310","31.715","32.490","31.635","62.26K","2.58%"
"02/28/2025","31.496","31.855","31.930","31.365","54.60K","-1.91%"
"02/27/2025","32.110","32.535","32.595","31.765","63.24K","-0.95%"
"02/26/2025","32.419","32.270","32.435","31.945","1.93K","1.39%"
"02/25/2025","31.976","32.890","32.935","31.770","1.08K","-2.40%"
"02/24/2025","32.763","33.045","33.270","32.600","0.76K","-0.75%"
"02/21/2025","33.012","33.450","33.540","32.810","63.37K","-1.42%"
"02/20/2025","33.486","33.150","33.785","33.085","56.84K","1.34%"
"02/19/2025","33.043","33.420","33.640","32.885","53.73K","-0.99%"
"02/18/2025","33.373","32.680","33.475","32.460","70.60K","1.58%"
"02/14/2025","32.855","32.990","34.240","32.585","107.87K","0.39%"
"02/13/2025","32.726","32.710","33.045","32.455","56.02K","-0.18%"
"02/12/2025","32.785","32.255","32.870","31.875","65.37K","1.43%"
"02/11/2025","32.322","32.495","32.660","31.650","67.81K","-0.52%"
"02/10/2025","32.491","32.180","32.805","32.030","56.88K","0.15%"
"02/07/2025","32.443","32.650","33.165","32.175","79.69K","-0.56%"
"02/06/2025","32.626","32.755","32.915","32.150","53.86K","-1.06%"
"02/05/2025","32.976","32.870","33.215","32.630","67.88K","-0.14%"
"02/04/2025","33.022","32.540","33.195","32.225","61.87K","1.52%"
"02/03/2025","32.526","32.460","32.745","31.610","76.65K","0.81%"
"01/31/2025","32.265","32.765","32.920","32.115","65.34K","-0.70%"
"01/30/2025","32.493","31.580","32.815","31.560","68.27K","3.93%"
"01/29/2025","31.264","30.780","31.600","30.640","0.26K","1.66%"
"01/28/2025","30.755","30.440","30.805","30.255","0.26K","1.56%"
"01/27/2025","30.283","30.615","30.790","29.970","0.30K","-2.49%"
"01/24/2025","31.055","30.950","31.535","30.950","0.31K","1.12%"
"01/23/2025","30.712","31.180","31.180","30.375","0.28K","-2.25%"
"01/22/2025","31.420","31.555","31.710","31.115","41.70K","-0.24%"
"01/21/2025","31.496","31.085","31.575","30.770","69.97K","1.14%"
"01/17/2025","31.141","31.605","31.640","30.910","49.19K","-1.84%"
"01/16/2025","31.725","31.600","31.985","31.535","48.24K","0.62%"
"01/15/2025","31.531","30.545","31.650","30.370","51.15K","3.89%"
"01/14/2025","30.351","30.305","30.580","30.115","41.98K","0.14%"
"01/13/2025","30.309","31.305","31.465","30.205","61.01K","-3.21%"
"01/10/2025","31.314","31.045","31.840","30.700","65.41K","0.96%"
"01/09/2025","31.015","30.730","31.270","30.650","39.72K","1.06%"
"01/08/2025","30.690","30.655","31.045","30.455","44.22K","0.01%"
"01/07/2025","30.686","30.485","31.025","30.410","48.06K","0.34%"
"01/06/2025","30.583","30.095","30.960","29.875","61.09K","1.72%"
"01/03/2025","30.065","29.985","30.380","29.935","32.80K","0.55%"
"01/02/2025","29.900","29.310","30.040","29.270","43.11K","2.25%"
