no,location,nop,income,expend,alcohol,price
22099014,wies,9,2572,2445,0,1
20079011,500t+,3,5000,3781,293,1
10174014,500t+,3,3467,3610,0,1
10020011,500t+,1,1924,2423,0,1
11224011,200t-500t,2,2150,1596,79,1
21166011,20t-100t,5,2166,2071,42,1
20122011,500t+,2,1030,2055,108,1
21063014,-20t,3,1320,1976,0,1
22149014,wies,6,3036,1761,0,1
11593014,-20t,1,466,674,0,1
12566014,wies,4,1334,1388,138,1
21165014,20t-100t,1,2685,2321,0,1
10149011,500t+,4,2399,3148,61,1
21254011,20t-100t,6,2903,3771,0,1
21250014,-20t,3,183,527,0,1
21289011,20t-100t,3,468,803,0,1
20153011,500t+,3,2350,1627,0,1
10008014,500t+,4,6341,2319,0,1
11769011,100t-200t,3,1614,1231,95,1
22075011,wies,3,1488,1148,0,1
10155011,500t+,2,1362,976,0,1
21290014,-20t,4,2091,1601,0,1
10033014,200t-500t,2,2459,2162,80,1
11552014,20t-100t,3,1368,1656,0,1
21223011,20t-100t,2,2400,1033,0,1
21193011,20t-100t,2,1724,1702,0,1
11521011,-20t,3,1848,1833,0,1
21262011,20t-100t,6,2343,2597,0,1
21085011,20t-100t,5,2201,1648,0,1
21141011,20t-100t,3,3459,3880,0,1
21115011,20t-100t,4,1511,1184,0,1
10261014,200t-500t,5,1753,711,0,1
11030014,20t-100t,3,903,958,0,1
10237011,200t-500t,3,850,798,0,1
20047011,200t-500t,2,1696,2054,0,1
21040014,100t-200t,4,2487,1727,0,1
20077014,500t+,4,3950,2990,193,1
10329014,500t+,4,6422,5844,0,1
20082011,500t+,2,3297,3128,0,1
11463014,-20t,3,530,1050,0,1
22125014,wies,4,2605,1582,0,1
11479011,-20t,5,1139,914,0,1
21162011,20t-100t,2,720,604,0,1
22125012,wies,3,1566,1275,0,1
21077014,20t-100t,4,7448,4087,231,1
22016012,wies,3,2147,1996,0,1
20090011,500t+,3,1201,2073,0,1
10125014,500t+,4,2754,2262,0,1
11004014,-20t,4,3180,3606,0,1
21092014,-20t,3,2426,1938,0,1
21009014,20t-100t,4,3894,1874,99,1
21293011,20t-100t,3,3478,1614,103,1
20045011,200t-500t,3,3405,3080,131,1
20031014,200t-500t,1,1171,1096,0,1
21097014,-20t,4,1950,1666,0,1
11677011,-20t,2,488,649,0,1
11298014,100t-200t,3,2867,3310,0,1
12442011,wies,7,1811,1229,0,1
20040011,200t-500t,2,3287,2510,0,1
22151014,wies,3,1350,1482,96,1
11343011,100t-200t,3,1675,1445,0,1
21037014,20t-100t,4,1022,713,0,1
11290011,100t-200t,5,3261,2697,0,1
21128011,200t-500t,1,1450,1434,0,1
11129014,-20t,5,1795,1111,0,1
20147011,500t+,2,2700,2104,0,1
10194011,500t+,3,2890,2815,149,1
11686015,-20t,4,1436,1319,168,1
11660014,20t-100t,4,791,678,0,1
20136014,200t-500t,5,1523,1512,0,1
21121011,20t-100t,3,2000,1895,0,1
20061014,500t+,1,1451,1066,0,1
21248014,20t-100t,4,2101,2158,0,1
11751011,20t-100t,3,1340,1033,0,1
22165011,wies,4,3033,3869,239,1
11113011,20t-100t,4,1820,1179,0,1
10346011,500t+,8,2869,1247,179,1
21277011,-20t,3,1603,1312,0,1
21158011,20t-100t,2,5843,3888,0,1
20058011,500t+,2,6500,8635,579,1
22222011,wies,5,1979,1815,0,1
22027014,wies,5,2477,1032,0,1
21295011,-20t,3,1202,1907,73,1
11508014,200t-500t,1,1500,1547,0,1
10054014,200t-500t,4,2986,2611,0,1
21007011,20t-100t,3,1248,1074,0,1
11515014,20t-100t,3,2950,2213,0,1
11150014,-20t,1,1065,630,0,1
22058011,wies,7,2254,2283,80,1
10216014,100t-200t,1,2699,1989,0,1
11261014,20t-100t,2,1400,1415,0,1
11612014,-20t,4,1300,1309,0,1
11282014,200t-500t,4,1330,1311,56,1
11056011,-20t,2,1572,1073,0,1
11041011,100t-200t,5,1008,1156,0,1
11014011,20t-100t,3,1600,1416,0,1
22104011,wies,2,1829,1964,185,1
20102011,500t+,3,2175,1389,0,1
20002014,200t-500t,4,1800,1833,121,1
20032011,200t-500t,2,1574,2140,0,1
10003011,500t+,6,1748,1575,130,1
10179011,500t+,3,2852,1956,136,1
12551011,wies,5,3417,1848,0,1
20050014,200t-500t,3,1211,681,0,1
20104014,500t+,3,2944,2123,0,1
22154014,wies,4,2507,1558,0,1
11506011,100t-200t,3,1750,1173,0,1
21185014,20t-100t,3,1086,1016,0,1
21244014,-20t,2,886,1196,0,1
22033011,wies,3,1762,820,0,1
11222014,200t-500t,2,2600,1491,0,1
21244011,-20t,3,1636,1187,0,1
20023014,100t-200t,2,2637,2047,0,1
22096011,wies,4,966,1087,0,1
11741014,-20t,2,1540,1579,0,1
21168014,-20t,2,1807,1745,0,1
11298011,100t-200t,3,2960,2792,0,1
22080014,wies,2,1226,882,118,1
10016011,500t+,5,8875,4199,0,1
21261011,100t-200t,3,4706,3709,0,1
12428011,wies,5,1930,2043,0,1
22215011,wies,2,1452,1303,0,1
20044011,200t-500t,3,1460,1083,18,1
11170011,20t-100t,4,1151,1583,248,1
12573014,wies,3,2019,1545,0,1
11085014,20t-100t,4,1524,1627,0,1
12427014,wies,5,2240,1392,0,1
10118011,500t+,4,2951,2424,116,1
20092014,500t+,2,1500,988,0,1
11338014,200t-500t,3,1088,1960,0,1
21002011,20t-100t,1,1596,1724,0,1
11109014,-20t,3,2300,1576,0,1
21060014,20t-100t,3,1956,1882,0,1
21232011,100t-200t,2,3756,3276,216,1
11487014,20t-100t,2,1277,869,0,1
10132011,500t+,1,2590,1904,139,1
21263011,20t-100t,2,2575,3068,143,1
21197011,100t-200t,3,1570,1334,0,1
11753014,20t-100t,3,3197,2202,0,1
10149014,500t+,4,2336,2405,165,1
11233011,100t-200t,4,1135,1392,68,1
11323011,-20t,3,1166,757,0,1
21163011,-20t,4,4312,2081,87,1
10086014,500t+,5,2220,2406,0,1
11539011,20t-100t,2,1211,2040,0,1
10291011,200t-500t,4,3420,3007,232,1
20145014,500t+,2,3005,1969,0,1
11698014,100t-200t,4,2067,2097,0,1
11052014,-20t,4,1376,1316,0,1
21243011,100t-200t,3,1073,728,0,1
21218011,200t-500t,2,4120,1398,0,1
11153014,20t-100t,3,1447,2501,0,1
11266011,100t-200t,6,1087,1113,0,1
20139011,200t-500t,3,1727,1206,0,1
22203014,wies,6,1953,1692,0,1
12083014,wies,4,3600,2237,0,1
21120011,-20t,1,1179,1168,0,1
11014014,20t-100t,2,1150,1919,0,1
21282011,100t-200t,3,2382,2614,0,1
11184014,20t-100t,2,2670,2003,0,1
11415011,20t-100t,4,2892,2073,0,1
12544014,wies,2,1228,1549,0,1
11500014,20t-100t,3,1992,1729,164,1
22208011,wies,4,2930,3826,0,1
12529014,wies,4,2520,2090,0,1
22124014,wies,4,1291,1493,0,1
11610014,-20t,4,1991,2237,0,1
21007014,20t-100t,3,2642,2551,0,1
21268011,20t-100t,4,1430,1418,0,1
20078014,500t+,2,6323,5578,351,1
11045011,20t-100t,1,758,1483,0,1
10305014,200t-500t,3,1650,1653,0,1
11366014,-20t,6,1837,1390,0,1
20100011,500t+,4,4384,3665,253,1
20037014,200t-500t,1,1542,1873,0,1
20125011,500t+,2,2454,2065,0,1
12149011,wies,5,1932,1743,145,1
21050014,20t-100t,2,2750,2296,0,1
12529011,wies,3,2764,2357,0,1
10222014,100t-200t,4,2117,2072,113,1
21048011,-20t,4,1888,2112,0,1
11254011,20t-100t,4,1082,1173,0,1
21070014,-20t,4,829,860,0,1
11745011,20t-100t,2,2621,3499,145,1
11080014,100t-200t,4,844,1076,0,1
21247011,-20t,3,1100,1114,0,1
22137014,wies,4,529,608,63,1
21213011,100t-200t,3,2850,2384,0,1
21229011,100t-200t,4,1955,1412,0,1
11756014,20t-100t,4,4500,4040,0,1
10218014,100t-200t,1,747,741,0,1
21032011,-20t,3,1492,1036,0,1
10220011,100t-200t,4,2008,1659,0,1
22205011,wies,3,1360,956,0,1
10282011,200t-500t,3,2273,1328,322,1
11077014,-20t,4,2232,1849,0,1
21019014,20t-100t,3,2236,1567,0,1
11580011,20t-100t,2,2166,1169,42,1
22163014,wies,1,850,738,0,1
11766014,100t-200t,3,2802,2155,315,1
10075014,500t+,3,1244,940,0,1
10299014,200t-500t,3,2100,2006,0,1
12110011,wies,4,993,1295,113,1
12285011,wies,4,3500,2515,218,1
21021011,20t-100t,5,1970,1182,92,1
20023011,100t-200t,3,2366,2052,0,1
21242014,100t-200t,4,720,1371,0,1
11293011,100t-200t,3,1465,1110,92,1
11196011,20t-100t,4,1895,1409,0,1
12362014,wies,5,2135,2333,0,1
11330014,200t-500t,4,6202,3273,0,1
12417011,wies,3,1830,2218,0,1
21033011,-20t,3,819,608,0,1
11551011,20t-100t,4,3152,2523,0,1
21210011,100t-200t,4,1200,1410,0,1
20035011,200t-500t,3,1930,1712,148,1
11066014,-20t,3,1095,563,0,1
10302011,200t-500t,3,1590,1088,0,1
11486011,-20t,2,1628,1164,119,1
12604014,wies,4,2414,2601,26,1
10204014,500t+,3,2305,3163,0,1
11660011,20t-100t,3,1464,1865,0,1
20016011,500t+,2,3474,3009,0,1
20076014,500t+,3,850,929,0,1
11579011,20t-100t,3,1434,935,0,1
21151014,20t-100t,4,2194,1282,0,1
10157011,500t+,4,2929,3214,0,1
11045014,20t-100t,4,3200,1331,43,1
10076011,500t+,3,6175,3810,0,1
12288011,wies,1,580,755,0,1
11258011,20t-100t,3,1243,1719,0,1
10152014,500t+,1,2387,2304,0,1
11182014,20t-100t,3,2240,2045,59,1
22133014,wies,4,1739,1314,123,1
20022011,100t-200t,3,1588,1605,0,1
11517011,20t-100t,4,2730,1953,0,1
10104014,500t+,3,1534,1467,0,1
21222011,20t-100t,2,1000,665,0,1
20081011,500t+,4,3354,2585,0,1
21291014,-20t,5,2014,1081,76,1
22178011,wies,4,2000,2130,0,1
21283014,100t-200t,2,1574,1001,0,1
10257011,200t-500t,3,2616,1463,0,1
11284011,200t-500t,4,800,956,0,1
11510014,200t-500t,5,1337,1167,55,1
11761014,100t-200t,2,1490,1115,56,1
10120011,500t+,2,3231,2993,0,1
22112014,wies,2,3200,2372,0,1
11545011,100t-200t,3,1172,928,0,1
12429011,wies,2,2294,1106,59,1
20019012,500t+,2,1340,1250,0,1
11322014,-20t,3,2030,1539,0,1
21026011,100t-200t,4,1354,966,0,1
20019011,500t+,3,976,889,91,1
11406011,20t-100t,1,1466,2002,0,1
22030014,wies,5,1419,1038,0,1
21204011,100t-200t,4,1494,2090,202,1
20106011,500t+,2,4371,6335,0,1
10033011,200t-500t,3,2654,4052,38,1
11610011,-20t,4,6294,6766,0,1
20038014,200t-500t,2,2470,1015,0,1
20046011,200t-500t,4,3014,3057,0,1
21212014,100t-200t,2,2310,1796,0,1
21059014,20t-100t,2,1698,9508,0,1
20144014,500t+,3,1508,1201,0,1
21169014,200t-500t,3,2569,1973,192,1
21043011,200t-500t,4,2162,2572,0,1
20013011,500t+,5,2500,2847,0,1
20024011,200t-500t,2,1244,1210,0,1
12479011,wies,6,2720,2228,0,1
21003011,20t-100t,8,1763,1591,0,1
11366011,-20t,5,2410,1799,0,1
20084014,500t+,1,1473,1336,0,1
20012014,500t+,4,2435,1642,0,1
21272014,20t-100t,3,1799,1962,0,1
22107014,wies,4,1554,1183,0,1
20059014,500t+,4,3341,3419,0,1
21292014,20t-100t,2,2183,3579,33,1
10001014,500t+,2,1462,1853,0,1
21106011,20t-100t,3,1939,2432,0,1
10361011,200t-500t,4,2316,1704,245,1
21132014,-20t,5,2375,1784,0,1
22056011,wies,3,1960,1265,0,1
22079014,wies,5,2299,1628,76,1
10365011,200t-500t,2,1568,1139,0,1
11150011,-20t,3,1500,1536,0,1
11727011,-20t,4,1111,1569,211,1
12110014,wies,2,1088,824,0,1
11229011,200t-500t,3,826,925,0,1
21017014,-20t,3,2200,2727,0,1
22211011,wies,4,1716,1396,0,1
11490014,20t-100t,4,1874,2214,0,1
11729014,-20t,2,1998,1251,0,1
20010011,500t+,4,2886,3295,110,1
22200014,wies,3,2024,1506,0,1
22122014,wies,4,2090,1395,18,1
12104014,wies,4,2168,1664,0,1
10045014,200t-500t,2,1286,985,0,1
11347011,100t-200t,2,2043,1523,180,1
21202014,200t-500t,2,980,663,0,1
10133011,500t+,4,1960,2021,64,1
12571011,wies,9,4822,3935,386,1
20019014,500t+,3,1586,1580,118,1
21161014,20t-100t,4,3078,1815,0,1
11246014,200t-500t,3,2349,1776,94,1
21097011,-20t,3,2024,1329,0,1
20051014,100t-200t,3,1627,1426,0,1
10147011,500t+,5,7000,4484,0,1
10022014,500t+,3,1325,1200,0,1
21001011,20t-100t,3,1056,997,0,1
22110011,wies,3,1380,670,68,1
20006014,200t-500t,2,3200,1271,0,1
11405011,20t-100t,3,2858,2371,131,1
11053011,20t-100t,2,1855,1390,0,1
21033014,-20t,5,2186,2683,0,1
11566014,20t-100t,2,1273,1751,46,1
20005014,200t-500t,1,639,417,0,1
21090014,-20t,3,1742,1875,0,1
20034011,200t-500t,3,1980,997,0,1
20146014,500t+,3,4247,4585,47,1
10158011,500t+,2,3692,2366,222,1
21042011,200t-500t,3,924,1137,89,1
10135011,500t+,4,1136,1218,0,1
11525014,20t-100t,4,3046,2056,34,1
11280014,200t-500t,1,1068,750,0,1
10275011,200t-500t,3,3447,2314,0,1
22202011,wies,5,2900,2378,0,1
21276014,20t-100t,3,3111,3009,0,1
20002011,200t-500t,6,3733,2793,0,1
10302014,200t-500t,3,1900,619,0,1
10285014,200t-500t,5,8200,8648,304,1
11410014,20t-100t,2,1530,1376,124,1
21024014,100t-200t,2,1166,948,0,1
10170014,500t+,3,1723,1675,0,1
21255011,-20t,2,6164,2634,0,1
21216011,200t-500t,4,1788,2457,185,1
21226011,20t-100t,2,1080,1050,0,1
10031014,200t-500t,4,2234,2506,36,1
22020014,wies,4,869,540,0,1
22163011,wies,8,1115,811,0,1
11474011,-20t,5,2250,1887,0,1
21228011,100t-200t,3,2742,1326,75,1
21004014,20t-100t,4,6117,3371,0,1
12597014,wies,1,940,1091,30,1
22121014,wies,3,2119,2357,0,1
21199014,200t-500t,1,6110,1862,170,1
10366011,200t-500t,3,1469,1514,44,1
11422011,20t-100t,3,1575,2022,0,1
22082011,wies,4,2300,1855,47,1
11478011,20t-100t,3,3250,1846,0,1
20051011,100t-200t,3,3362,2651,0,1
21025014,100t-200t,4,1023,1707,0,1
12586014,wies,2,1222,867,0,1
21285014,-20t,7,2830,2888,0,1
21082011,20t-100t,1,1450,1043,0,1
10340014,500t+,4,3442,4283,0,1
22065014,wies,3,1190,1027,0,1
21288014,20t-100t,4,1752,1598,0,1
21076011,-20t,4,1166,886,0,1
10135014,500t+,4,4796,4836,0,1
20048014,200t-500t,4,3036,4370,252,1
21133011,-20t,7,2180,2244,0,1
11291011,100t-200t,5,3185,2434,391,1
12182011,wies,4,2912,2748,0,1
21266014,20t-100t,3,2030,1631,22,1
11363014,-20t,4,2478,2063,118,1
10137014,500t+,3,2680,2322,0,1
12252011,wies,4,1279,943,0,1
11442011,-20t,1,1199,902,0,1
11115011,-20t,5,1860,1320,0,1
22031011,wies,4,1780,1809,0,1
22095014,wies,1,1161,1121,0,1
21039011,100t-200t,6,1941,1174,0,1
20027014,200t-500t,5,2872,4823,53,1
11083014,20t-100t,4,2864,1816,0,1
10177011,500t+,3,1948,1570,0,1
10238011,200t-500t,1,2396,2327,159,1
22179011,wies,4,1850,1411,0,1
22097011,wies,6,1932,1358,0,1
11278011,200t-500t,4,1612,856,0,1
11674011,20t-100t,4,2606,2558,170,1
12505014,wies,5,2150,2125,0,1
11084011,20t-100t,4,1699,1258,0,1
11559014,20t-100t,2,1187,971,0,1
21051014,20t-100t,4,3614,2304,0,1
10143014,500t+,4,3671,4049,0,1
21130014,20t-100t,4,823,1993,0,1
22043014,wies,4,2880,1685,0,1
21219011,200t-500t,4,1788,1441,0,1
21149011,20t-100t,5,2207,2088,0,1
12562014,wies,3,1682,1076,110,1
21048014,-20t,5,2505,2111,156,1
10005011,500t+,5,1170,1185,0,1
11088014,20t-100t,1,1242,1055,0,1
22120011,wies,5,580,660,0,1
11474014,-20t,4,3000,2590,0,1
12545011,wies,3,2064,2288,0,1
12429015,wies,5,1150,1361,0,1
11021014,-20t,2,750,712,0,1
11598011,20t-100t,7,1248,1078,0,1
21173011,100t-200t,4,2274,1911,107,1
11077011,-20t,5,1908,870,0,1
11369014,-20t,5,1634,2539,0,1
21263014,20t-100t,3,2024,1164,0,1
21104011,20t-100t,2,715,1021,0,1
21096014,-20t,2,4530,1807,356,1
22215014,wies,4,2029,1282,0,1
21127014,200t-500t,4,1246,1175,165,1
12477011,wies,4,2213,2543,0,1
20103014,500t+,4,2532,2272,0,1
12401015,wies,3,816,584,0,1
10170011,500t+,2,3200,2028,0,1
20068011,500t+,5,1864,1388,0,1
10112011,500t+,7,1428,2578,157,1
11213011,200t-500t,8,1150,1438,147,1
11407011,20t-100t,4,3229,2929,177,1
12522011,wies,5,996,1065,0,1
21165011,20t-100t,5,2682,3302,0,1
22202014,wies,2,1500,1411,206,1
10342012,500t+,1,1700,1289,145,1
12568014,wies,4,2495,1797,233,1
21159014,20t-100t,2,3438,2235,559,1
10265014,200t-500t,2,1307,1224,0,1
20129011,200t-500t,2,2744,7788,0,1
21183014,-20t,5,1467,1459,0,1
21162014,20t-100t,5,1424,1382,0,1
11650011,-20t,2,2747,4063,144,1
21008014,-20t,3,2590,1684,33,1
10277014,200t-500t,2,2133,1427,16,1
11741011,-20t,1,740,844,0,1
11078011,100t-200t,2,2639,2705,11,1
10034014,200t-500t,3,2759,2090,0,1
10151011,500t+,4,4775,5396,0,1
21167014,20t-100t,2,1400,973,0,1
21255014,-20t,3,2698,1487,0,1
21227014,100t-200t,4,1600,1135,65,1
10015011,500t+,1,1351,1237,0,1
10361014,200t-500t,2,1088,1159,0,1
10201014,500t+,3,2143,1712,0,1
22060014,wies,2,1915,729,0,1
12080011,wies,4,2500,2201,20,1
12193011,wies,3,1653,1585,0,1
12060011,wies,6,1350,1583,96,1
11073014,-20t,3,2148,640,0,1
22050011,wies,4,1427,1361,0,1
11198014,-20t,3,2400,2507,88,1
11044011,20t-100t,2,2286,1619,0,1
22107011,wies,5,2472,2034,95,1
11717011,20t-100t,4,1678,3334,0,1
10283014,200t-500t,4,4708,4520,217,1
21144014,20t-100t,2,2069,2614,0,1
11207014,200t-500t,2,2050,1848,29,1
21177014,20t-100t,3,1324,1592,105,1
21181014,20t-100t,5,2569,2372,0,1
20003014,200t-500t,4,6050,5237,0,1
22081011,wies,6,3239,1902,0,1
12249011,wies,9,2057,2060,0,1
12441011,wies,4,2844,2442,63,1
11410011,20t-100t,2,1526,1491,0,1
21135014,-20t,3,1913,2206,0,1
11075014,20t-100t,3,2380,1277,0,1
22092014,wies,4,870,1075,0,1
21140011,20t-100t,3,2336,2900,0,1
11107011,20t-100t,4,1652,1840,73,1
21277014,-20t,5,2050,2067,0,1
21131014,20t-100t,2,1744,1657,0,1
21172011,200t-500t,4,2576,1847,0,1
10192011,500t+,2,4012,1843,0,1
12285014,wies,4,1490,1322,0,1
12193014,wies,8,3411,3759,0,1
21103014,20t-100t,3,1485,2015,0,1
20010014,500t+,4,5173,2139,0,1
21115014,20t-100t,4,1644,1551,0,1
21129011,20t-100t,4,1843,1955,0,1
20086011,500t+,2,3084,2944,0,1
21234011,100t-200t,5,3899,2356,0,1
20054014,100t-200t,4,2494,2363,0,1
22082014,wies,6,2800,1589,111,1
11512014,200t-500t,4,2206,1503,0,1
11426011,-20t,3,2322,1895,0,1
12302014,wies,3,1000,929,0,1
11199012,20t-100t,3,2291,3368,0,1
11071014,-20t,4,2021,1651,0,1
11322011,-20t,4,1495,1251,0,1
10275014,200t-500t,3,1879,2015,105,1
11074014,20t-100t,1,901,1004,0,1
11446014,-20t,5,1682,1903,183,1
11287011,20t-100t,1,1963,1092,0,1
22160014,wies,2,1122,1192,0,1
21071011,20t-100t,2,1113,1570,0,1
20060011,500t+,3,3430,1507,0,1
21099011,20t-100t,5,2767,1770,0,1
12559011,wies,2,580,525,0,1
10023012,500t+,2,1983,1492,0,1
20057011,100t-200t,4,3728,3673,104,1
10354014,200t-500t,4,4352,4242,0,1
21126014,200t-500t,2,1747,1442,0,1
10194014,500t+,2,2639,2415,0,1
21011014,20t-100t,1,3900,2498,328,1
10319011,100t-200t,3,4000,3087,0,1
11231014,100t-200t,4,2179,1599,0,1
21181011,20t-100t,3,1847,1705,0,1
21111014,20t-100t,2,1300,764,0,1
20004014,200t-500t,3,2890,2107,82,1
20127011,500t+,4,1996,2157,0,1
11705014,200t-500t,5,1743,1739,164,1
21067011,100t-200t,4,1903,1608,0,1
21139011,20t-100t,6,2981,2818,0,1
21278011,-20t,4,2110,878,0,1
21106014,20t-100t,3,2433,3558,0,1
11072011,-20t,2,3732,5334,0,1
11304014,20t-100t,6,1915,4207,165,1
11442014,-20t,2,2506,3130,0,1
11689014,-20t,3,3314,2929,0,1
20003011,200t-500t,4,5360,3308,75,1
11550011,20t-100t,3,1654,1288,0,1
21183011,-20t,4,2116,2026,0,1
10227014,100t-200t,4,1619,903,0,1
11229014,200t-500t,4,1313,1068,0,1
20055011,100t-200t,2,2753,3861,0,1
21146011,20t-100t,4,3736,3771,0,1
20107011,500t+,1,1285,1221,0,1
11204011,100t-200t,3,4250,3921,205,1
21017011,-20t,4,2580,1743,0,1
21124014,100t-200t,1,876,609,0,1
21177011,20t-100t,4,2037,2194,0,1
10115014,500t+,3,1312,1637,0,1
21065011,100t-200t,4,3105,2289,0,1
20011014,500t+,6,2602,2673,11,1
20071011,500t+,2,1470,1153,0,1
11287014,20t-100t,2,3347,1262,80,1
11579014,20t-100t,3,2519,2136,95,1
20079014,500t+,5,14000,6418,95,1
11583011,20t-100t,2,1499,1105,0,1
12270014,wies,5,1807,1770,0,1
10180011,500t+,2,2066,2621,0,1
10174011,500t+,4,2026,1710,0,1
20129014,200t-500t,3,1988,1580,0,1
22087014,wies,5,2207,2001,0,1
