"mode","income","alt","price","catch","chid","idx.chid","idx.alt"
FALSE, 5416.6667,"charter",152.930,0.5391,  16,  16,charter
TRUE, 5416.6667,"pier", 33.534,0.0789,  16,  16,pier
TRUE, 5416.6667,"beach", 48.114,0.1049,  17,  17,beach
FALSE, 5416.6667,"boat", 33.534,0.1574,  17,  17,boat
FALSE, 5416.6667,"charter", 57.534,0.4671,  17,  17,charter
FALSE, 5416.6667,"pier", 48.114,0.0451,  17,  17,pier
FALSE, 2916.6666,"beach", 33.462,0.1049,  18,  18,beach
FALSE, 2916.6666,"boat",  7.722,0.0613,  18,  18,boat
FALSE, 2916.6666,"charter", 31.722,0.3087,  18,  18,charter
TRUE, 2916.6666,"pier", 33.462,0.0079,  18,  18,pier
FALSE, 4583.3320,"beach",211.344,0.5333,  19,  19,beach
TRUE, 4583.3320,"boat", 11.322,0.0361,  19,  19,boat
FALSE, 4583.3320,"charter", 46.322,0.4216,  19,  19,charter
FALSE, 4583.3320,"pier",211.344,0.0069,  19,  19,pier
FALSE, 4583.3320,"beach", 49.062,0.1049,  20,  20,beach
TRUE, 4583.3320,"boat", 11.322,0.1574,  20,  20,boat
FALSE, 4583.3320,"charter", 35.322,0.4671,  20,  20,charter
FALSE, 4583.3320,"pier", 49.062,0.0451,  20,  20,pier
FALSE, 7916.6663,"beach",345.744,0.5333,  21,  21,beach
FALSE, 7916.6663,"boat", 18.522,0.0156,  21,  21,boat
TRUE, 7916.6663,"charter", 53.522,0.0058,  21,  21,charter
FALSE, 7916.6663,"pier",345.744,0.4522,  21,  21,pier
FALSE, 8750.0010,"beach", 88.062,0.1049,  22,  22,beach
FALSE, 8750.0010,"boat", 20.322,0.0023,  22,  22,boat
TRUE, 8750.0010,"charter", 44.322,0.0046,  22,  22,charter
FALSE, 8750.0010,"pier", 88.062,0.0451,  22,  22,pier
FALSE, 2083.3332,"beach",100.674,0.5333,  23,  23,beach
TRUE, 2083.3332,"boat", 15.134,0.1665,  23,  23,boat
FALSE, 2083.3332,"charter", 50.134,0.3975,  23,  23,charter
FALSE, 2083.3332,"pier",100.674,0.4522,  23,  23,pier
FALSE, 2916.6666,"beach", 28.314,0.1049,  24,  24,beach
FALSE, 2916.6666,"boat", 19.734,0.0613,  24,  24,boat
TRUE, 2916.6666,"charter", 43.734,0.3087,  24,  24,charter
FALSE, 2916.6666,"pier", 28.314,0.0079,  24,  24,pier
FALSE, 2916.6666,"beach", 33.462,0.0678,  25,  25,beach
FALSE, 2916.6666,"boat", 34.320,0.0559,  25,  25,boat
TRUE, 2916.6666,"charter", 69.320,0.6456,  25,  25,charter
FALSE, 2916.6666,"pier", 33.462,0.0789,  25,  25,pier
TRUE, 1249.9998,"beach", 67.784,0.5333,  26,  26,beach
FALSE, 1249.9998,"boat", 17.862,0.2413,  26,  26,boat
FALSE, 1249.9998,"charter", 52.862,1.0266,  26,  26,charter
FALSE, 1249.9998,"pier", 67.784,0.4522,  26,  26,pier
FALSE, 4583.3320,"beach", 50.320,0.1049,  27,  27,beach
FALSE, 4583.3320,"boat", 49.062,0.1574,  27,  27,boat
FALSE, 4583.3320,"charter", 73.062,0.4671,  27,  27,charter
TRUE, 4583.3320,"pier", 50.320,0.0451,  27,  27,pier
FALSE, 7083.3317,"beach", 72.462,0.0678,  28,  28,beach
TRUE, 7083.3317,"boat", 74.320,0.0897,  28,  28,boat
FALSE, 7083.3317,"charter",109.320,1.0905,  28,  28,charter
FALSE, 7083.3317,"pier", 72.462,0.0789,  28,  28,pier
FALSE, 1249.9998,"beach", 70.074,0.5333,  29,  29,beach
FALSE, 1249.9998,"boat", 10.534,0.0156,  29,  29,boat
TRUE, 1249.9998,"charter", 45.534,0.0058,  29,  29,charter
FALSE, 1249.9998,"pier", 70.074,0.4522,  29,  29,pier
FALSE, 2916.6666,"beach",131.274,0.5333,  30,  30,beach
FALSE, 2916.6666,"boat", 19.734,0.0156,  30,  30,boat
TRUE, 2916.6666,"charter", 54.734,0.0058,  30,  30,charter
FALSE, 2916.6666,"pier",131.274,0.4522,  30,  30,pier
FALSE, 2916.6666,"beach", 28.314,0.1049,  31,  31,beach
FALSE, 2916.6666,"boat", 19.734,0.0023,  31,  31,boat
TRUE, 2916.6666,"charter", 43.734,0.0046,  31,  31,charter
FALSE, 2916.6666,"pier", 28.314,0.0451,  31,  31,pier
FALSE, 4583.3320,"beach", 49.062,0.1049,  32,  32,beach
FALSE, 4583.3320,"boat", 11.322,0.0613,  32,  32,boat
TRUE, 4583.3320,"charter", 35.322,0.3087,  32,  32,charter
FALSE, 4583.3320,"pier", 49.062,0.0079,  32,  32,pier
FALSE, 2916.6666,"beach", 33.462,0.1049,  33,  33,beach
TRUE, 2916.6666,"boat",  7.722,0.0023,  33,  33,boat
FALSE, 2916.6666,"charter", 31.722,0.0046,  33,  33,charter
FALSE, 2916.6666,"pier", 33.462,0.0451,  33,  33,pier
TRUE, 3749.9999,"beach",  9.522,0.0678,  34,  34,beach
FALSE, 3749.9999,"boat", 78.292,0.0014,  34,  34,boat
FALSE, 3749.9999,"charter",107.292,0.0029,  34,  34,charter
FALSE, 3749.9999,"pier",  9.522,0.0789,  34,  34,pier
FALSE, 2083.3332,"beach", 25.662,0.1049,  35,  35,beach
FALSE, 2083.3332,"boat",  5.922,0.0613,  35,  35,boat
FALSE, 2083.3332,"charter", 29.922,0.3087,  35,  35,charter
TRUE, 2083.3332,"pier", 25.662,0.0079,  35,  35,pier
FALSE, 2916.6666,"beach",144.144,0.5333,  36,  36,beach
FALSE, 2916.6666,"boat",  7.722,0.0361,  36,  36,boat
TRUE, 2916.6666,"charter", 42.722,0.4216,  36,  36,charter
FALSE, 2916.6666,"pier",144.144,0.0069,  36,  36,pier
FALSE,12499.9980,"beach",120.004,0.0678,  37,  37,beach
FALSE,12499.9980,"boat",252.640,0.0014,  37,  37,boat
FALSE,12499.9980,"charter",281.640,0.0029,  37,  37,charter
TRUE,12499.9980,"pier",120.004,0.0789,  37,  37,pier
FALSE, 1249.9998,"beach", 25.648,0.2537,  38,  38,beach
TRUE, 1249.9998,"boat", 80.608,0.0531,  38,  38,boat
FALSE, 1249.9998,"charter",105.608,0.0052,  38,  38,charter
FALSE, 1249.9998,"pier", 25.648,0.1498,  38,  38,pier
FALSE, 2083.3332,"beach",115.808,0.5333,  39,  39,beach
FALSE, 2083.3332,"boat", 25.004,0.0156,  39,  39,boat
TRUE, 2083.3332,"charter", 60.004,0.0058,  39,  39,charter
FALSE, 2083.3332,"pier",115.808,0.4522,  39,  39,pier
FALSE, 2916.6666,"beach", 32.604,0.0678,  40,  40,beach
FALSE, 2916.6666,"boat", 68.640,0.1643,  40,  40,boat
FALSE, 2916.6666,"charter", 97.640,0.5391,  40,  40,charter
TRUE, 2916.6666,"pier", 32.604,0.0789,  40,  40,pier
FALSE, 2916.6666,"beach", 10.296,0.0678,  41,  41,beach
TRUE, 2916.6666,"boat", 46.332,0.1643,  41,  41,boat
FALSE, 2916.6666,"charter", 75.332,0.5391,  41,  41,charter
FALSE, 2916.6666,"pier", 10.296,0.0789,  41,  41,pier
FALSE, 2916.6666,"beach", 10.296,0.0678,  42,  42,beach
FALSE, 2916.6666,"boat", 54.912,0.0897,  42,  42,boat
TRUE, 2916.6666,"charter", 89.912,1.0905,  42,  42,charter
FALSE, 2916.6666,"pier", 10.296,0.0789,  42,  42,pier
FALSE, 4583.3320,"beach",231.472,0.5333,  43,  43,beach
TRUE, 4583.3320,"boat", 15.096,0.2413,  43,  43,boat
FALSE, 4583.3320,"charter", 50.096,1.0266,  43,  43,charter
FALSE, 4583.3320,"pier",231.472,0.4522,  43,  43,pier
FALSE, 3749.9999,"beach", 59.248,0.2537,  44,  44,beach
FALSE, 3749.9999,"boat",186.208,0.7369,  44,  44,boat
TRUE, 3749.9999,"charter",211.208,2.3101,  44,  44,charter
FALSE, 3749.9999,"pier", 59.248,0.1498,  44,  44,pier
FALSE, 4583.3320,"beach",231.472,0.5333,  45,  45,beach
FALSE, 4583.3320,"boat", 15.096,0.2413,  45,  45,boat
TRUE, 4583.3320,"charter", 50.096,1.0266,  45,  45,charter
FALSE, 4583.3320,"pier",231.472,0.4522,  45,  45,pier
FALSE, 6250.0013,"beach", 19.896,0.0678,  46,  46,beach
FALSE, 6250.0013,"boat", 89.532,0.0014,  46,  46,boat
FALSE, 6250.0013,"charter",118.532,0.0029,  46,  46,charter
TRUE, 6250.0013,"pier", 19.896,0.0789,  46,  46,pier
FALSE, 7083.3317,"beach",341.872,0.5333,  47,  47,beach
FALSE, 7083.3317,"boat", 22.296,0.2413,  47,  47,boat
TRUE, 7083.3317,"charter", 57.296,1.0266,  47,  47,charter
FALSE, 7083.3317,"pier",341.872,0.4522,  47,  47,pier
FALSE, 1249.9998,"beach", 80.608,0.5333,  48,  48,beach
FALSE, 1249.9998,"boat", 17.404,0.2413,  48,  48,boat
TRUE, 1249.9998,"charter", 52.404,1.0266,  48,  48,charter
FALSE, 1249.9998,"pier", 80.608,0.4522,  48,  48,pier
TRUE, 3749.9999,"beach", 24.334,0.0678,  49,  49,beach
FALSE, 3749.9999,"boat", 89.930,0.1643,  49,  49,boat
FALSE, 3749.9999,"charter",118.930,0.5391,  49,  49,charter
FALSE, 3749.9999,"pier", 24.334,0.0789,  49,  49,pier
TRUE, 4583.3320,"beach", 11.322,0.0678,  50,  50,beach
FALSE, 4583.3320,"boat", 93.092,0.1643,  50,  50,boat
FALSE, 4583.3320,"charter",122.092,0.5391,  50,  50,charter
FALSE, 4583.3320,"pier", 11.322,0.0789,  50,  50,pier
FALSE, 3749.9999,"beach",177.744,0.5333,  51,  51,beach
FALSE, 3749.9999,"boat",  9.522,0.0156,  51,  51,boat
TRUE, 3749.9999,"charter", 44.522,0.0058,  51,  51,charter
FALSE, 3749.9999,"pier",177.744,0.4522,  51,  51,pier
FALSE, 2083.3332,"beach",  5.922,0.0678,  52,  52,beach
FALSE, 2083.3332,"boat", 48.692,0.1643,  52,  52,boat
FALSE, 2083.3332,"charter", 77.692,0.5391,  52,  52,charter
TRUE, 2083.3332,"pier",  5.922,0.0789,  52,  52,pier
FALSE, 3749.9999,"beach",177.744,0.5333,  53,  53,beach
TRUE, 3749.9999,"boat",  9.522,0.2413,  53,  53,boat
FALSE, 3749.9999,"charter", 44.522,1.0266,  53,  53,charter
FALSE, 3749.9999,"pier",177.744,0.4522,  53,  53,pier
FALSE, 1249.9998,"beach", 70.074,0.5333,  54,  54,beach
TRUE, 1249.9998,"boat", 10.534,0.0361,  54,  54,boat
FALSE, 1249.9998,"charter", 45.534,0.4216,  54,  54,charter
FALSE, 1249.9998,"pier", 70.074,0.0069,  54,  54,pier
FALSE, 4583.3320,"beach", 41.514,0.1049,  55,  55,beach
FALSE, 4583.3320,"boat", 28.934,0.0613,  55,  55,boat
TRUE, 4583.3320,"charter", 52.934,0.3087,  55,  55,charter
FALSE, 4583.3320,"pier", 41.514,0.0079,  55,  55,pier
FALSE, 2083.3332,"beach", 21.714,0.1049,  56,  56,beach
FALSE, 2083.3332,"boat", 15.134,0.0023,  56,  56,boat
TRUE, 2083.3332,"charter", 39.134,0.0046,  56,  56,charter
FALSE, 2083.3332,"pier", 21.714,0.0451,  56,  56,pier
FALSE, 2916.6666,"beach",144.144,0.5333,  57,  57,beach
FALSE, 2916.6666,"boat",  7.722,0.0156,  57,  57,boat
TRUE, 2916.6666,"charter", 42.722,0.0058,  57,  57,charter
FALSE, 2916.6666,"pier",144.144,0.4522,  57,  57,pier
FALSE, 2083.3332,"beach", 25.662,0.1049,  58,  58,beach
TRUE, 2083.3332,"boat",  5.922,0.0613,  58,  58,boat
FALSE, 2083.3332,"charter", 29.922,0.3087,  58,  58,charter
FALSE, 2083.3332,"pier", 25.662,0.0079,  58,  58,pier
FALSE, 5416.6667,"beach",244.944,0.5333,  59,  59,beach
TRUE, 5416.6667,"boat", 13.122,0.0156,  59,  59,boat
FALSE, 5416.6667,"charter", 48.122,0.0058,  59,  59,charter
FALSE, 5416.6667,"pier",244.944,0.4522,  59,  59,pier
FALSE, 2916.6666,"beach",144.144,0.5333,  60,  60,beach
FALSE, 2916.6666,"boat",  7.722,0.2413,  60,  60,boat
TRUE, 2916.6666,"charter", 42.722,1.0266,  60,  60,charter
FALSE, 2916.6666,"pier",144.144,0.4522,  60,  60,pier
FALSE, 2083.3332,"beach",  5.922,0.0678,  61,  61,beach
FALSE, 2083.3332,"boat", 48.692,0.0014,  61,  61,boat
FALSE, 2083.3332,"charter", 77.692,0.0029,  61,  61,charter
TRUE, 2083.3332,"pier",  5.922,0.0789,  61,  61,pier
FALSE, 4583.3320,"beach", 93.092,0.0678,  62,  62,beach
FALSE, 4583.3320,"boat", 93.092,0.2601,  62,  62,boat
FALSE, 4583.3320,"charter",118.092,0.5391,  62,  62,charter
TRUE, 4583.3320,"pier", 93.092,0.0503,  62,  62,pier
FALSE, 3749.9999,"beach",177.744,0.5333,  63,  63,beach
FALSE, 3749.9999,"boat",  9.522,0.0361,  63,  63,boat
TRUE, 3749.9999,"charter", 44.522,0.4216,  63,  63,charter
FALSE, 3749.9999,"pier",177.744,0.0069,  63,  63,pier
FALSE, 3749.9999,"beach", 41.262,0.1049,  64,  64,beach
TRUE, 3749.9999,"boat",  9.522,0.1574,  64,  64,boat
FALSE, 3749.9999,"charter", 33.522,0.4671,  64,  64,charter
FALSE, 3749.9999,"pier", 41.262,0.0451,  64,  64,pier
FALSE, 3749.9999,"beach",  9.522,0.0678,  65,  65,beach
FALSE, 3749.9999,"boat", 78.292,0.1643,  65,  65,boat
FALSE, 3749.9999,"charter",107.292,0.5391,  65,  65,charter
TRUE, 3749.9999,"pier",  9.522,0.0789,  65,  65,pier
FALSE, 1249.9998,"beach", 76.944,0.5333,  66,  66,beach
FALSE, 1249.9998,"boat",  4.122,0.2413,  66,  66,boat
TRUE, 1249.9998,"charter", 39.122,1.0266,  66,  66,charter
FALSE, 1249.9998,"pier", 76.944,0.4522,  66,  66,pier
FALSE, 3749.9999,"beach",177.744,0.5333,  67,  67,beach
TRUE, 3749.9999,"boat",  9.522,0.2413,  67,  67,boat
FALSE, 3749.9999,"charter", 44.522,1.0266,  67,  67,charter
FALSE, 3749.9999,"pier",177.744,0.4522,  67,  67,pier
FALSE, 3749.9999,"beach",177.744,0.5333,  68,  68,beach
FALSE, 3749.9999,"boat",  9.522,0.1665,  68,  68,boat
TRUE, 3749.9999,"charter", 44.522,0.3975,  68,  68,charter
FALSE, 3749.9999,"pier",177.744,0.4522,  68,  68,pier
FALSE, 5416.6667,"beach",244.944,0.5333,  69,  69,beach
TRUE, 5416.6667,"boat", 13.122,0.2413,  69,  69,boat
FALSE, 5416.6667,"charter", 48.122,1.0266,  69,  69,charter
FALSE, 5416.6667,"pier",244.944,0.4522,  69,  69,pier
FALSE, 2916.6666,"beach", 33.462,0.1049,  70,  70,beach
FALSE, 2916.6666,"boat",  7.722,0.1574,  70,  70,boat
FALSE, 2916.6666,"charter", 31.722,0.4671,  70,  70,charter
TRUE, 2916.6666,"pier", 33.462,0.0451,  70,  70,pier
FALSE, 2916.6666,"beach", 33.462,0.1049,  71,  71,beach
TRUE, 2916.6666,"boat",  7.722,0.0023,  71,  71,boat
FALSE, 2916.6666,"charter", 31.722,0.0046,  71,  71,charter
FALSE, 2916.6666,"pier", 33.462,0.0451,  71,  71,pier
FALSE, 2083.3332,"beach",  5.922,0.0678,  72,  72,beach
FALSE, 2083.3332,"boat", 25.662,0.0102,  72,  72,boat
TRUE, 2083.3332,"charter", 60.662,0.0209,  72,  72,charter
FALSE, 2083.3332,"pier",  5.922,0.0789,  72,  72,pier
FALSE, 7916.6663,"beach",345.744,0.5333,  73,  73,beach
FALSE, 7916.6663,"boat", 18.522,0.1665,  73,  73,boat
TRUE, 7916.6663,"charter", 53.522,0.3975,  73,  73,charter
FALSE, 7916.6663,"pier",345.744,0.4522,  73,  73,pier
FALSE, 5416.6667,"beach",244.944,0.5333,  74,  74,beach
TRUE, 5416.6667,"boat", 13.122,0.0361,  74,  74,boat
FALSE, 5416.6667,"charter", 48.122,0.4216,  74,  74,charter
FALSE, 5416.6667,"pier",244.944,0.0069,  74,  74,pier
FALSE, 6250.0013,"beach", 64.662,0.1049,  75,  75,beach
TRUE, 6250.0013,"boat", 14.922,0.0023,  75,  75,boat
FALSE, 6250.0013,"charter", 38.922,0.0046,  75,  75,charter
FALSE, 6250.0013,"pier", 64.662,0.0451,  75,  75,pier
TRUE, 3749.9999,"beach",  9.522,0.0678,  76,  76,beach
FALSE, 3749.9999,"boat", 78.292,0.1643,  76,  76,boat
FALSE, 3749.9999,"charter",107.292,0.5391,  76,  76,charter
FALSE, 3749.9999,"pier",  9.522,0.0789,  76,  76,pier
TRUE, 7916.6663,"beach", 24.696,0.0678,  77,  77,beach
FALSE, 7916.6663,"boat",111.132,0.1643,  77,  77,boat
FALSE, 7916.6663,"charter",140.132,0.5391,  77,  77,charter
FALSE, 7916.6663,"pier", 24.696,0.0789,  77,  77,pier
FALSE, 1249.9998,"beach", 33.892,0.0678,  78,  78,beach
TRUE, 1249.9998,"boat", 33.892,0.2601,  78,  78,boat
FALSE, 1249.9998,"charter", 58.892,0.5391,  78,  78,charter
FALSE, 1249.9998,"pier", 33.892,0.0503,  78,  78,pier
FALSE, 2916.6666,"beach",144.144,0.5333,  79,  79,beach
FALSE, 2916.6666,"boat",  7.722,0.0361,  79,  79,boat
TRUE, 2916.6666,"charter", 42.722,0.4216,  79,  79,charter
FALSE, 2916.6666,"pier",144.144,0.0069,  79,  79,pier
FALSE, 2083.3332,"beach",110.544,0.5333,  80,  80,beach
TRUE, 2083.3332,"boat",  5.922,0.2413,  80,  80,boat
FALSE, 2083.3332,"charter", 40.922,1.0266,  80,  80,charter
FALSE, 2083.3332,"pier",110.544,0.4522,  80,  80,pier
FALSE, 1249.9998,"beach", 76.944,0.5333,  81,  81,beach
FALSE, 1249.9998,"boat",  4.122,0.0156,  81,  81,boat
TRUE, 1249.9998,"charter", 39.122,0.0058,  81,  81,charter
FALSE, 1249.9998,"pier", 76.944,0.4522,  81,  81,pier
TRUE, 2916.6666,"beach",  7.722,0.0678,  82,  82,beach
FALSE, 2916.6666,"boat", 63.492,0.0014,  82,  82,boat
FALSE, 2916.6666,"charter", 92.492,0.0029,  82,  82,charter
FALSE, 2916.6666,"pier",  7.722,0.0789,  82,  82,pier
FALSE, 3749.9999,"beach",177.744,0.5333,  83,  83,beach
TRUE, 3749.9999,"boat",  9.522,0.1665,  83,  83,boat
FALSE, 3749.9999,"charter", 44.522,0.3975,  83,  83,charter
FALSE, 3749.9999,"pier",177.744,0.4522,  83,  83,pier
FALSE, 1249.9998,"beach", 17.862,0.1049,  84,  84,beach
TRUE, 1249.9998,"boat",  4.122,0.1574,  84,  84,boat
FALSE, 1249.9998,"charter", 28.122,0.4671,  84,  84,charter
FALSE, 1249.9998,"pier", 17.862,0.0451,  84,  84,pier
FALSE, 2916.6666,"beach", 33.462,0.2537,  85,  85,beach
FALSE, 2916.6666,"boat", 33.462,0.0626,  85,  85,boat
TRUE, 2916.6666,"charter", 51.962,0.2773,  85,  85,charter
FALSE, 2916.6666,"pier", 33.462,0.0014,  85,  85,pier
FALSE,  416.6667,"beach",  8.514,0.2537,  86,  86,beach
TRUE,  416.6667,"boat", 39.474,0.6817,  86,  86,boat
FALSE,  416.6667,"charter", 64.474,2.3014,  86,  86,charter
FALSE,  416.6667,"pier",  8.514,0.1498,  86,  86,pier
FALSE, 6250.0013,"beach", 38.134,0.0678,  87,  87,beach
FALSE, 6250.0013,"boat", 54.714,0.0559,  87,  87,boat
TRUE, 6250.0013,"charter", 89.714,0.6456,  87,  87,charter
FALSE, 6250.0013,"pier", 38.134,0.0789,  87,  87,pier
FALSE, 3749.9999,"beach", 24.334,0.0678,  88,  88,beach
TRUE, 3749.9999,"boat", 34.914,0.0897,  88,  88,boat
FALSE, 3749.9999,"charter", 69.914,1.0905,  88,  88,charter
FALSE, 3749.9999,"pier", 24.334,0.0789,  88,  88,pier
FALSE, 2083.3332,"beach",100.674,0.5333,  89,  89,beach
FALSE, 2083.3332,"boat", 15.134,0.2413,  89,  89,boat
FALSE, 2083.3332,"charter", 50.134,1.0266,  89,  89,charter
TRUE, 2083.3332,"pier",100.674,0.4522,  89,  89,pier
FALSE,12499.9980,"beach",104.214,0.2537,  90,  90,beach
FALSE,12499.9980,"boat",104.214,0.2339,  90,  90,boat
FALSE,12499.9980,"charter",122.714,0.6288,  90,  90,charter
TRUE,12499.9980,"pier",104.214,0.1498,  90,  90,pier
FALSE, 3749.9999,"beach",161.874,0.5333,  91,  91,beach
FALSE, 3749.9999,"boat", 24.334,0.0156,  91,  91,boat
TRUE, 3749.9999,"charter", 59.334,0.0058,  91,  91,charter
FALSE, 3749.9999,"pier",161.874,0.4522,  91,  91,pier
FALSE, 5416.6667,"beach", 48.114,0.1049,  92,  92,beach
FALSE, 5416.6667,"boat", 33.534,0.1574,  92,  92,boat
TRUE, 5416.6667,"charter", 57.534,0.4671,  92,  92,charter
FALSE, 5416.6667,"pier", 48.114,0.0451,  92,  92,pier
FALSE, 6250.0013,"beach", 64.662,0.0678,  93,  93,beach
TRUE, 6250.0013,"boat", 66.320,0.0102,  93,  93,boat
FALSE, 6250.0013,"charter",101.320,0.0209,  93,  93,charter
FALSE, 6250.0013,"pier", 64.662,0.0789,  93,  93,pier
FALSE, 7083.3317,"beach", 72.462,0.0678,  94,  94,beach
FALSE, 7083.3317,"boat", 74.320,0.0102,  94,  94,boat
TRUE, 7083.3317,"charter",109.320,0.0209,  94,  94,charter
FALSE, 7083.3317,"pier", 72.462,0.0789,  94,  94,pier
FALSE,11250.0010,"beach",422.984,0.5333,  95,  95,beach
TRUE,11250.0010,"boat",111.462,0.0051,  95,  95,boat
FALSE,11250.0010,"charter",146.462,1.0266,  95,  95,charter
FALSE,11250.0010,"pier",422.984,0.4522,  95,  95,pier
FALSE, 5416.6667,"beach", 56.862,0.0678,  96,  96,beach
FALSE, 5416.6667,"boat", 58.320,0.0102,  96,  96,boat
TRUE, 5416.6667,"charter", 93.320,0.0209,  96,  96,charter
FALSE, 5416.6667,"pier", 56.862,0.0789,  96,  96,pier
FALSE, 7083.3317,"beach", 72.462,0.0678,  97,  97,beach
TRUE, 7083.3317,"boat", 74.320,0.0897,  97,  97,boat
FALSE, 7083.3317,"charter",109.320,1.0905,  97,  97,charter
FALSE, 7083.3317,"pier", 72.462,0.0789,  97,  97,pier
FALSE, 6250.0013,"beach",210.566,0.0678,  98,  98,beach
FALSE, 6250.0013,"boat", 49.740,0.0732,  98,  98,boat
TRUE, 6250.0013,"charter", 79.240,0.1726,  98,  98,charter
FALSE, 6250.0013,"pier",210.566,0.0052,  98,  98,pier
FALSE, 5416.6667,"beach", 43.740,0.2537,  99,  99,beach
FALSE, 5416.6667,"boat", 52.488,0.2339,  99,  99,boat
FALSE, 5416.6667,"charter", 70.988,0.6288,  99,  99,charter
TRUE, 5416.6667,"pier", 43.740,0.1498,  99,  99,pier
TRUE, 3749.9999,"beach", 31.740,0.2537, 100, 100,beach
FALSE, 3749.9999,"boat", 38.088,0.2339, 100, 100,boat
FALSE, 3749.9999,"charter", 56.588,0.6288, 100, 100,charter
FALSE, 3749.9999,"pier", 31.740,0.1498, 100, 100,pier
TRUE, 2083.3332,"beach", 19.740,0.2537, 101, 101,beach
