id,sex,income,car,size,choice,dealer
21,male,44.700001,American,4,0,23
21,male,44.700001,Japan,4,0,7
21,male,44.700001,Europe,4,1,2
22,male,57.5,American,1,1,24
22,male,57.5,Japan,1,0,9
22,male,57.5,Europe,1,0,4
23,male,42,American,2,1,20
23,male,42,Japan,2,0,8
23,male,42,Europe,2,0,3
24,male,40.5,American,1,1,23
24,male,40.5,Japan,1,0,10
24,male,40.5,Europe,1,0,4
25,male,44.400002,American,1,1,24
25,male,44.400002,Japan,1,0,10
25,male,44.400002,Europe,1,0,5
26,female,50.300003,American,2,1,21
26,female,50.300003,Japan,2,0,7
26,female,50.300003,Europe,2,0,4
27,female,41.099998,American,4,1,13
27,female,41.099998,Japan,4,0,3
27,female,41.099998,Europe,4,0,2
28,male,49,American,3,0,22
28,male,49,Japan,3,1,10
28,male,49,Europe,3,0,3
29,female,43,American,3,1,21
29,female,43,Japan,3,0,7
29,female,43,Europe,3,0,2
30,male,43.799999,American,4,0,16
30,male,43.799999,Japan,4,0,8
30,male,43.799999,Europe,4,1,3
31,male,46.599998,American,2,0,24
31,male,46.599998,Japan,2,0,8
31,male,46.599998,Europe,2,1,5
32,male,45.700001,American,3,1,14
32,male,45.700001,Japan,3,0,10
32,male,45.700001,Europe,3,0,2
33,male,69.800003,American,3,1,23
33,male,69.800003,Japan,3,0,10
33,male,69.800003,Europe,3,0,5
34,female,45.599998,American,2,0,21
34,female,45.599998,Japan,2,1,7
34,female,45.599998,Europe,2,0,5
35,male,20.9,American,1,1,23
35,male,20.9,Japan,1,0,10
35,male,20.9,Europe,1,0,4
36,male,30.6,American,4,1,20
36,male,30.6,Japan,4,0,4
36,male,30.6,Europe,4,0,4
37,female,40.700001,American,2,0,18
37,female,40.700001,Japan,2,0,7
37,female,40.700001,Europe,2,1,3
38,male,46.699997,American,2,0,18
38,male,46.699997,Japan,2,0,8
38,male,46.699997,Europe,2,1,5
39,male,26.1,American,3,1,17
39,male,26.1,Japan,3,0,6
39,male,26.1,Europe,3,0,2
40,male,32.700001,American,4,1,12
40,male,32.700001,Japan,4,0,6
40,male,32.700001,Europe,4,0,2
41,female,49.199997,American,2,0,18
41,female,49.199997,Japan,2,1,7
41,female,49.199997,Europe,2,0,4
42,male,24.299999,American,4,1,10
42,male,24.299999,Japan,4,0,7
42,male,24.299999,Europe,4,0,3
43,female,39,American,4,1,13
43,female,39,Japan,4,0,4
43,female,39,Europe,4,0,1
44,male,33,American,2,1,24
44,male,33,Japan,2,0,7
44,male,33,Europe,2,0,4
45,male,20.299999,American,4,1,9
45,male,20.299999,Japan,4,0,3
45,male,20.299999,Europe,4,0,3
46,male,38,American,3,0,14
46,male,38,Japan,3,1,10
46,male,38,Europe,3,0,2
47,female,60.400002,American,3,1,18
47,female,60.400002,Japan,3,0,5
47,female,60.400002,Europe,3,0,4
48,male,69,American,3,1,23
48,male,69,Japan,3,0,8
48,male,69,Europe,3,0,2
49,male,27.700001,American,1,0,21
49,male,27.700001,Japan,1,1,9
49,male,27.700001,Europe,1,0,5
50,male,41,American,2,0,20
50,male,41,Japan,2,1,10
50,male,41,Europe,2,0,5
51,male,65.599998,American,4,0,13
51,male,65.599998,Japan,4,1,4
51,male,65.599998,Europe,4,0,5
52,male,24.799999,American,3,1,21
52,male,24.799999,Japan,3,0,5
52,male,24.799999,Europe,3,0,3
53,male,21.6,American,2,1,19
53,male,21.6,Japan,2,0,8
53,male,21.6,Europe,2,0,3
54,female,43.299999,American,1,1,23
54,female,43.299999,Japan,1,0,9
54,female,43.299999,Europe,1,0,5
55,female,44.400002,American,1,0,22
55,female,44.400002,Japan,1,1,10
55,female,44.400002,Europe,1,0,4
56,male,45.300003,American,4,1,17
56,male,45.300003,Japan,4,0,8
56,male,45.300003,Europe,4,0,1
57,male,48.799999,American,3,1,20
57,male,48.799999,Japan,3,0,10
57,male,48.799999,Europe,3,0,5
58,male,44.700001,American,4,0,23
58,male,44.700001,Japan,4,0,7
58,male,44.700001,Europe,4,1,2
59,male,57.5,American,1,1,24
59,male,57.5,Japan,1,0,9
59,male,57.5,Europe,1,0,4
60,male,42,American,2,1,20
60,male,42,Japan,2,0,8
60,male,42,Europe,2,0,3
61,male,40.5,American,1,1,23
61,male,40.5,Japan,1,0,10
61,male,40.5,Europe,1,0,4
62,male,44.400002,American,1,1,24
62,male,44.400002,Japan,1,0,10
62,male,44.400002,Europe,1,0,5
63,female,50.300003,American,2,1,21
63,female,50.300003,Japan,2,0,7
63,female,50.300003,Europe,2,0,4
64,female,41.099998,American,4,1,13
64,female,41.099998,Japan,4,0,3
64,female,41.099998,Europe,4,0,2
65,male,49,American,3,0,22
65,male,49,Japan,3,1,10
65,male,49,Europe,3,0,3
66,female,43,American,3,1,21
66,female,43,Japan,3,0,7
66,female,43,Europe,3,0,2
67,male,43.799999,American,4,0,16
67,male,43.799999,Japan,4,0,8
67,male,43.799999,Europe,4,1,3
68,male,46.599998,American,2,0,24
68,male,46.599998,Japan,2,0,8
68,male,46.599998,Europe,2,1,5
69,male,45.700001,American,3,1,14
69,male,45.700001,Japan,3,0,10
69,male,45.700001,Europe,3,0,2
70,male,69.800003,American,3,1,23
70,male,69.800003,Japan,3,0,10
70,male,69.800003,Europe,3,0,5
71,female,45.599998,American,2,0,21
71,female,45.599998,Japan,2,1,7
71,female,45.599998,Europe,2,0,5
72,male,20.9,American,1,1,23
72,male,20.9,Japan,1,0,10
72,male,20.9,Europe,1,0,4
73,male,30.6,American,4,1,20
73,male,30.6,Japan,4,0,4
73,male,30.6,Europe,4,0,4
74,female,40.700001,American,2,0,18
74,female,40.700001,Japan,2,0,7
74,female,40.700001,Europe,2,1,3
75,male,46.699997,American,2,0,18
75,male,46.699997,Japan,2,0,8
75,male,46.699997,Europe,2,1,5
76,male,26.1,American,3,1,17
76,male,26.1,Japan,3,0,6
76,male,26.1,Europe,3,0,2
77,male,32.700001,American,4,1,12
77,male,32.700001,Japan,4,0,6
77,male,32.700001,Europe,4,0,2
78,female,49.199997,American,2,0,18
78,female,49.199997,Japan,2,1,7
78,female,49.199997,Europe,2,0,4
79,male,24.299999,American,4,1,10
79,male,24.299999,Japan,4,0,7
79,male,24.299999,Europe,4,0,3
80,female,39,American,4,1,13
80,female,39,Japan,4,0,4
80,female,39,Europe,4,0,1
81,male,33,American,2,1,24
81,male,33,Japan,2,0,7
81,male,33,Europe,2,0,4
82,male,20.299999,American,4,1,9
82,male,20.299999,Japan,4,0,3
82,male,20.299999,Europe,4,0,3
83,male,38,American,3,0,14
83,male,38,Japan,3,1,10
83,male,38,Europe,3,0,2
84,female,60.400002,American,3,1,18
84,female,60.400002,Japan,3,0,5
84,female,60.400002,Europe,3,0,4
85,male,69,American,3,1,23
85,male,69,Japan,3,0,8
85,male,69,Europe,3,0,2
86,male,27.700001,American,1,0,21
86,male,27.700001,Japan,1,1,9
86,male,27.700001,Europe,1,0,5
87,male,41,American,2,0,20
87,male,41,Japan,2,1,10
87,male,41,Europe,2,0,5
88,male,65.599998,American,4,0,13
88,male,65.599998,Japan,4,1,4
88,male,65.599998,Europe,4,0,5
89,male,24.799999,American,3,1,21
89,male,24.799999,Japan,3,0,5
89,male,24.799999,Europe,3,0,3
90,male,21.6,American,2,1,19
90,male,21.6,Japan,2,0,8
90,male,21.6,Europe,2,0,3
91,female,43.299999,American,1,1,23
91,female,43.299999,Japan,1,0,9
91,female,43.299999,Europe,1,0,5
92,female,44.400002,American,1,0,22
92,female,44.400002,Japan,1,1,10
92,female,44.400002,Europe,1,0,4
93,male,45.300003,American,4,1,17
93,male,45.300003,Japan,4,0,8
93,male,45.300003,Europe,4,0,1
94,male,48.799999,American,3,1,20
94,male,48.799999,Japan,3,0,10
94,male,48.799999,Europe,3,0,5
95,male,44.700001,American,4,0,23
95,male,44.700001,Japan,4,0,7
95,male,44.700001,Europe,4,1,2
96,male,57.5,American,1,1,24
96,male,57.5,Japan,1,0,9
96,male,57.5,Europe,1,0,4
97,male,42,American,2,1,20
97,male,42,Japan,2,0,8
97,male,42,Europe,2,0,3
98,male,40.5,American,1,1,23
98,male,40.5,Japan,1,0,10
98,male,40.5,Europe,1,0,4
99,male,44.400002,American,1,1,24
99,male,44.400002,Japan,1,0,10
99,male,44.400002,Europe,1,0,5
100,female,50.300003,American,2,1,21
100,female,50.300003,Japan,2,0,7
100,female,50.300003,Europe,2,0,4
101,female,41.099998,American,4,1,13
101,female,41.099998,Japan,4,0,3
101,female,41.099998,Europe,4,0,2
102,male,49,American,3,0,22
102,male,49,Japan,3,1,10
102,male,49,Europe,3,0,3
103,female,43,American,3,1,21
103,female,43,Japan,3,0,7
103,female,43,Europe,3,0,2
104,male,43.799999,American,4,0,16
104,male,43.799999,Japan,4,0,8
104,male,43.799999,Europe,4,1,3
105,male,46.599998,American,2,0,24
105,male,46.599998,Japan,2,0,8
105,male,46.599998,Europe,2,1,5
106,male,45.700001,American,3,1,14
106,male,45.700001,Japan,3,0,10
106,male,45.700001,Europe,3,0,2
107,male,69.800003,American,3,1,23
107,male,69.800003,Japan,3,0,10
107,male,69.800003,Europe,3,0,5
108,female,45.599998,American,2,0,21
108,female,45.599998,Japan,2,1,7
108,female,45.599998,Europe,2,0,5
109,male,20.9,American,1,1,23
109,male,20.9,Japan,1,0,10
109,male,20.9,Europe,1,0,4
110,male,30.6,American,4,1,20
110,male,30.6,Japan,4,0,4
110,male,30.6,Europe,4,0,4
111,female,40.700001,American,2,0,18
111,female,40.700001,Japan,2,0,7
111,female,40.700001,Europe,2,1,3
112,male,46.699997,American,2,0,18
112,male,46.699997,Japan,2,0,8
112,male,46.699997,Europe,2,1,5
113,male,26.1,American,3,1,17
113,male,26.1,Japan,3,0,6
113,male,26.1,Europe,3,0,2
114,male,32.700001,American,4,1,12
114,male,32.700001,Japan,4,0,6
114,male,32.700001,Europe,4,0,2
115,female,49.199997,American,2,0,18
115,female,49.199997,Japan,2,1,7
115,female,49.199997,Europe,2,0,4
116,male,24.299999,American,4,1,10
116,male,24.299999,Japan,4,0,7
116,male,24.299999,Europe,4,0,3
117,female,39,American,4,1,13
117,female,39,Japan,4,0,4
117,female,39,Europe,4,0,1
118,male,33,American,2,1,24
118,male,33,Japan,2,0,7
118,male,33,Europe,2,0,4
119,male,20.299999,American,4,1,9
119,male,20.299999,Japan,4,0,3
119,male,20.299999,Europe,4,0,3
120,male,38,American,3,0,14
120,male,38,Japan,3,1,10
120,male,38,Europe,3,0,2
121,female,60.400002,American,3,1,18
121,female,60.400002,Japan,3,0,5
121,female,60.400002,Europe,3,0,4
122,male,69,American,3,1,23
122,male,69,Japan,3,0,8
122,male,69,Europe,3,0,2
123,male,27.700001,American,1,0,21
123,male,27.700001,Japan,1,1,9
123,male,27.700001,Europe,1,0,5
124,male,41,American,2,0,20
124,male,41,Japan,2,1,10
124,male,41,Europe,2,0,5
125,male,65.599998,American,4,0,13
125,male,65.599998,Japan,4,1,4
125,male,65.599998,Europe,4,0,5
126,male,24.799999,American,3,1,21
126,male,24.799999,Japan,3,0,5
126,male,24.799999,Europe,3,0,3
127,male,21.6,American,2,1,19
127,male,21.6,Japan,2,0,8
127,male,21.6,Europe,2,0,3
128,female,43.299999,American,1,1,23
128,female,43.299999,Japan,1,0,9
128,female,43.299999,Europe,1,0,5
129,female,44.400002,American,1,0,22
129,female,44.400002,Japan,1,1,10
129,female,44.400002,Europe,1,0,4
130,male,45.300003,American,4,1,17
130,male,45.300003,Japan,4,0,8
130,male,45.300003,Europe,4,0,1
131,male,48.799999,American,3,1,20
131,male,48.799999,Japan,3,0,10
131,male,48.799999,Europe,3,0,5
132,male,44.700001,American,4,0,23
132,male,44.700001,Japan,4,0,7
132,male,44.700001,Europe,4,1,2
133,male,57.5,American,1,1,24
133,male,57.5,Japan,1,0,9
133,male,57.5,Europe,1,0,4
134,male,42,American,2,1,20
134,male,42,Japan,2,0,8
134,male,42,Europe,2,0,3
135,male,40.5,American,1,1,23
135,male,40.5,Japan,1,0,10
135,male,40.5,Europe,1,0,4
136,male,44.400002,American,1,1,24
136,male,44.400002,Japan,1,0,10
136,male,44.400002,Europe,1,0,5
137,female,50.300003,American,2,1,21
137,female,50.300003,Japan,2,0,7
137,female,50.300003,Europe,2,0,4
138,female,41.099998,American,4,1,13
138,female,41.099998,Japan,4,0,3
138,female,41.099998,Europe,4,0,2
139,male,49,American,3,0,22
139,male,49,Japan,3,1,10
139,male,49,Europe,3,0,3
140,female,43,American,3,1,21
140,female,43,Japan,3,0,7
140,female,43,Europe,3,0,2
141,male,43.799999,American,4,0,16
141,male,43.799999,Japan,4,0,8
141,male,43.799999,Europe,4,1,3
142,male,46.599998,American,2,0,24
142,male,46.599998,Japan,2,0,8
142,male,46.599998,Europe,2,1,5
143,male,45.700001,American,3,1,14
143,male,45.700001,Japan,3,0,10
143,male,45.700001,Europe,3,0,2
144,male,69.800003,American,3,1,23
144,male,69.800003,Japan,3,0,10
144,male,69.800003,Europe,3,0,5
145,female,45.599998,American,2,0,21
145,female,45.599998,Japan,2,1,7
145,female,45.599998,Europe,2,0,5
146,male,20.9,American,1,1,23
146,male,20.9,Japan,1,0,10
146,male,20.9,Europe,1,0,4
147,male,30.6,American,4,1,20
147,male,30.6,Japan,4,0,4
147,male,30.6,Europe,4,0,4
148,female,40.700001,American,2,0,18
148,female,40.700001,Japan,2,0,7
148,female,40.700001,Europe,2,1,3
149,male,46.699997,American,2,0,18
149,male,46.699997,Japan,2,0,8
149,male,46.699997,Europe,2,1,5
150,male,26.1,American,3,1,17
150,male,26.1,Japan,3,0,6
150,male,26.1,Europe,3,0,2
151,male,32.700001,American,4,1,12
151,male,32.700001,Japan,4,0,6
151,male,32.700001,Europe,4,0,2
152,female,49.199997,American,2,0,18
152,female,49.199997,Japan,2,1,7
152,female,49.199997,Europe,2,0,4
153,male,24.299999,American,4,1,10
153,male,24.299999,Japan,4,0,7
153,male,24.299999,Europe,4,0,3
154,female,39,American,4,1,13
154,female,39,Japan,4,0,4
154,female,39,Europe,4,0,1
155,male,33,American,2,1,24
155,male,33,Japan,2,0,7
155,male,33,Europe,2,0,4
156,male,20.299999,American,4,1,9
156,male,20.299999,Japan,4,0,3
156,male,20.299999,Europe,4,0,3
157,male,38,American,3,0,14
157,male,38,Japan,3,1,10
157,male,38,Europe,3,0,2
158,female,60.400002,American,3,1,18
158,female,60.400002,Japan,3,0,5
158,female,60.400002,Europe,3,0,4
159,male,69,American,3,1,23
159,male,69,Japan,3,0,8
159,male,69,Europe,3,0,2
160,male,27.700001,American,1,0,21
160,male,27.700001,Japan,1,1,9
160,male,27.700001,Europe,1,0,5
161,male,41,American,2,0,20
161,male,41,Japan,2,1,10
161,male,41,Europe,2,0,5
162,male,65.599998,American,4,0,13
162,male,65.599998,Japan,4,1,4
162,male,65.599998,Europe,4,0,5
163,male,24.799999,American,3,1,21
163,male,24.799999,Japan,3,0,5
163,male,24.799999,Europe,3,0,3
164,male,21.6,American,2,1,19
164,male,21.6,Japan,2,0,8
164,male,21.6,Europe,2,0,3
165,female,43.299999,American,1,1,23
165,female,43.299999,Japan,1,0,9
165,female,43.299999,Europe,1,0,5
166,female,44.400002,American,1,0,22
166,female,44.400002,Japan,1,1,10
166,female,44.400002,Europe,1,0,4
167,male,45.300003,American,4,1,17
167,male,45.300003,Japan,4,0,8
167,male,45.300003,Europe,4,0,1
168,male,48.799999,American,3,1,20
168,male,48.799999,Japan,3,0,10
168,male,48.799999,Europe,3,0,5
169,male,44.700001,American,4,0,23
169,male,44.700001,Japan,4,0,7
169,male,44.700001,Europe,4,1,2
170,male,57.5,American,1,1,24
170,male,57.5,Japan,1,0,9
170,male,57.5,Europe,1,0,4
171,male,42,American,2,1,20
171,male,42,Japan,2,0,8
171,male,42,Europe,2,0,3
172,male,40.5,American,1,1,23
172,male,40.5,Japan,1,0,10
172,male,40.5,Europe,1,0,4
173,male,44.400002,American,1,1,24
173,male,44.400002,Japan,1,0,10
173,male,44.400002,Europe,1,0,5
174,female,50.300003,American,2,1,21
174,female,50.300003,Japan,2,0,7
174,female,50.300003,Europe,2,0,4
175,female,41.099998,American,4,1,13
175,female,41.099998,Japan,4,0,3
175,female,41.099998,Europe,4,0,2
176,male,49,American,3,0,22
176,male,49,Japan,3,1,10
176,male,49,Europe,3,0,3
177,female,43,American,3,1,21
177,female,43,Japan,3,0,7
177,female,43,Europe,3,0,2
178,male,43.799999,American,4,0,16
178,male,43.799999,Japan,4,0,8
178,male,43.799999,Europe,4,1,3
179,male,46.599998,American,2,0,24
179,male,46.599998,Japan,2,0,8
179,male,46.599998,Europe,2,1,5
180,male,45.700001,American,3,1,14
180,male,45.700001,Japan,3,0,10
180,male,45.700001,Europe,3,0,2
181,male,69.800003,American,3,1,23
181,male,69.800003,Japan,3,0,10
181,male,69.800003,Europe,3,0,5
182,female,45.599998,American,2,0,21
182,female,45.599998,Japan,2,1,7
182,female,45.599998,Europe,2,0,5
183,male,20.9,American,1,1,23
183,male,20.9,Japan,1,0,10
183,male,20.9,Europe,1,0,4
184,male,30.6,American,4,1,20
184,male,30.6,Japan,4,0,4
184,male,30.6,Europe,4,0,4
185,female,40.700001,American,2,0,18
185,female,40.700001,Japan,2,0,7
185,female,40.700001,Europe,2,1,3
186,male,46.699997,American,2,0,18
186,male,46.699997,Japan,2,0,8
186,male,46.699997,Europe,2,1,5
187,male,26.1,American,3,1,17
187,male,26.1,Japan,3,0,6
187,male,26.1,Europe,3,0,2
188,male,32.700001,American,4,1,12
188,male,32.700001,Japan,4,0,6
188,male,32.700001,Europe,4,0,2
189,female,49.199997,American,2,0,18
189,female,49.199997,Japan,2,1,7
189,female,49.199997,Europe,2,0,4
190,male,24.299999,American,4,1,10
190,male,24.299999,Japan,4,0,7
190,male,24.299999,Europe,4,0,3
191,female,39,American,4,1,13
191,female,39,Japan,4,0,4
191,female,39,Europe,4,0,1
192,male,33,American,2,1,24
192,male,33,Japan,2,0,7
192,male,33,Europe,2,0,4
193,male,20.299999,American,4,1,9
193,male,20.299999,Japan,4,0,3
193,male,20.299999,Europe,4,0,3
194,male,38,American,3,0,14
194,male,38,Japan,3,1,10
194,male,38,Europe,3,0,2
195,female,60.400002,American,3,1,18
195,female,60.400002,Japan,3,0,5
195,female,60.400002,Europe,3,0,4
196,male,69,American,3,1,23
196,male,69,Japan,3,0,8
196,male,69,Europe,3,0,2
197,male,27.700001,American,1,0,21
197,male,27.700001,Japan,1,1,9
197,male,27.700001,Europe,1,0,5
198,male,41,American,2,0,20
198,male,41,Japan,2,1,10
198,male,41,Europe,2,0,5
199,male,65.599998,American,4,0,13
199,male,65.599998,Japan,4,1,4
199,male,65.599998,Europe,4,0,5
200,male,24.799999,American,3,1,21
200,male,24.799999,Japan,3,0,5
200,male,24.799999,Europe,3,0,3
201,male,21.6,American,2,1,19
201,male,21.6,Japan,2,0,8
201,male,21.6,Europe,2,0,3
202,female,43.299999,American,1,1,23
202,female,43.299999,Japan,1,0,9
202,female,43.299999,Europe,1,0,5
203,female,44.400002,American,1,0,22
203,female,44.400002,Japan,1,1,10
203,female,44.400002,Europe,1,0,4
204,male,45.300003,American,4,1,17
204,male,45.300003,Japan,4,0,8
204,male,45.300003,Europe,4,0,1
205,male,48.799999,American,3,1,20
205,male,48.799999,Japan,3,0,10
205,male,48.799999,Europe,3,0,5
206,male,44.700001,American,4,0,23
206,male,44.700001,Japan,4,0,7
206,male,44.700001,Europe,4,1,2
207,male,57.5,American,1,1,24
207,male,57.5,Japan,1,0,9
207,male,57.5,Europe,1,0,4
208,male,42,American,2,1,20
208,male,42,Japan,2,0,8
208,male,42,Europe,2,0,3
209,male,40.5,American,1,1,23
209,male,40.5,Japan,1,0,10
209,male,40.5,Europe,1,0,4
210,male,44.400002,American,1,1,24
210,male,44.400002,Japan,1,0,10
210,male,44.400002,Europe,1,0,5
211,female,50.300003,American,2,1,21
211,female,50.300003,Japan,2,0,7
211,female,50.300003,Europe,2,0,4
212,female,41.099998,American,4,1,13
212,female,41.099998,Japan,4,0,3
212,female,41.099998,Europe,4,0,2
213,male,49,American,3,0,22
213,male,49,Japan,3,1,10
213,male,49,Europe,3,0,3
214,female,43,American,3,1,21
214,female,43,Japan,3,0,7
214,female,43,Europe,3,0,2
215,male,43.799999,American,4,0,16
215,male,43.799999,Japan,4,0,8
215,male,43.799999,Europe,4,1,3
216,male,46.599998,American,2,0,24
216,male,46.599998,Japan,2,0,8
216,male,46.599998,Europe,2,1,5
217,male,45.700001,American,3,1,14
217,male,45.700001,Japan,3,0,10
217,male,45.700001,Europe,3,0,2
218,male,69.800003,American,3,1,23
218,male,69.800003,Japan,3,0,10
218,male,69.800003,Europe,3,0,5
219,female,45.599998,American,2,0,21
219,female,45.599998,Japan,2,1,7
219,female,45.599998,Europe,2,0,5
220,male,20.9,American,1,1,23
220,male,20.9,Japan,1,0,10
220,male,20.9,Europe,1,0,4
221,male,30.6,American,4,1,20
221,male,30.6,Japan,4,0,4
221,male,30.6,Europe,4,0,4
222,female,40.700001,American,2,0,18
222,female,40.700001,Japan,2,0,7
222,female,40.700001,Europe,2,1,3
223,male,46.699997,American,2,0,18
223,male,46.699997,Japan,2,0,8
223,male,46.699997,Europe,2,1,5
224,male,26.1,American,3,1,17
224,male,26.1,Japan,3,0,6
224,male,26.1,Europe,3,0,2
225,male,32.700001,American,4,1,12
225,male,32.700001,Japan,4,0,6
225,male,32.700001,Europe,4,0,2
226,female,49.199997,American,2,0,18
226,female,49.199997,Japan,2,1,7
226,female,49.199997,Europe,2,0,4
227,male,24.299999,American,4,1,10
227,male,24.299999,Japan,4,0,7
227,male,24.299999,Europe,4,0,3
228,female,39,American,4,1,13
228,female,39,Japan,4,0,4
228,female,39,Europe,4,0,1
229,male,33,American,2,1,24
229,male,33,Japan,2,0,7
229,male,33,Europe,2,0,4
230,male,20.299999,American,4,1,9
230,male,20.299999,Japan,4,0,3
230,male,20.299999,Europe,4,0,3
231,male,38,American,3,0,14
231,male,38,Japan,3,1,10
231,male,38,Europe,3,0,2
232,female,60.400002,American,3,1,18
232,female,60.400002,Japan,3,0,5
232,female,60.400002,Europe,3,0,4
233,male,69,American,3,1,23
233,male,69,Japan,3,0,8
233,male,69,Europe,3,0,2
234,male,27.700001,American,1,0,21
234,male,27.700001,Japan,1,1,9
234,male,27.700001,Europe,1,0,5
235,male,41,American,2,0,20
235,male,41,Japan,2,1,10
235,male,41,Europe,2,0,5
236,male,65.599998,American,4,0,13
236,male,65.599998,Japan,4,1,4
236,male,65.599998,Europe,4,0,5
237,male,24.799999,American,3,1,21
237,male,24.799999,Japan,3,0,5
237,male,24.799999,Europe,3,0,3
238,male,21.6,American,2,1,19
238,male,21.6,Japan,2,0,8
238,male,21.6,Europe,2,0,3
239,female,43.299999,American,1,1,23
239,female,43.299999,Japan,1,0,9
239,female,43.299999,Europe,1,0,5
240,female,44.400002,American,1,0,22
240,female,44.400002,Japan,1,1,10
240,female,44.400002,Europe,1,0,4
241,male,45.300003,American,4,1,17
241,male,45.300003,Japan,4,0,8
241,male,45.300003,Europe,4,0,1
242,male,48.799999,American,3,1,20
242,male,48.799999,Japan,3,0,10
242,male,48.799999,Europe,3,0,5
243,male,44.700001,American,4,0,23
243,male,44.700001,Japan,4,0,7
243,male,44.700001,Europe,4,1,2
244,male,57.5,American,1,1,24
244,male,57.5,Japan,1,0,9
244,male,57.5,Europe,1,0,4
245,male,42,American,2,1,20
245,male,42,Japan,2,0,8
245,male,42,Europe,2,0,3
246,male,40.5,American,1,1,23
246,male,40.5,Japan,1,0,10
246,male,40.5,Europe,1,0,4
247,male,44.400002,American,1,1,24
247,male,44.400002,Japan,1,0,10
247,male,44.400002,Europe,1,0,5
248,female,50.300003,American,2,1,21
248,female,50.300003,Japan,2,0,7
248,female,50.300003,Europe,2,0,4
249,female,41.099998,American,4,1,13
249,female,41.099998,Japan,4,0,3
249,female,41.099998,Europe,4,0,2
250,male,49,American,3,0,22
250,male,49,Japan,3,1,10
250,male,49,Europe,3,0,3
251,female,43,American,3,1,21
251,female,43,Japan,3,0,7
251,female,43,Europe,3,0,2
252,male,43.799999,American,4,0,16
252,male,43.799999,Japan,4,0,8
252,male,43.799999,Europe,4,1,3
253,male,46.599998,American,2,0,24
253,male,46.599998,Japan,2,0,8
253,male,46.599998,Europe,2,1,5
254,male,45.700001,American,3,1,14
254,male,45.700001,Japan,3,0,10
254,male,45.700001,Europe,3,0,2
255,male,69.800003,American,3,1,23
255,male,69.800003,Japan,3,0,10
255,male,69.800003,Europe,3,0,5
256,female,45.599998,American,2,0,21
256,female,45.599998,Japan,2,1,7
256,female,45.599998,Europe,2,0,5
257,male,20.9,American,1,1,23
257,male,20.9,Japan,1,0,10
257,male,20.9,Europe,1,0,4
258,male,30.6,American,4,1,20
258,male,30.6,Japan,4,0,4
258,male,30.6,Europe,4,0,4
259,female,40.700001,American,2,0,18
259,female,40.700001,Japan,2,0,7
259,female,40.700001,Europe,2,1,3
260,male,46.699997,American,2,0,18
260,male,46.699997,Japan,2,0,8
260,male,46.699997,Europe,2,1,5
261,male,26.1,American,3,1,17
261,male,26.1,Japan,3,0,6
261,male,26.1,Europe,3,0,2
262,male,32.700001,American,4,1,12
262,male,32.700001,Japan,4,0,6
262,male,32.700001,Europe,4,0,2
263,female,49.199997,American,2,0,18
263,female,49.199997,Japan,2,1,7
263,female,49.199997,Europe,2,0,4
264,male,24.299999,American,4,1,10
264,male,24.299999,Japan,4,0,7
264,male,24.299999,Europe,4,0,3
265,female,39,American,4,1,13
265,female,39,Japan,4,0,4
265,female,39,Europe,4,0,1
266,male,33,American,2,1,24
266,male,33,Japan,2,0,7
