rns,rns80,mrt,mrt80,smsa,smsa80,med,iq,kww,year,age,age80,s,s80,expr,expr80,tenure,tenure80,lw,lw80,_Iyear_67,_Iyear_68,_Iyear_69,_Iyear_70,_Iyear_71,_Iyear_73
1,0,0,1,1,1,12,103,34,68,17,29,12,12,.46200001,12.119,1,7,5.3080001,7.2259998,0,1,0,0,0,0
0,0,0,1,1,1,12,115,45,73,22,30,16,17,0,1,0,7,5.7459998,7.2810001,0,0,0,0,0,1
0,0,1,1,1,1,6,96,33,66,21,35,12,12,3.3329999,17.131001,1,12,5.572,6.6849999,0,0,0,0,0,0
0,0,1,1,1,1,12,123,48,70,26,36,17,17,.884,10.081,4,7,5.6240001,7.4660001,0,0,0,1,0,0
0,0,0,1,1,1,12,98,34,68,17,29,12,12,.37799999,12.286,3,12,5.165,7.0479999,0,1,0,0,0,0
0,0,1,1,1,1,12,96,34,66,21,35,12,12,4.3330002,18.403,1,13,5.6350002,6.7329998,0,0,0,0,0,0
0,0,1,1,1,1,12,89,47,67,25,38,12,12,5,16.551001,5,2,5.8579998,6.8850002,1,0,0,0,0,0
0,0,0,0,1,1,9,93,20,70,18,28,12,12,.37400001,10.248,1,10,5.2360001,6.428,0,0,0,1,0,0
0,0,0,1,1,1,12,82,32,66,19,33,12,12,1.916,12.292,1,0,5.5209999,6.0910001,0,0,0,0,0,0
0,0,1,1,1,0,12,120,45,69,27,38,15,15,1.378,11.621,2,1,6.5510001,6.3969998,0,0,1,0,0,0
0,0,1,1,1,1,12,122,38,71,23,32,12,12,5.3239999,15.332,6,15,6.0640001,7.2199998,0,0,0,0,1,0
0,0,1,1,1,1,12,117,48,73,25,33,18,18,1.467,8.3260002,2,2,6.7290001,7.4039998,0,0,0,0,0,1
0,0,1,1,1,1,8,109,44,73,28,36,16,16,1.619,8.4820004,5,13,6.3889999,7.283,0,0,0,0,0,1
1,0,1,1,1,1,12,114,55,69,27,38,17,18,1.462,12.393,1,7,6.3579998,7.7449999,0,0,1,0,0,0
0,0,1,1,1,1,12,126,40,70,21,31,16,16,.55199999,10.467,1,11,6.2249999,7.428,0,0,0,1,0,0
0,0,0,1,1,1,11,82,45,68,21,33,12,12,0,10.209,3,2,5.2979999,7.119,0,1,0,0,0,0
0,0,0,1,1,1,12,119,45,69,21,32,16,16,.94199997,11.326,1,4,5.9660001,6.7509999,0,0,1,0,0,0
0,0,1,1,1,1,12,104,37,68,23,35,16,16,0,5.6560001,1,8,5.8969998,6.9770002,0,1,0,0,0,0
0,0,1,1,1,1,12,97,45,66,22,36,12,12,3.461,17.334,1,15,5.5830002,6.908,0,0,0,0,0,0
0,0,0,1,1,0,14,105,27,71,22,31,14,15,.221,8.1059999,1,2,5.5209999,6.5149999,0,0,0,0,1,0
0,0,0,1,1,1,7,100,32,68,18,30,12,12,2.25,13.572,1,1,5.7620001,7.0029998,0,1,0,0,0,0
0,0,1,1,1,1,12,114,41,67,18,31,12,12,0,4.789,1,14,5.3709998,6.9039998,1,0,0,0,0,0
0,0,1,1,1,1,8,96,48,66,23,37,11,11,1.5829999,15.228,2,3,5.743,7.0900002,0,0,0,0,0,0
0,0,0,0,1,1,12,113,30,73,21,29,15,15,2.6819999,9.3269997,1,8,6.3579998,7.4349999,0,0,0,0,0,1
0,1,0,1,1,1,14,106,38,66,22,36,10,10,3.3329999,14.544,1,3,5.4809999,6.5310001,0,0,0,0,0,0
0,0,1,1,1,1,8,104,37,69,21,32,13,13,.12800001,9.0500002,4,5,5.743,6.625,0,0,1,0,0,0
0,0,0,1,1,1,12,104,30,73,22,30,12,13,0,3.8099999,0,2,6.1090002,6.724,0,0,0,0,0,1
0,0,0,1,1,0,16,122,36,70,20,30,12,13,.38100001,8.2220001,1,1,5.2979999,6.362,0,0,0,1,0,0
0,0,0,1,1,1,12,96,38,66,20,34,12,12,0,13.431,3,3,5.4159999,6.5100002,0,0,0,0,0,0
0,0,0,1,1,1,16,95,51,69,25,36,15,15,2.3080001,12.411,0,9,5.8460002,7.8239999,0,0,1,0,0,0
0,0,0,0,1,1,16,105,24,69,20,31,12,12,0,4.8610001,1,8,5.823,6.9809999,0,0,1,0,0,0
0,0,1,1,1,1,12,91,41,73,25,33,17,17,1.178,8.1899996,2,9,6.6849999,7.0780001,0,0,0,0,0,1
0,0,1,1,1,1,12,96,37,71,22,31,16,16,.75300002,9.3719997,1,7,5.421,6.7249999,0,0,0,0,1,0
0,0,0,1,1,1,9,111,44,68,19,31,14,15,.37799999,12.305,1,9,5.3709998,7.0229998,0,1,0,0,0,0
0,0,0,1,1,1,9,110,35,68,19,31,14,16,0,1,1,11,5.5209999,6.763,0,1,0,0,0,0
0,0,0,1,1,1,9,97,37,73,21,29,16,16,4.533,10.114,0,7,5.9910002,6.6939998,0,0,0,0,0,1
0,0,0,0,1,1,8,125,44,73,27,35,17,18,0,6.3930001,4,12,6.6090002,7.1690001,0,0,0,0,0,1
0,0,0,1,0,1,9,91,39,66,22,36,12,12,0,6.3340001,3,12,5.73,6.8060002,0,0,0,0,0,0
0,0,0,1,0,1,8,86,28,66,23,37,11,12,3.2590001,17.191,1,15,5.6999998,6.802,0,0,0,0,0,0
0,0,1,1,1,1,9,110,32,66,21,35,12,12,3.3329999,17.587999,2,0,5.5050001,6.4380002,0,0,0,0,0,0
0,1,1,1,0,1,12,92,47,66,22,36,14,14,2.3329999,15.777,1,1,5.5570002,7.369,0,0,0,0,0,0
0,0,1,1,0,1,9,85,41,66,24,38,10,10,1.378,15.302,2,16,5.3709998,6.869,0,0,0,0,0,0
0,0,1,1,0,1,8,120,36,73,26,34,17,17,.35800001,7.336,1,8,6.4380002,7.3390002,0,0,0,0,0,1
0,0,1,1,1,0,12,106,42,73,25,33,12,12,6.8860002,11.427,0,6,6.3099999,7.0120001,0,0,0,0,0,1
0,1,0,0,0,1,12,112,41,70,21,31,16,16,.236,6.323,1,6,5.73,7.1560001,0,0,0,1,0,0
0,0,1,1,1,1,10,91,39,66,24,38,10,12,0,12.581,1,2,6.1529999,6.6469998,0,0,0,0,0,0
0,0,1,1,1,1,10,90,42,66,24,38,12,12,2.645,16.18,3,0,5.9910002,6.908,0,0,0,0,0,0
0,0,0,1,0,0,12,113,27,68,17,29,12,12,.096000001,10.679,1,10,5.0749998,6.6199999,0,1,0,0,0,0
0,0,1,1,1,1,12,111,51,66,24,38,12,13,0,5.0370002,2,16,5.823,6.4829998,0,0,0,0,0,0
0,0,0,1,1,1,12,111,30,67,20,33,12,12,2.378,15.302,1,3,5.198,6.3990002,1,0,0,0,0,0
0,0,0,1,1,1,8,106,32,70,18,28,12,13,.45199999,10.283,1,11,5.0110002,6.3969998,0,0,0,1,0,0
0,0,0,0,0,1,12,98,28,68,18,30,12,12,.23100001,11.442,1,10,5.165,6.0710001,0,1,0,0,0,0
0,0,0,1,0,1,12,105,28,68,18,30,12,12,0,11.144,1,7,5.4970002,7.0799999,0,1,0,0,0,0
0,0,1,1,0,0,10,105,29,66,19,33,10,12,.97799999,14.935,1,15,5.6020002,6.4530001,0,0,0,0,0,0
0,0,1,1,1,1,12,118,44,70,22,32,13,13,0,9.3579998,4,14,6.1820002,7.1110001,0,0,0,1,0,0
0,0,1,1,1,1,12,90,38,66,22,36,12,12,4.6669998,18.615,5,19,5.8169999,7.0479999,0,0,0,0,0,0
0,0,0,0,1,1,9,95,34,67,19,32,12,12,.98100001,14.531,3,11,5.0560002,6.763,1,0,0,0,0,0
0,0,1,1,1,1,12,112,24,71,20,29,13,14,.41100001,9.2969999,3,5,6.059,6.9380002,0,0,0,0,1,0
0,0,1,1,1,1,12,120,39,71,23,32,12,12,.403,9.3140001,2,11,5.9910002,6.9559999,0,0,0,0,1,0
0,0,0,1,1,1,12,123,41,68,17,29,12,12,.37799999,11.754,1,1,5.165,6.908,0,1,0,0,0,0
0,0,0,1,1,1,16,103,32,70,20,30,12,13,.78200001,10.236,1,11,6.059,7.0079999,0,0,0,1,0,0
0,0,1,1,1,1,16,121,40,70,25,35,18,18,.89600003,10.749,1,7,6.4380002,7.5619998,0,0,0,1,0,0
0,0,1,1,1,1,12,90,44,68,26,38,16,16,0,9.1520004,4,16,6.0679998,7.2049999,0,1,0,0,0,0
0,0,0,1,1,1,12,125,32,71,20,29,12,12,2.652,11.478,1,10,5.5609999,6.6960001,0,0,0,0,1,0
0,0,0,1,1,1,9,109,34,73,24,32,18,18,3.1860001,10.108,0,3,6.3239999,7.3099999,0,0,0,0,0,1
1,0,0,0,1,0,10,128,46,68,21,33,16,16,.40400001,9.9840002,1,1,6.0749998,7.2049999,0,1,0,0,0,0
0,0,0,1,1,1,12,97,35,66,17,31,12,12,.333,9.8719997,1,4,5.8200002,7.0900002,0,0,0,0,0,0
0,1,1,1,1,1,12,96,35,66,19,33,12,12,0,6.1799998,1,0,5.2979999,6.2150002,0,0,0,0,0,0
0,0,0,1,1,1,12,97,44,68,16,28,12,12,.76899999,11.797,1,5,5.3660002,7.1890001,0,1,0,0,0,0
0,0,1,1,1,1,7,112,39,71,25,34,12,12,4.9850001,14.981,1,3,6.3330002,6.6849999,0,0,0,0,1,0
0,0,1,1,1,1,2,88,32,66,24,38,12,12,4,16.362,1,7,5.257,6.6849999,0,0,0,0,0,0
0,0,1,1,1,1,14,97,39,66,22,36,12,12,1.142,15.197,2,16,5.8579998,6.941,0,0,0,0,0,0
0,0,1,1,1,1,6,101,41,66,22,36,12,12,0,3.908,2,12,5.5209999,6.888,0,0,0,0,0,0
0,0,1,1,1,1,7,106,42,67,21,34,10,10,5.3330002,18.660999,1,12,5.4380002,6.7839999,1,0,0,0,0,0
0,0,0,0,1,1,8,59,28,73,26,34,10,10,6.3210001,10.765,0,5,5.2979999,6.1739998,0,0,0,0,0,1
0,0,1,1,1,1,12,105,54,73,26,34,18,18,.37200001,7.2729998,6,14,6.2340002,6.8280001,0,0,0,0,0,1
0,0,0,0,1,1,12,119,30,70,21,31,16,17,0,8.0100002,1,5,5.5650001,6.2399998,0,0,0,1,0,0
0,0,0,0,1,1,8,93,36,67,24,37,11,11,4.4029999,17.226,3,16,5.6170001,7.0079999,1,0,0,0,0,0
0,1,1,1,1,1,12,82,38,66,22,36,12,12,4.717,18.587,5,10,5.5609999,7.0840001,0,0,0,0,0,0
0,0,0,1,1,1,16,134,45,71,25,34,18,18,0,6.3039999,1,7,6.0710001,7.927,0,0,0,0,1,0
0,0,0,1,1,1,8,84,29,70,20,30,12,12,.39500001,9.3500004,1,6,6.2150002,6.658,0,0,0,1,0,0
0,0,0,1,1,1,12,98,36,69,20,31,11,11,2.9619999,12.667,3,6,5.704,6.8559999,0,0,1,0,0,0
0,0,0,1,1,0,13,118,41,73,22,30,16,16,4.0570002,10.942,1,8,5.6560001,7.2399998,0,0,0,0,0,1
0,0,1,1,1,1,12,113,50,73,25,33,17,17,3.7119999,12.719,2,9,5.8379998,7.3099999,0,0,0,0,0,1
0,0,0,1,1,1,9,100,18,70,18,28,12,12,1.308,4.461,1,3,5.2979999,6.4770002,0,0,0,1,0,0
0,0,0,1,1,1,12,93,27,69,18,29,12,13,0,8.6160002,2,5,5.4889998,6.507,0,0,1,0,0,0
1,0,1,1,1,1,12,119,30,71,23,32,16,16,0,5.0149999,1,8,6.0279999,7.026,0,0,0,0,1,0
0,0,0,1,1,1,12,106,38,70,22,32,14,15,.389,8.4630003,2,0,5.5209999,7.7849998,0,0,0,1,0,0
0,0,0,0,1,1,10,127,49,73,28,36,17,18,2.378,9.3739996,6,14,6.763,7.5489998,0,0,0,0,0,1
0,0,0,1,1,1,12,113,35,68,21,33,15,16,.73100001,10.046,1,9,6.2150002,6.6300001,0,1,0,0,0,0
0,0,0,1,1,1,12,115,36,70,19,29,13,14,.39500001,9.0740004,1,1,5.8379998,7.131,0,0,0,1,0,0
0,0,0,1,1,1,12,102,40,73,23,31,16,16,1.005,7.8189998,3,11,6.2969999,7.0580001,0,0,0,0,0,1
0,0,1,1,1,0,12,117,51,69,21,32,16,16,.46200001,11.395,1,12,6.125,7.0029998,0,0,1,0,0,0
0,0,0,1,1,1,10,125,34,73,20,28,16,16,.205,6.7940001,0,5,5.6350002,6.5710001,0,0,0,0,0,1
0,0,1,1,1,0,8,118,47,66,23,37,16,16,2.1670001,16.1,3,17,5.8379998,7.184,0,0,0,0,0,0
0,0,1,1,1,1,12,121,40,71,29,38,18,18,4.9710002,13.965,1,3,6.645,7.2519999,0,0,0,0,1,0
0,0,1,1,1,1,12,115,51,68,26,38,17,17,0,3.895,4,4,6.3579998,7.6789999,0,1,0,0,0,0
0,0,1,1,1,0,12,120,44,71,27,36,13,14,2.4619999,11.246,7,16,6.2800002,7.1490002,0,0,0,0,1,0
0,0,1,1,1,1,11,109,43,69,24,35,12,12,5.131,16.139,4,15,5.869,7.039,0,0,1,0,0,0
0,0,0,0,1,1,12,109,28,67,17,30,12,13,0,7.0300002,1,4,5.165,6.3590002,1,0,0,0,0,0
0,0,1,1,0,0,12,85,50,71,29,38,12,12,10.077,17.429001,2,8,6.1199999,6.9640002,0,0,0,0,1,0
0,0,0,1,1,1,11,106,32,73,21,29,14,14,1.538,8.5209999,2,9,5.6729999,6.6199999,0,0,0,0,0,1
0,0,1,1,1,1,10,101,30,67,17,30,12,12,.37799999,11.381,1,6,5.0110002,6.908,1,0,0,0,0,0
0,0,0,1,1,1,12,116,40,67,17,30,12,12,0,9.1289997,1,7,5.5289998,6.8579998,1,0,0,0,0,0
0,0,0,1,1,1,7,91,24,67,18,31,12,12,.96200001,12.937,1,2,4.9419999,6.4530001,1,0,0,0,0,0
0,0,0,1,1,1,11,91,28,66,20,34,12,12,.333,12.52,3,1,4.9130001,7.131,0,0,0,0,0,0
0,0,0,1,1,1,7,110,34,66,20,34,9,12,0,6.0900002,1,15,5.4159999,6.5149999,0,0,0,0,0,0
0,0,1,1,1,1,7,75,33,73,24,32,12,12,6.6999998,11.292,0,6,5.165,5.9910002,0,0,0,0,0,1
0,0,0,1,1,1,12,94,17,71,20,29,12,12,.96399999,8.6300001,1,8,5.0749998,6.3579998,0,0,0,0,1,0
1,0,0,1,1,0,12,109,27,71,20,29,13,13,1.584,10.494,1,7,6.0209999,6.3800001,0,0,0,0,1,0
0,0,1,1,0,0,8,122,38,71,22,31,16,16,.87400001,9.8070002,1,10,5.7069998,6.8280001,0,0,0,0,1,0
0,0,0,0,1,1,11,102,26,71,23,32,12,12,0,5.5489998,2,2,5.2979999,7.131,0,0,0,0,1,0
0,0,1,1,1,1,8,122,38,70,23,33,14,14,2.6889999,10.525,1,8,5.5830002,7.0029998,0,0,0,1,0,0
0,0,1,1,1,1,10,105,38,66,23,37,12,12,4.3779998,17.746,2,2,5.5869999,7.0300002,0,0,0,0,0,0
0,0,0,0,1,1,9,113,37,66,22,36,12,12,2,14.135,2,4,5.493,6.48,0,0,0,0,0,0
0,0,1,1,1,1,8,104,34,73,22,30,12,12,3.9319999,6.3109999,0,2,5.8720002,6.427,0,0,0,0,0,1
0,0,1,1,1,1,9,124,43,73,26,34,16,16,.377,7.3099999,6,14,6.1760001,6.869,0,0,0,0,0,1
0,0,0,1,0,0,12,110,31,67,19,32,12,13,1.2180001,13.8,1,11,5.1929998,6.2709999,1,0,0,0,0,0
0,0,0,1,1,0,12,95,37,66,19,33,12,12,1.8329999,15.664,1,14,5.5209999,6.7059999,0,0,0,0,0,0
0,0,1,1,0,0,18,120,39,73,24,32,16,16,1.4220001,8.4429998,2,9,6.125,6.869,0,0,0,0,0,1
0,0,0,1,0,0,12,105,39,66,24,38,12,12,4.9640002,18.979,1,15,5.263,6.7329998,0,0,0,0,0,0
0,0,0,1,0,0,12,121,30,73,20,28,16,16,.48199999,6.7249999,0,4,5.8889999,6.7639999,0,0,0,0,0,1
0,0,1,1,1,1,8,96,42,70,26,36,12,14,0,1,7,1,6.586,7.7849998,0,0,0,1,0,0
0,0,0,1,0,1,9,110,26,66,18,32,12,12,2.1359999,15.979,1,2,5.5289998,7.026,0,0,0,0,0,0
0,0,0,1,0,0,12,92,32,67,18,31,12,12,0,8.1049995,1,8,5.165,7.0560002,1,0,0,0,0,0
0,0,1,1,1,1,9,98,34,71,29,38,12,12,7.9910002,14.617,4,5,6.0710001,6.5830002,0,0,0,0,1,0
0,0,1,1,1,1,11,109,43,67,23,36,15,16,.84600002,14.105,1,13,5.7589998,7.4829998,1,0,0,0,0,0
0,0,0,1,1,0,11,118,44,67,23,36,17,18,.331,13.309,1,5,5.9990001,7.5510001,1,0,0,0,0,0
0,0,1,1,1,1,14,97,42,69,23,34,16,18,0,7.276,3,14,5.8720002,6.9180002,0,0,1,0,0,0
0,0,1,1,1,1,16,95,42,71,28,37,17,17,0,5.323,2,11,6.0910001,6.8779998,0,0,0,0,1,0
0,0,1,1,1,1,10,99,40,73,26,34,12,12,1.8660001,8.6949997,3,2,6.1760001,6.263,0,0,0,0,0,1
0,0,1,1,0,0,10,106,31,68,18,30,12,12,.37799999,12.011,1,13,5.5409999,6.263,0,1,0,0,0,0
0,0,0,1,1,0,12,117,33,68,18,30,12,12,.96200001,9.6890001,1,3,5.46,6.507,0,1,0,0,0,0
0,0,1,1,0,0,12,90,47,66,23,37,12,12,6.3779998,18.555,7,4,5.5209999,6.2150002,0,0,0,0,0,0
0,0,0,1,1,1,12,95,44,66,21,35,12,12,4.5,18.488001,1,15,5.2090001,6.3099999,0,0,0,0,0,0
0,0,0,1,1,1,12,115,43,66,18,32,12,12,1.3329999,14.158,1,1,5.4549999,6.2150002,0,0,0,0,0,0
0,0,0,0,1,1,12,106,40,71,22,31,14,15,1.503,10.458,5,5,5.6350002,6.5890002,0,0,0,0,1,0
0,0,0,1,0,0,8,114,26,68,18,30,12,12,0,6.4580002,1,8,5.2979999,6.763,0,1,0,0,0,0
0,1,0,1,0,1,12,92,34,70,20,30,12,13,.71700001,8.4650002,2,2,5.7930002,6.9860001,0,0,0,1,0,0
0,0,1,1,0,0,13,119,36,73,23,31,16,17,1.7079999,8.665,2,9,6.3060002,7.1729999,0,0,0,0,0,1
0,0,0,1,0,0,13,85,32,70,20,30,13,13,.67799997,6.448,1,1,4.927,6.3540001,0,0,0,1,0,0
0,0,0,1,0,0,12,98,34,71,21,30,16,16,.366,7.0770001,1,1,5.8579998,6.4349999,0,0,0,0,1,0
0,0,1,1,0,0,12,114,30,73,20,28,12,13,1.4579999,8.408,3,10,5.5869999,6.244,0,0,0,0,0,1
0,0,1,1,0,1,8,84,42,66,23,37,18,18,.37799999,14.335,1,4,5.0110002,7.1490002,0,0,0,0,0,0
0,0,1,1,0,0,16,108,42,66,19,33,13,13,.333,12.519,1,9,5.1529999,6.8979998,0,0,0,0,0,0
0,0,1,1,0,0,8,107,32,67,20,33,12,12,4.0669999,15.578,1,6,5.4029999,6.3969998,1,0,0,0,0,0
0,0,1,1,0,0,16,84,35,66,24,38,12,12,3.2119999,16.964001,3,2,5.4510002,7.0560002,0,0,0,0,0,0
0,0,1,1,0,0,10,86,22,69,18,29,12,12,.37799999,11.252,2,9,5.165,6.2150002,0,0,1,0,0,0
0,0,0,1,0,0,10,88,27,66,21,35,12,12,3.378,17.268999,4,18,5.5409999,6.678,0,0,0,0,0,0
0,0,1,1,1,1,12,117,45,70,23,33,16,16,.87599999,9.8450003,1,7,6.1360002,7.131,0,0,0,1,0,0
0,0,0,0,1,1,12,110,42,73,22,30,16,16,5.7680001,12.605,2,9,6.1919999,6.9219999,0,0,0,0,0,1
0,0,1,1,1,1,9,104,32,71,24,33,12,13,4.8979998,12.602,1,3,6.6199999,7.131,0,0,0,0,1,0
0,0,0,1,1,1,9,110,26,70,19,29,13,14,0,3.918,3,13,5.6700001,6.8169999,0,0,0,1,0,0
0,0,1,1,1,1,11,99,33,73,22,30,16,16,3.1210001,8.5629997,1,8,5.9510002,7.2049999,0,0,0,0,0,1
0,0,0,1,1,1,12,117,31,70,18,28,12,14,0,7.0250001,1,1,5.6700001,7.131,0,0,0,1,0,0
0,0,1,1,0,1,8,85,39,71,23,32,16,16,0,8.3520002,1,2,5.71,6.711,0,0,0,0,1,0
0,0,1,1,0,1,11,114,36,73,21,29,16,16,4.191,9.4449997,0,7,5.8460002,6.677,0,0,0,0,0,1
0,0,1,1,0,0,12,107,30,73,21,29,15,18,0,6.2670002,5,3,5.6900001,6.2540002,0,0,0,0,0,1
0,0,1,1,1,1,12,117,41,69,26,37,18,18,.62800002,11.538,1,12,6.402,7.4559999,0,0,1,0,0,0
0,0,1,1,1,1,16,112,47,73,30,38,18,18,2.3970001,9.3479996,3,10,6.645,7.5619998,0,0,0,0,0,1
