taxableinc,federaltax,hsiblings,hfathereduc,hmothereduc,siblings,lfp,hours,kidsl6,kids618,age,educ,wage,wage76,hhours,hage,heduc,hwage,faminc,mtr,mothereduc,fathereduc,unemployment,largecity,exper
12000,1266,3,10,7,3,1,583,1,2,31,16,2.5729001,9.9799995,1530,34,16,13.725,24000,.66149998,14,16,9.5,1,6
24000,3957,3,7,7,3,1,480,0,2,48,12,4.5374999,4.6500001,3149,48,8,6.3492999,22172,.66149998,3,3,5,0,10
19237,2867,2,7,7,3,1,1900,0,3,30,12,2,2.23,2690,32,12,5.2528,17930,.72149998,12,7,5,0,6
11080,1253,6,3,7,8,1,576,0,2,34,12,3.4721999,3.8399999,3096,33,12,1.3075,7000,.78149998,12,7,3,0,4
16500,2300,5,7,14,2,1,2056,0,2,48,16,2.0160999,0,2552,53,16,2.7997999,25300,.72149998,14,16,5,1,10
10700,1196,8,7,7,7,1,1984,0,0,45,12,4.5716,4.8200002,2040,47,11,2.6961,16212,.72149998,10,10,11,0,22
17500,2510,4,7,7,3,1,2640,0,0,51,12,2.2727001,0,2180,50,13,7.5688,22650,.66149998,7,7,3,0,16
9560,973,5,3,3,1,1,240,0,2,30,12,2.6375,0,1864,37,12,3.4077001,6985,.78149998,12,7,14,0,6
14574,1919,7,3,9,4,1,1173,0,1,46,12,2.2899001,2.5,2068,46,12,6.5401001,30000,.69150001,7,7,11,1,12
25000,4192,8,7,12,2,1,3640,0,0,58,12,1.0989,0,2010,58,12,7.2139001,18500,.69150001,7,3,9.5,1,32
13000,1642,1,7,3,2,1,340,0,8,37,12,1.1765,0,2152,40,10,6.2732,16658,.75150001,12,7,5,0,15
20200,3077,2,7,7,5,1,500,0,0,52,8,1.6,0,1496,54,11,5.8824,10300,.75150001,7,7,5,1,17
18965,2804,2,7,7,0,1,1599,0,0,52,10,1.8762,2.8,2100,47,4,3.8095,11000,.75150001,7,3,7.5,0,34
40000,8660,3,12,14,2,1,1830,0,0,31,16,4.0437002,4.1999998,1960,35,14,6.3776002,19900,.69150001,12,12,7.5,1,9
10040,1063,3,3,10,5,1,1920,0,0,55,14,9.6353998,8.75,1985,55,15,6.0453,32500,.63999999,7,7,14,1,37
13000,1642,1,3,7,7,1,2052,0,0,34,17,8.0409002,8.25,2020,33,17,8.8119001,37300,.57999998,17,17,7.5,1,10
35000,7019,5,3,7,1,1,2312,0,0,55,14,4.599,5.5799999,2178,56,16,8.8765001,30018,.58149999,17,7,11,1,35
32000,6112,6,3,3,8,1,196,0,2,39,12,2.1429,2.5,3684,39,12,3.342,12807,.75150001,12,7,14,1,6
16950,2384,4,7,9,4,1,2500,0,3,40,14,4.4000001,5.5,5010,42,13,3.1835999,39500,.55150002,14,3,7.5,0,19
15500,2104,1,12,12,2,1,1980,0,4,43,12,3.5353999,3.75,1880,47,12,6.9148998,22050,.69150001,12,12,9.5,1,10
20000,2818,1,14,14,0,1,1840,0,0,48,8,2.7174001,4.8000002,1904,56,8,5.5146999,15500,.72149998,7,7,14,1,11
30020,5517,1,12,12,4,1,320,0,0,47,12,6.25,6.25,2083,47,12,5.2807999,13810,.72149998,7,7,9.5,1,15
29000,4979,8,7,7,0,1,419,0,4,41,12,11.933,6.3000002,2125,44,12,3.2,11950,.75150001,7,7,5,1,12
8072,679,7,7,9,8,1,1880,0,0,36,8,3.5931001,3.75,1985,37,12,5.8790998,19175,.69150001,12,12,7.5,0,12
28600,5141,1,12,12,0,1,72,0,2,46,17,6.9443998,0,2640,48,17,6.25,17900,.69150001,12,16,7.5,0,14
15000,2011,7,7,12,6,1,120,0,0,34,12,2.9166999,0,2070,51,8,7.4878998,15850,.72149998,12,7,5,1,11
13000,1642,8,16,12,2,1,1885,0,3,41,12,3.0769,2.9000001,2107,48,8,6.9766998,27017,.69150001,7,7,5,1,9
8600,793,8,7,3,8,1,240,0,1,51,12,3.75,0,2250,54,10,8,18900,.69150001,12,7,5,0,24
5000,174,2,7,7,6,1,1729,0,0,33,12,5.7259002,4.7600002,2880,34,16,4.1318998,21800,.69150001,12,12,7.5,1,12
20400,2617,8,7,3,2,1,1850,0,0,52,12,3.6756999,3.4000001,1848,53,12,14.476,33552,.55150002,10,10,7.5,1,13
17200,2447,4,7,7,3,1,2033,0,0,58,9,5.1648002,4.3200002,1927,53,7,5.7343001,22650,.66149998,7,9,7.5,1,29
10550,1158,8,3,3,6,1,608,2,4,34,10,8.2236996,3,1304,38,9,3.3742001,15200,.79149997,0,0,7.5,1,11
16000,2196,3,7,7,1,1,1153,0,1,31,12,4.3365002,4.52,3000,35,12,1.8333,13120,.72149998,7,10,7.5,1,13
15200,2048,2,7,3,2,1,2208,0,1,48,12,4.9819002,5.3099999,1892,52,12,5.6025,21660,.66149998,12,14,5,1,19
7700,622,3,14,12,6,1,252,0,2,32,12,.35710001,0,3644,32,12,4.2975001,18190,.72149998,7,7,3,0,2
5500,250,6,3,9,6,1,337,0,0,49,17,2.9674001,0,1430,47,17,3.9161,9600,.75150001,3,3,14,1,24
11500,1353,1,7,10,3,1,90,2,2,32,15,1,0,2350,31,14,4.8786998,13755,.75150001,10,12,7.5,1,9
18800,2783,1,14,12,2,1,1174,0,0,58,12,2.5553999,4.8699999,1948,59,16,9.2402,35350,.66149998,7,12,7.5,1,6
57000,15190,2,7,12,0,1,372,0,0,50,6,.86019999,2.25,1804,42,12,6.6518998,12405,.72149998,12,7,7.5,1,22
31100,5840,2,7,3,8,1,30,0,0,60,14,1,0,2326,51,12,4.6216998,12180,.75150001,12,17,9.5,0,30
8900,850,8,7,7,5,1,1800,0,1,50,12,2.9261,0,1739,55,11,9.9741001,22962,.66149998,7,3,7.5,1,10
14000,1631,5,10,10,3,1,282,0,0,56,14,3.5460999,2.5,1176,57,17,20.917999,25700,.62150002,7,7,9.5,1,6
22200,3533,1,7,12,1,1,720,0,0,51,9,1.6264,2.2,1100,55,8,1.9400001,3305,.79149997,7,7,3,0,29
18822,2783,6,0,7,5,1,1440,0,1,54,17,8.3332996,6,1528,58,17,8.8351002,32950,.58149999,7,12,5,1,29
16476,2279,7,7,3,3,1,2100,0,0,59,13,3.0952001,2.95,2250,52,15,4.6666999,17000,.69150001,7,7,5,1,36
22300,3557,4,10,7,2,1,1000,0,2,46,9,2.7,2.3499999,1927,47,10,5.1894002,13250,.75150001,7,7,5,1,19
14000,1796,2,7,3,3,1,952,0,1,46,15,5.2521,0,2414,47,16,18.724001,50750,.44150001,7,12,5,1,8
18500,2720,3,7,7,6,1,1413,1,3,39,12,1.4154,2.2,768,49,8,10.417,15632,.77149999,10,10,14,0,13
15300,2067,5,7,12,3,1,2100,0,2,44,12,4.7986002,4.8499999,1984,43,14,8.8458004,28316,.62150002,7,0,11,1,16
24137,3980,5,7,10,7,1,120,2,0,33,12,1.6667,2.3699999,2246,36,12,7.5689998,17290,.72149998,12,12,9.5,1,11
55600,14602,5,7,12,2,1,3000,1,2,33,12,1.1217,0,3024,30,17,4.4506998,33600,.62150002,10,10,7.5,1,15
22000,3246,2,12,12,2,1,1000,0,2,48,12,.5,0,2921,52,12,9.3204002,29200,.62150002,12,7,9,1,6
5000,32,2,7,7,5,1,336,0,4,31,12,.71429998,0,2045,37,17,9.1687002,19870,.69150001,7,7,11,0,13
10300,948,5,3,7,2,1,1216,0,1,45,12,2.7960999,2.9000001,1928,44,12,6.4833999,16225,.72149998,7,7,11,0,22
8000,509,6,3,7,4,1,988,0,1,45,12,4.8583002,4.5,1920,44,10,7.8125,28600,.69150001,7,3,5,1,24
25000,3952,2,12,12,8,1,2581,0,2,32,13,1.7435,2.5999999,2280,37,17,11.404,30800,.58149999,14,12,7.5,1,2
22000,3246,0,7,7,3,1,2030,0,0,47,12,2.4631,2.8,2300,47,17,5.0869999,25700,.69150001,7,7,3,0,6
15189,1640,2,7,7,8,1,413,0,2,34,13,2.4212999,3,2480,35,13,6.9758,27000,.62150002,12,12,3,0,2
19500,2713,3,7,14,7,1,782,0,1,37,12,1.5345,2.3,1135,34,10,5.2863002,12077,.77149999,12,7,9.5,1,2
63500,17515,0,12,16,3,1,1388,0,1,36,12,2.8817999,1.87,1384,39,12,11.562,29612,.66149998,7,7,11,0,14
14600,1742,1,7,7,0,1,1450,1,2,47,12,2.4068999,3,1848,50,14,8.6061001,24479,.69150001,7,10,9.5,1,9
31500,5381,3,7,12,0,1,1720,0,1,48,16,5.2326002,4.6799998,2499,46,17,12.805,79750,.44150001,14,14,7.5,1,11
22000,3246,5,7,9,4,1,800,0,2,42,12,3.75,2.5,2390,43,12,6.6946001,20050,.69150001,12,7,11,0,9
20930,3007,1,9,12,1,1,360,0,3,33,13,1.3889,0,2400,44,14,8.3332996,21500,.69150001,10,12,11,1,6
14000,1631,1,7,12,4,1,2000,0,0,46,11,4,4.6100001,1920,53,8,4.1666999,16120,.69150001,7,7,5,0,19
15000,1816,3,12,12,1,1,1176,0,3,47,12,3.2313001,3.3499999,2301,48,13,5.4759002,24686,.72149998,7,7,9.5,0,26
12300,1317,6,7,7,8,1,2058,0,1,44,12,3.4014001,3.8,1944,43,10,5.1440001,24669,.69150001,7,10,9.5,1,19
9290,571,2,7,12,1,1,900,0,4,36,12,1.3333,2.2,2100,37,17,11.667,26400,.66149998,7,7,7.5,1,3
32000,5812,0,12,12,3,1,215,2,0,31,17,9.3023005,9.9799995,1920,32,16,7.2916999,16245,.72149998,12,12,7.5,1,7
15150,1465,0,10,12,8,1,2000,0,0,55,14,4.5,4.3699999,2880,55,14,4.8611002,23300,.66149998,7,7,9.5,1,28
28235,4764,7,10,7,0,1,757,0,1,45,16,4.6234999,4.5,1932,48,16,12.164,27200,.62150002,12,7,9.5,1,13
21000,3028,6,7,7,5,1,1264,0,0,47,17,3.9556999,0,3234,48,17,10.823,51000,.46149999,10,17,9.5,1,9
20800,4680,4,7,7,3,1,2064,0,3,46,12,5.8140001,6,2805,47,12,12.478,55000,.46149999,10,7,14,1,15
20220,2860,2,7,7,7,1,1280,0,0,49,11,.5,0,2272,52,9,6.1620002,15389,.72149998,7,7,7.5,1,20
16240,2038,3,10,7,2,1,1715,0,0,49,12,4.0816002,3.75,2227,52,14,7.1845999,23150,.66149998,7,7,9.5,1,29
29513,5113,8,10,10,0,1,2000,0,2,45,12,6,4.9499998,1720,49,6,7.0929999,29774,.62150002,7,10,14,1,9
2620,0,2,7,7,3,1,12,1,3,38,17,3.6666999,0,2300,38,13,17.826,91044,.44150001,12,10,14,1,1
9600,810,6,7,7,2,1,1528,0,0,47,10,3.8613,2.95,3410,50,12,6.3930001,28200,.58149999,7,12,14,1,8
17000,2188,3,7,9,8,1,561,0,3,54,13,2.7629001,2.53,2304,57,16,11.719,36150,.55150002,7,7,9.5,1,19
22000,2833,5,7,9,2,1,2058,0,0,41,11,2.931,2.9000001,1984,42,12,4.7883,15652,.72149998,12,12,7.5,0,23
16500,2093,1,7,12,4,1,1823,0,2,43,12,4.3884001,4.1999998,1890,33,14,4.2328,18900,.75150001,14,7,11,0,3
15600,1927,8,7,7,8,1,1680,1,1,31,16,5.4166999,4.6999998,1970,32,12,7.1065998,23600,.66149998,12,10,7.5,0,13
21000,3028,5,7,7,1,1,1440,0,0,47,17,9.8611002,7.0999999,2400,46,12,8.3332996,36200,.61000001,7,7,7.5,1,8
20000,2818,1,16,12,1,1,4950,0,2,35,12,.16159999,2.75,2504,37,12,6.9888,18700,.69150001,10,10,7.5,0,17
16500,2093,0,12,12,4,1,1176,0,3,45,16,.38260001,3.75,2398,48,17,9.5913,24125,.66149998,7,7,11,1,4
28900,4682,1,10,16,1,1,1100,1,0,33,12,3.6364,3.5799999,1960,39,12,6.0204,15800,.72149998,7,7,7.5,0,15
23000,3481,0,12,16,0,1,1516,0,1,54,16,2.3747001,2.4000001,2550,55,12,2.9686,19742,.72149998,12,7,3,0,11
11000,1081,8,3,7,8,1,900,0,4,35,8,4.6666999,3.95,2500,41,12,7,22600,.69150001,10,7,9.5,0,7
11920,1250,1,7,7,3,1,1080,1,2,31,12,1.8519,2.25,2164,37,10,7.1627002,17500,.72149998,7,7,7.5,0,0
13299,1112,2,7,12,1,1,480,0,0,55,12,5.1999998,0,2640,60,12,4.7364001,19820,.69150001,7,7,7.5,0,0
30400,5355,1,7,7,5,1,288,0,2,34,12,3.2986,4.6199999,1936,36,12,8.7810001,20155,.69150001,12,16,11,1,10
21025,3028,1,14,12,2,1,1875,0,1,38,13,8.5333004,8.5,2136,41,12,9.8315001,37300,.57999998,10,12,7.5,1,8
5400,91,4,7,7,2,1,630,0,1,45,11,2.0634999,0,1955,51,10,6.6496,24860,.72149998,7,7,7.5,1,2
28000,4440,4,7,9,6,1,234,0,1,47,12,2.5641,2.5,1980,48,10,9.8485003,21450,.66149998,12,3,7.5,1,4
8000,509,3,7,7,4,1,1600,0,2,39,12,2.1875,0,2550,42,11,9.8038998,29650,.62150002,7,7,5,1,6
9000,621,8,7,9,8,1,960,1,0,36,14,6.25,0,2058,37,13,8.2603998,23000,.66149998,7,7,11,1,18
18750,2327,7,7,10,3,1,120,1,2,33,12,3.3333001,0,2263,32,14,9.0676003,21120,.69150001,7,7,9,1,3
26180,3970,5,7,7,1,1,2025,0,0,50,12,4.4443998,4.8000002,1763,54,13,8.5081997,26000,.62150002,7,12,5,1,22
21014,3028,7,7,3,4,1,1809,0,0,58,12,6.6335001,6.4499998,2096,59,14,7.1564999,28000,.62150002,3,7,7.5,1,33
10834,870,1,12,9,3,1,3087,0,0,49,17,8.4224005,9.9799995,2059,47,13,7.0423002,45500,.51999998,12,12,11,1,28
16000,2001,2,7,12,2,1,910,0,2,41,14,4.3955998,0,1820,40,17,6.5934,16000,.72149998,16,12,14,1,23
16150,2020,6,16,16,3,1,1840,0,1,51,12,2.4456999,2.5,2832,53,8,4.3456998,18232,.69150001,7,14,11,0,27
13400,1521,7,7,7,7,1,784,0,0,53,9,1.2244999,2.25,1990,60,10,7.2361999,28160,.72149998,3,7,14,1,11
16073,2001,3,7,12,1,1,400,1,2,36,12,1.625,0,2000,40,7,1.74,5965,.80150002,12,7,11,1,6
12916,1261,2,9,12,1,1,1000,0,2,46,12,3,5.5,1885,46,12,6.8965998,19000,.72149998,7,7,9.5,1,11
28000,4440,1,7,12,1,1,1904,0,2,36,12,4.7269001,4.1999998,2860,37,12,5.0454998,36872,.55150002,12,12,11,1,14
11000,908,2,7,7,1,1,1771,0,1,53,14,1.1293,9.9799995,1913,48,16,17.25,42000,.49149999,12,12,14,1,17
22995,3218,1,16,12,3,1,1486,0,3,40,16,7.4024,6.25,1800,54,16,8.3332996,26900,.62150002,16,14,11,1,17
6000,39,4,17,16,2,1,740,0,2,42,17,4.4594998,1.65,2880,45,16,9.375,30800,.58149999,12,10,9,0,14
9000,364,2,7,12,3,1,1820,1,1,33,15,2.4725001,0,1993,32,16,8.2790003,21520,.69150001,12,12,11,1,11
15586,1834,4,7,12,7,1,1275,0,3,43,12,1.8824,3,2250,47,14,4.5,24795,.69150001,7,7,7.5,1,7
37752,7257,5,7,7,2,1,450,1,0,31,16,4,4,2286,30,16,4.1995001,12900,.72149998,14,16,14,1,8
5000,0,1,7,7,3,1,1221,0,0,47,17,8.1899996,5.9899998,1880,47,16,16.063999,42700,.49149999,7,7,7.5,1,6
15900,1788,2,17,12,2,1,1550,0,0,54,17,7.0967999,6,2350,58,17,11.277,38800,.52149999,10,17,11,1,8
12600,1189,7,7,10,4,1,180,1,3,33,12,1.6667,0,3640,33,11,.54939997,2500,.94150001,7,3,3,0,4
30000,4977,2,16,16,1,1,2090,0,0,43,16,3.4449999,3.8499999,1770,47,14,9.5480003,26921,.62150002,14,10,11,1,25
13900,1418,4,7,7,1,1,1960,0,1,46,13,4.2347002,4.1999998,1875,49,13,5.3333001,18300,.69150001,7,9,3,0,24
37000,7028,0,12,12,1,1,1440,0,3,35,12,2.7778001,4.0999999,2200,38,9,5.4545002,17200,.72149998,7,7,14,1,11
20625,2726,0,7,10,4,1,794,0,3,37,11,1.8892,3.8499999,2033,39,12,5.9025998,14209,.75150001,12,3,9.5,1,19
28200,4494,8,10,10,4,1,993,0,2,37,16,5.0352001,8.3000002,2739,39,17,9.8576002,32300,.58149999,12,16,14,1,9
8200,385,7,7,7,7,1,160,0,3,34,14,1.25,0,1626,38,14,11.685,21400,.72149998,17,12,7.5,1,19
15380,1677,8,7,3,2,1,105,1,0,43,16,2.8571,0,2248,44,17,6.2277999,14700,.72149998,7,7,9.5,0,14
51000,11948,2,17,16,2,1,1200,0,0,46,12,4.1167002,4.3299999,2140,48,12,9.1747999,25516,.62150002,7,7,9.5,1,22
15825,1769,5,7,16,4,1,450,0,3,35,9,1.7778,2.5999999,1985,42,12,6.2972002,13300,.75150001,3,7,5,1,6
17000,1991,2,7,7,8,1,996,0,0,46,17,13.554,9.9799995,1528,59,17,10.471,31000,.58149999,12,12,9.5,1,23
16460,1880,5,10,12,5,1,1052,0,0,46,14,4.5626998,4.9000001,1920,48,16,14.583,48800,.49149999,7,3,11,1,15
29800,4924,0,7,9,1,1,1128,0,2,43,12,2.1277001,2.4000001,1918,46,10,6.2143002,15519,.72149998,7,7,14,1,6
14550,1529,3,7,3,2,1,1840,0,0,30,12,2.9891,3.75,2112,30,12,6.6287999,19500,.69150001,7,7,7.5,0,11
23600,3382,0,17,10,2,1,1910,0,2,41,11,2.5653999,2.5699999,2144,46,9,3.8246,14545,.72149998,3,7,5,0,2
20378,2446,7,12,7,2,1,980,0,1,54,12,5.6121998,5,1920,54,15,7.8125,22897,.69150001,7,7,14,1,22
29000,4439,2,14,12,0,1,2317,0,1,31,12,2.8053999,3.8699999,2241,41,9,3.4806001,14300,.72149998,10,10,7.5,1,10
87500,27875,1,7,10,1,1,1089,0,0,44,10,1.607,0,880,47,11,5.5500002,14884,.75150001,10,10,9.5,1,14
37000,7028,2,12,7,4,1,800,0,1,32,12,2.25,0,2070,31,16,11.594,27400,.62150002,12,7,11,1,12
15212,1463,3,7,7,3,1,1230,0,0,47,5,2.0325,2.8199999,1050,53,5,9.5237999,16400,.72149998,7,12,14,1,9
18300,2243,6,7,3,6,1,1158,0,1,46,17,5.5320001,8.1000004,2635,57,17,7.2804999,25704,.62150002,14,17,7.5,0,13
14800,1584,1,14,12,0,1,2272,0,0,37,11,1.5845,3.71,3000,47,8,3,12800,.72149998,10,10,7.5,0,18
24030,3477,6,7,7,7,1,528,0,2,51,12,3.7879,0,2500,50,11,10.4,40000,.62150002,7,7,7.5,0,8
6531,86,5,3,9,6,1,1000,0,1,49,12,3,0,1990,49,12,10.05,47000,.66149998,7,7,14,1,11
12000,921,7,7,7,2,1,520,0,4,36,14,8.6538,0,2390,37,13,8.7866001,25872,.66149998,10,12,9.5,1,9
30000,4977,3,7,12,2,1,760,0,1,39,11,4.2104998,3.95,1430,44,12,10.14,26868,.69150001,12,7,9.5,1,9
39900,7655,3,7,3,1,1,1920,0,2,48,12,4.6875,4.3000002,1800,50,8,5,18000,.69150001,12,12,9.5,1,14
50000,11570,8,7,7,8,1,1220,0,2,38,14,4.0984001,4.8400002,2103,43,17,11.888,30200,.58149999,7,7,5,1,9
14600,1547,4,7,3,5,1,200,0,2,40,12,25,3,1350,42,12,13.333,26220,.66149998,7,7,7.5,1,2
13000,1253,1,9,3,8,1,2480,1,5,39,10,2.6331,4.1999998,2880,36,17,8.6806002,40500,.58149999,7,7,3,0,12
23600,3382,1,7,12,3,1,2750,0,0,37,16,6,9,2400,43,17,7.2916999,33570,.61000001,12,7,7.5,1,15
13450,1521,6,7,7,6,1,2014,0,1,49,13,5.4126,4.0500002,1135,47,12,3.5242,16917,.72149998,7,14,14,1,11
17000,1991,4,7,14,5,1,1355,0,3,33,12,.66420001,1,2750,35,17,6.1817999,18000,.72149998,12,7,9.5,0,7
12000,921,4,7,12,1,1,80,0,0,30,12,1.25,0,2085,32,16,2.9755001,8337,.75150001,12,12,11,1,9
3500,0,1,3,9,4,1,1670,0,0,54,12,2.2753999,2.0999999,2600,56,8,4.5769,17100,.72149998,12,7,9.5,0,19
16600,1723,8,3,7,2,1,520,0,4,39,11,3.4614999,3.05,3542,40,12,3.1056001,17800,.75150001,10,7,11,0,11
19876,2341,8,7,7,1,1,288,0,3,43,12,4.1666999,3,1975,43,12,5.8228002,13740,.75150001,12,12,14,1,8
7867,176,7,12,7,6,1,2014,0,3,31,9,4.4686999,4.2600002,2400,32,12,7.5,27000,.62150002,10,3,9.5,1,13
11467,812,3,3,7,4,1,800,0,3,33,13,1.75,0,3000,37,14,8.3332996,32600,.62150002,12,7,7.5,1,4
48300,10560,1,10,3,0,1,1984,0,3,40,12,3.6694,4.25,1960,39,14,9.2347002,28030,.66149998,12,12,14,1,7
28600,4331,8,7,7,0,1,1823,0,1,36,12,6.5826001,6,2000,39,9,5.5,23100,.66149998,12,12,3,0,19
4100,0,8,7,7,5,1,1500,0,0,51,12,2.5999999,2,3000,51,12,6,24580,.66149998,7,7,9.5,1,14
13400,1144,3,7,3,1,1,2261,0,1,44,13,4.8650999,5.5,2400,43,12,6.6666999,29000,.62150002,12,7,9.5,1,14
24470,3089,1,7,7,1,1,1728,0,3,42,16,5.7870002,6.25,2450,48,14,13.061,42430,.52149999,12,14,9.5,1,3
17600,1907,6,7,7,6,1,1960,0,1,40,12,4.5408001,5,2423,40,8,12.794,41800,.52149999,12,12,7.5,1,9
19000,2390,4,7,10,4,1,1578,1,1,34,16,9.5057001,7.7199998,2000,33,16,12,39100,.57999998,12,17,9.5,1,7
12143,774,1,7,12,3,1,1316,0,0,30,17,10.638,7,2526,41,16,6.73,31800,.58149999,16,17,11,1,7
18300,1840,0,7,7,8,1,1530,0,0,54,12,1.1111,1.13,2695,53,12,6.6789999,22200,.69150001,7,7,14,0,14
77000,22643,0,16,12,5,1,2220,0,0,51,12,4.0541,4.3699999,2048,54,12,4.3944998,19500,.69150001,16,7,3,0,29
