żyć;žít;to live;core500 A1_Core_200_Most_Frequent_Words
stać;stát;to stand;core500 A1_Core_200_Most_Frequent_Words
siedzieć;sedět;to sit;core500 A1_Core_200_Most_Frequent_Words
jeść;jíst;to eat;core500 A1_Core_200_Most_Frequent_Words
pić;pít;to drink;core500 A1_Core_200_Most_Frequent_Words
spać;spát;to sleep;core500 A1_Core_200_Most_Frequent_Words
umrzeć;umřít/zemřít;to die;core500 A1_Core_200_Most_Frequent_Words
urodzić się;narodit se;to be born;core500 A1_Core_200_Most_Frequent_Words
kochać;milovat;to love;core500 A1_Core_200_Most_Frequent_Words
pracować;pracovat;to work;core500 A1_Core_200_Most_Frequent_Words
grać;hrát;to play;core500 A1_Core_200_Most_Frequent_Words
kupić;koupit;to buy;core500 A1_Core_200_Most_Frequent_Words
zapłacić;zaplatit;to pay;core500 A1_Core_200_Most_Frequent_Words
pytać;ptát se;to ask;core500 A1_Core_200_Most_Frequent_Words
odpowiedzieć;odpovědět;to answer;core500 A1_Core_200_Most_Frequent_Words
zacząć;začít;to begin;core500 A1_Core_200_Most_Frequent_Words
skończyć;skončit;to end/finish;core500 A1_Core_200_Most_Frequent_Words
dobry;dobrý;good;core500 A1_Core_200_Most_Frequent_Words
zły;špatný/zlý;bad;core500 A1_Core_200_Most_Frequent_Words
duży/wielki;velký;big;core500 A1_Core_200_Most_Frequent_Words
mały;malý;small;core500 A1_Core_200_Most_Frequent_Words
nowy;nový;new;core500 A1_Core_200_Most_Frequent_Words
stary;starý;old;core500 A1_Core_200_Most_Frequent_Words
długi;dlouhý;long;core500 A1_Core_200_Most_Frequent_Words
krótki;krátký;short;core500 A1_Core_200_Most_Frequent_Words
pierwszy;první;first;core500 A1_Core_200_Most_Frequent_Words
ostatni;poslední;last;core500 A1_Core_200_Most_Frequent_Words
prawy;pravý;right/correct;core500 A1_Core_200_Most_Frequent_Words
lewy;levý;left;core500 A1_Core_200_Most_Frequent_Words
cały;celý;whole/entire;core500 A1_Core_200_Most_Frequent_Words
ważny;důležitý;important;core500 A1_Core_200_Most_Frequent_Words
możliwy;možný;possible;core500 A1_Core_200_Most_Frequent_Words
konieczny/potrzebny;nutný/potřebný;necessary;core500 A1_Core_200_Most_Frequent_Words
ciężki/trudny;těžký;heavy/difficult;core500 A1_Core_200_Most_Frequent_Words
lekki/łatwy;lehký/snadný;light/easy;core500 A1_Core_200_Most_Frequent_Words
szybki;rychlý;fast;core500 A1_Core_200_Most_Frequent_Words
wolny/powolny;pomalý;slow;core500 A1_Core_200_Most_Frequent_Words
cichy;tichý;quiet;core500 A1_Core_200_Most_Frequent_Words
głośny;hlasitý;loud;core500 A1_Core_200_Most_Frequent_Words
pełny;plný;full;core500 A1_Core_200_Most_Frequent_Words
pusty/próżny;prázdný;empty;core500 A1_Core_200_Most_Frequent_Words
otwarty;otevřený;open;core500 A1_Core_200_Most_Frequent_Words
zamknięty;zavřený;closed;core500 A1_Core_200_Most_Frequent_Words
żywy;živý;alive;core500 A1_Core_200_Most_Frequent_Words
martwy;mrtvý;dead;core500 A1_Core_200_Most_Frequent_Words
wolny;volný;free;core500 A1_Core_200_Most_Frequent_Words
gdzie;kde;where;core500 A1_Core_200_Most_Frequent_Words
kiedy;kdy;when;core500 A1_Core_200_Most_Frequent_Words
jak;jak;how;core500 A1_Core_200_Most_Frequent_Words
dlaczego;proč;why;core500 A1_Core_200_Most_Frequent_Words
ile;kolik;how much/many;core500 A1_Core_200_Most_Frequent_Words
tak;ano/jo;yes;core500 A1_Core_200_Most_Frequent_Words
nie;ne;no;core500 A1_Core_200_Most_Frequent_Words
tu/tutaj;tady/zde;here;core500 A1_Core_200_Most_Frequent_Words
tam;tam;there;core500 A1_Core_200_Most_Frequent_Words
teraz;teď/nyní;now;core500 A1_Core_200_Most_Frequent_Words
potem;potom/pak;then/after;core500 A1_Core_200_Most_Frequent_Words
jeszcze;ještě;still/yet;core500 A1_Core_200_Most_Frequent_Words
już;už/již;already;core500 A1_Core_200_Most_Frequent_Words
zawsze;vždy/vždycky;always;core500 A1_Core_200_Most_Frequent_Words
nigdy;nikdy;never;core500 A1_Core_200_Most_Frequent_Words
czasami;někdy;sometimes;core500 A1_Core_200_Most_Frequent_Words
często;často;often;core500 A1_Core_200_Most_Frequent_Words
rzadko;málokdy/zřídka;rarely;core500 A1_Core_200_Most_Frequent_Words
bardzo;velmi/moc;very;core500 A1_Core_200_Most_Frequent_Words
też/również;taky/také;also/too;core500 A1_Core_200_Most_Frequent_Words
tylko;jen/jenom;only;core500 A1_Core_200_Most_Frequent_Words
może/chyba;asi/možná;maybe/perhaps;core500 A1_Core_200_Most_Frequent_Words
naprawdę;opravdu/skutečně;really;core500 A1_Core_200_Most_Frequent_Words
oczywiście;samozřejmě;of course;core500 A1_Core_200_Most_Frequent_Words
niestety;bohužel;unfortunately;core500 A1_Core_200_Most_Frequent_Words
na szczęście;naštěstí;fortunately;core500 A1_Core_200_Most_Frequent_Words
ale;ale;but;core500 A1_Core_200_Most_Frequent_Words
albo/lub;nebo;or;core500 A1_Core_200_Most_Frequent_Words
ponieważ/bo;protože;because;core500 A1_Core_200_Most_Frequent_Words
jeśli/jeżeli;jestli/pokud;if;core500 A1_Core_200_Most_Frequent_Words
kiedy/gdy;když;when (conj);core500 A1_Core_200_Most_Frequent_Words
że;že;that (conj);core500 A1_Core_200_Most_Frequent_Words
żeby/aby;aby/žeby;in order to;core500 A1_Core_200_Most_Frequent_Words
chociaż;ačkoli/i když;although;core500 A1_Core_200_Most_Frequent_Words
niż;než;than;core500 A1_Core_200_Most_Frequent_Words
jak/jako;jako;as/like;core500 A1_Core_200_Most_Frequent_Words
nawet;dokonce;even;core500 A1_Core_200_Most_Frequent_Words
mimo to/jednak;přesto;nevertheless;core500 A1_Core_200_Most_Frequent_Words
dlatego;proto;therefore;core500 A1_Core_200_Most_Frequent_Words
czas;čas;time;core500 A1_Core_200_Most_Frequent_Words
rok;rok;year;core500 A1_Core_200_Most_Frequent_Words
dzień;den;day;core500 A1_Core_200_Most_Frequent_Words
godzina;hodina;hour;core500 A1_Core_200_Most_Frequent_Words
minuta;minuta;minute;core500 A1_Core_200_Most_Frequent_Words
świat;svět;world;core500 A1_Core_200_Most_Frequent_Words
ziemia/kraj;země;land/country;core500 A1_Core_200_Most_Frequent_Words
życie;život;life;core500 A1_Core_200_Most_Frequent_Words
śmierć;smrt;death;core500 A1_Core_200_Most_Frequent_Words
człowiek;člověk;person/human;core500 A1_Core_200_Most_Frequent_Words
kobieta;žena;woman;core500 A1_Core_200_Most_Frequent_Words
mężczyzna;muž;man;core500 A1_Core_200_Most_Frequent_Words
dziecko;dítě;child;core500 A1_Core_200_Most_Frequent_Words
rzecz;věc;thing;core500 A1_Core_200_Most_Frequent_Words
miejsce;místo;place;core500 A1_Core_200_Most_Frequent_Words
droga;cesta;way/road;core500 A1_Core_200_Most_Frequent_Words
praca;práce;work;core500 A1_Core_200_Most_Frequent_Words
słowo;slovo;word;core500 A1_Core_200_Most_Frequent_Words
pytanie;otázka;question;core500 A1_Core_200_Most_Frequent_Words
odpowiedź;odpověď;answer;core500 A1_Core_200_Most_Frequent_Words
historia/opowieść;příběh;story;core500 A1_Core_200_Most_Frequent_Words
strona;strana;side/page;core500 A1_Core_200_Most_Frequent_Words
ręka;ruka;hand;core500 A1_Core_200_Most_Frequent_Words
oko;oko;eye;core500 A1_Core_200_Most_Frequent_Words
twarz;tvář/obličej;face;core500 A1_Core_200_Most_Frequent_Words
serce;srdce;heart;core500 A1_Core_200_Most_Frequent_Words
dom;dům;house;core500 A1_Core_200_Most_Frequent_Words
miasto;město;city;core500 A1_Core_200_Most_Frequent_Words
woda;voda;water;core500 A1_Core_200_Most_Frequent_Words
jedzenie;jídlo;food;core500 A1_Core_200_Most_Frequent_Words
pieniądze;peníze;money;core500 A1_Core_200_Most_Frequent_Words
książka;kniha;book;core500 A1_Core_200_Most_Frequent_Words
list/wiadomość;dopis/zpráva;letter/message;core500 A1_Core_200_Most_Frequent_Words
szkoła;škola;school;core500 A1_Core_200_Most_Frequent_Words
problem;problém;problem;core500 A1_Core_200_Most_Frequent_Words
prawo/ustawa;zákon;law;core500 A1_Core_200_Most_Frequent_Words
siła;síla;force/strength;core500 A1_Core_200_Most_Frequent_Words
prawda;pravda;truth;core500 A1_Core_200_Most_Frequent_Words
na;na;on;core500 A1_Core_200_Most_Frequent_Words
z/ze;z/ze;from/out of;core500 A1_Core_200_Most_Frequent_Words
do;do;to/into;core500 A1_Core_200_Most_Frequent_Words
z/ze;s/se;with;core500 A1_Core_200_Most_Frequent_Words
bez;bez;without;core500 A1_Core_200_Most_Frequent_Words
dla/za;pro/za;for;core500 A1_Core_200_Most_Frequent_Words
od;od;from;core500 A1_Core_200_Most_Frequent_Words
po;po;after/along;core500 A1_Core_200_Most_Frequent_Words
przed;před;before/in front;core500 A1_Core_200_Most_Frequent_Words
za;za;behind/for;core500 A1_Core_200_Most_Frequent_Words
między;mezi;between;core500 A1_Core_200_Most_Frequent_Words
nad;nad;above;core500 A1_Core_200_Most_Frequent_Words
pod;pod;under;core500 A1_Core_200_Most_Frequent_Words
obok;vedle;next to;core500 A1_Core_200_Most_Frequent_Words
wokół;kolem;around;core500 A1_Core_200_Most_Frequent_Words
przez;skrz/přes;through;core500 A1_Core_200_Most_Frequent_Words
podczas;během;during;core500 A1_Core_200_Most_Frequent_Words
według;podle;according to;core500 A1_Core_200_Most_Frequent_Words
z powodu;kvůli;because of;core500 A1_Core_200_Most_Frequent_Words
oprócz/poza;kromě;except/besides;core500 A1_Core_200_Most_Frequent_Words
przeciw(ko);proti;against;core500 A1_Core_200_Most_Frequent_Words
do/ku;k/ke;toward;core500 A1_Core_200_Most_Frequent_Words
proszę;prosím;please;core500 A1_Core_200_Most_Frequent_Words
dziękuję;děkuji;thank you;core500 A1_Core_200_Most_Frequent_Words
przepraszam;promiňte;sorry/excuse me;core500 A1_Core_200_Most_Frequent_Words
chodzić;chodit;to go (habitually);core500 B1_Core_Verbs_Top_100
jechać;jet;to go (by vehicle);core500 B1_Core_Verbs_Top_100
jeździć;jezdit;to go by vehicle (hab.);core500 B1_Core_Verbs_Top_100
biec/biegać;běžet;to run;core500 B1_Core_Verbs_Top_100
lecieć/latać;letět;to fly;core500 B1_Core_Verbs_Top_100
pływać;plavat;to swim;core500 B1_Core_Verbs_Top_100
nieść/nosić;nést;to carry;core500 B1_Core_Verbs_Top_100
wrócić;vrátit se;to return;core500 B1_Core_Verbs_Top_100
wstać;vstát;to stand up;core500 B1_Core_Verbs_Top_100
mówić/powiedzieć;říkat/říci;to say;core500 B1_Core_Verbs_Top_100
wyjaśnić/wytłumaczyć;vysvětlit;to explain;core500 B1_Core_Verbs_Top_100
rozumieć;rozumět;to understand;core500 B1_Core_Verbs_Top_100
zgadzać się;souhlasit;to agree;core500 B1_Core_Verbs_Top_100
nie zgadzać się;nesouhlasit;to disagree;core500 B1_Core_Verbs_Top_100
obiecać;slíbit;to promise;core500 B1_Core_Verbs_Top_100
skarżyć się;stěžovat si;to complain;core500 B1_Core_Verbs_Top_100
znać;znát;to know (person/thing);core500 B1_Core_Verbs_Top_100
pamiętać;pamatovat si;to remember;core500 B1_Core_Verbs_Top_100
zapomnieć;zapomenout;to forget;core500 B1_Core_Verbs_Top_100
uczyć się;učit se;to learn;core500 B1_Core_Verbs_Top_100
uczyć;učit;to teach;core500 B1_Core_Verbs_Top_100
zdecydować się;rozhodnout se;to decide;core500 B1_Core_Verbs_Top_100
wierzyć;věřit;to believe;core500 B1_Core_Verbs_Top_100
wątpić;pochybovat;to doubt;core500 B1_Core_Verbs_Top_100
zmieniać/zmienić;měnit/změnit;to change;core500 B1_Core_Verbs_Top_100
polepszyć/ulepszyć;zlepšit;to improve;core500 B1_Core_Verbs_Top_100
pogorszyć;zhoršit;to worsen;core500 B1_Core_Verbs_Top_100
spróbować;zkusit/vyzkoušet;to try;core500 B1_Core_Verbs_Top_100
potrzebować;potřebovat;to need;core500 B1_Core_Verbs_Top_100
czuć;cítit;to feel;core500 B1_Core_Verbs_Top_100
podobać się;líbit se;to like/appeal;core500 B1_Core_Verbs_Top_100
nienawidzić;nenávidět;to hate;core500 B1_Core_Verbs_Top_100
bać się;bát se;to be afraid;core500 B1_Core_Verbs_Top_100
cieszyć się;těšit se;to look forward to;core500 B1_Core_Verbs_Top_100
wstydzić się;stydět se;to be ashamed;core500 B1_Core_Verbs_Top_100
zazdrościć;závidět;to envy;core500 B1_Core_Verbs_Top_100
zaskoczyć/zdziwić;překvapit;to surprise;core500 B1_Core_Verbs_Top_100
nudzić się;nudit se;to be bored;core500 B1_Core_Verbs_Top_100
pomagać/pomóc;pomáhat/pomoci;to help;core500 B1_Core_Verbs_Top_100
wysłać;poslat;to send;core500 B1_Core_Verbs_Top_100
czekać;čekat;to wait;core500 B1_Core_Verbs_Top_100
szukać;hledat;to search;core500 B1_Core_Verbs_Top_100
pokazać;ukázat;to show;core500 B1_Core_Verbs_Top_100
schować;schovit/schovat;to hide;core500 B1_Core_Verbs_Top_100
istnieć;existovat;to exist;core500 B1_Core_Verbs_Top_100
stać się;stát se;to become/happen;core500 B1_Core_Verbs_Top_100
należeć;patřit;to belong;core500 B1_Core_Verbs_Top_100
zależeć;záviset;to depend;core500 B1_Core_Verbs_Top_100
zawierać;obsahovat;to contain;core500 B1_Core_Verbs_Top_100
znaczyć/oznaczać;znamenat;to mean;core500 B1_Core_Verbs_Top_100
wydawać się;zdát se;to seem;core500 B1_Core_Verbs_Top_100
kosztować;stát (za);to cost;core500 B1_Core_Verbs_Top_100
słyszeć;slyšet;to hear;core500 B1_Core_Verbs_Top_100
patrzeć;dívat se;to look/watch;core500 B1_Core_Verbs_Top_100
słuchać;poslouchat;to listen;core500 B1_Core_Verbs_Top_100
czuć (zapach);cítit (vůni);to smell;core500 B1_Core_Verbs_Top_100
smakować;chutnat;to taste;core500 B1_Core_Verbs_Top_100
dotknąć się;dotknout se;to touch;core500 B1_Core_Verbs_Top_100
leżeć;ležet;to lie (down);core500 B1_Core_Verbs_Top_100
otworzyć;otevřít;to open;core500 B1_Core_Verbs_Top_100
zamknąć;zavřít;to close;core500 B1_Core_Verbs_Top_100
włączyć;zapnout;to turn on;core500 B1_Core_Verbs_Top_100
wyłączyć;vypnout;to turn off;core500 B1_Core_Verbs_Top_100
umyć;umýt;to wash;core500 B1_Core_Verbs_Top_100
ubrać (się);obléct (se);to dress;core500 B1_Core_Verbs_Top_100
rozebrać (się);svléct (se);to undress;core500 B1_Core_Verbs_Top_100
pozwolić;dovolit;to allow;core500 B1_Core_Verbs_Top_100
zakazać;zakázat;to forbid;core500 B1_Core_Verbs_Top_100
zaproponować;navrhnout;to suggest;core500 B1_Core_Verbs_Top_100
porównać;porovnat;to compare;core500 B1_Core_Verbs_Top_100
zakładać;předpokládat;to assume;core500 B1_Core_Verbs_Top_100
poprzeć/wspierać;podpořit;to support;core500 B1_Core_Verbs_Top_100
stworzyć;vytvořit;to create;core500 B1_Core_Verbs_Top_100
zniszczyć;zničit;to destroy;core500 B1_Core_Verbs_Top_100
wygrać;vyhrát;to win;core500 B1_Core_Verbs_Top_100
przegrać;prohrát;to lose;core500 B1_Core_Verbs_Top_100
cześć;ahoj;hello/hi;core500 A1_01_Greetings_and_Introductions
zero;nula;zero;core500 A1_02_Numbers_and_Time
matka/mama;matka/máma;mother/mom;core500 A1_03_Family_and_People
chleb;chléb/chleba;bread;core500 A1_05_Food_and_Drink
wstawać;vstávat;to get up;core500 A1_06_Daily_Routine
dzień dobry;dobrý den;good day;core500 A1_01_Greetings_and_Introductions
mieszkanie;byt;apartment/flat;core500 A1_04_Home_and_Living
jeden;jeden;one;core500 A1_02_Numbers_and_Time
ojciec/tata;otec/táta;father/dad;core500 A1_03_Family_and_People
ulica;ulice;street;core500 A1_07_10_City_Shopping_Weather_Hobbies
masło;máslo;butter;core500 A1_05_Food_and_Drink
myć się;umýt se;to wash oneself;core500 A1_06_Daily_Routine
pokój;pokoj;room;core500 A1_04_Home_and_Living
dwa;dva;two;core500 A1_02_Numbers_and_Time
syn;syn;son;core500 A1_03_Family_and_People
plac/rynek;náměstí;square;core500 A1_07_10_City_Shopping_Weather_Hobbies
ser;sýr;cheese;core500 A1_05_Food_and_Drink
myć zęby;čistit si zuby;brush teeth;core500 A1_06_Daily_Routine
dobry wieczór;dobrý večer;good evening;core500 A1_01_Greetings_and_Introductions
kuchnia;kuchyně;kitchen;core500 A1_04_Home_and_Living
trzy;tři;three;core500 A1_02_Numbers_and_Time
córka;dcera;daughter;core500 A1_03_Family_and_People
most;most;bridge;core500 A1_07_10_City_Shopping_Weather_Hobbies
mięso;maso;meat;core500 A1_05_Food_and_Drink
ubierać się;oblékat se;to get dressed;core500 A1_06_Daily_Routine
dobranoc;dobrou noc;good night;core500 A1_01_Greetings_and_Introductions
łazienka;koupelna;bathroom;core500 A1_04_Home_and_Living
cztery;čtyři;four;core500 A1_02_Numbers_and_Time
brat;bratr;brother;core500 A1_03_Family_and_People
kościół;kostel;church;core500 A1_07_10_City_Shopping_Weather_Hobbies
ryba;ryba;fish;core500 A1_05_Food_and_Drink
jeść śniadanie;snídat;to have breakfast;core500 A1_06_Daily_Routine
do widzenia;na shledanou;goodbye;core500 A1_01_Greetings_and_Introductions
sypialnia;ložnice;bedroom;core500 A1_04_Home_and_Living
pięć;pět;five;core500 A1_02_Numbers_and_Time
siostra;sestra;sister;core500 A1_03_Family_and_People
szpital;nemocnice;hospital;core500 A1_07_10_City_Shopping_Weather_Hobbies
kurczak;kuře/kuřecí;chicken;core500 A1_05_Food_and_Drink
iść do pracy;jít do práce;go to work;core500 A1_06_Daily_Routine
cześć/pa;čau/čus;bye;core500 A1_01_Greetings_and_Introductions
salon/pokój dzienny;obývací pokoj;living room;core500 A1_04_Home_and_Living
sześć;šest;six;core500 A1_02_Numbers_and_Time
babcia;babička;grandmother;core500 A1_03_Family_and_People
jajko;vejce;egg;core500 A1_05_Food_and_Drink
toaleta/WC;záchod/toaleta;toilet;core500 A1_04_Home_and_Living
siedem;sedm;seven;core500 A1_02_Numbers_and_Time
dziadek;dědeček;grandfather;core500 A1_03_Family_and_People
sklep;obchod;shop;core500 A1_07_10_City_Shopping_Weather_Hobbies
mleko;mléko;milk;core500 A1_05_Food_and_Drink
jeść obiad;obědvat;to have lunch;core500 A1_06_Daily_Routine
ogród;zahrada;garden;core500 A1_04_Home_and_Living
osiem;osm;eight;core500 A1_02_Numbers_and_Time
mąż;manžel;husband;core500 A1_03_Family_and_People
restauracja;restaurace;restaurant;core500 A1_07_10_City_Shopping_Weather_Hobbies
ryż;rýže;rice;core500 A1_05_Food_and_Drink
wracać;vracet se;to come back;core500 A1_06_Daily_Routine
garaż;garáž;garage;core500 A1_04_Home_and_Living
dziewięć;devět;nine;core500 A1_02_Numbers_and_Time
żona;manželka;wife;core500 A1_03_Family_and_People
dworzec;nádraží;train station;core500 A1_07_10_City_Shopping_Weather_Hobbies
ziemniaki/kartofle;brambory;potato;core500 A1_05_Food_and_Drink
gotować;vařit;to cook;core500 A1_06_Daily_Routine
piwnica;sklep;cellar;core500 A1_04_Home_and_Living
dziesięć;deset;ten;core500 A1_02_Numbers_and_Time
wujek/stryj;strýc;uncle;core500 A1_03_Family_and_People
na lewo;vlevo;left;core500 A1_07_10_City_Shopping_Weather_Hobbies
cebula;cibule;onion;core500 A1_05_Food_and_Drink
jeść kolację;večeřet;to have dinner;core500 A1_06_Daily_Routine
poddasze/strych;podkroví;attic;core500 A1_04_Home_and_Living
jedenaście;jedenáct;eleven;core500 A1_02_Numbers_and_Time
ciotka/ciocia;teta;aunt;core500 A1_03_Family_and_People
na prawo;vpravo;right;core500 A1_07_10_City_Shopping_Weather_Hobbies
czosnek;česnek;garlic;core500 A1_05_Food_and_Drink
dobrze;dobře;good/fine;core500 A1_01_Greetings_and_Introductions
schody/klatka;schodiště;stairs;core500 A1_04_Home_and_Living
dwanaście;dvanáct;twelve;core500 A1_02_Numbers_and_Time
kuzyn/brat cioteczny;bratranec;cousin (m);core500 A1_03_Family_and_People
prosto;rovně/přímo;straight;core500 A1_07_10_City_Shopping_Weather_Hobbies
pomidor;rajče;tomato;core500 A1_05_Food_and_Drink
witamy/witajcie;vítejte;welcome;core500 A1_01_Greetings_and_Introductions
piętro;patro/poschodí;floor/story;core500 A1_04_Home_and_Living
trzynaście;třináct;thirteen;core500 A1_02_Numbers_and_Time
kuzynka;sestřenice;cousin (f);core500 A1_03_Family_and_People
blisko;blízko;near;core500 A1_07_10_City_Shopping_Weather_Hobbies
jabłko;jablko;apple;core500 A1_05_Food_and_Drink
jestem z Polski;jsem z Česka;I'm from...;core500 A1_01_Greetings_and_Introductions
sufit;strop;ceiling;core500 A1_04_Home_and_Living
czternaście;čtrnáct;fourteen;core500 A1_02_Numbers_and_Time
wnuk;vnuk;grandson;core500 A1_03_Family_and_People
daleko;daleko;far;core500 A1_07_10_City_Shopping_Weather_Hobbies
zupa;polévka;soup;core500 A1_05_Food_and_Drink
rano;ráno;in the morning;core500 A1_06_Daily_Routine
mówię po polsku;mluvím česky;I speak...;core500 A1_01_Greetings_and_Introductions
podłoga;podlaha;floor;core500 A1_04_Home_and_Living
piętnaście;patnáct;fifteen;core500 A1_02_Numbers_and_Time
wnuczka;vnučka;granddaughter;core500 A1_03_Family_and_People
kupować;kupovat;to buy;core500 A1_07_10_City_Shopping_Weather_Hobbies
przed południem;dopoledne;before noon;core500 A1_06_Daily_Routine
ściana;stěna/zeď;wall;core500 A1_04_Home_and_Living
szesnaście;šestnáct;sixteen;core500 A1_02_Numbers_and_Time
teść;tchán;father-in-law;core500 A1_03_Family_and_People
sprzedawać;prodávat;to sell;core500 A1_07_10_City_Shopping_Weather_Hobbies
herbata;čaj;tea;core500 A1_05_Food_and_Drink
w południe;v poledne;at noon;core500 A1_06_Daily_Routine
rozumiem;rozumím;I understand;core500 A1_01_Greetings_and_Introductions
okno;okno;window;core500 A1_04_Home_and_Living
siedemnaście;sedmnáct;seventeen;core500 A1_02_Numbers_and_Time
teściowa;tchyně;mother-in-law;core500 A1_03_Family_and_People
płacić;platit;to pay;core500 A1_07_10_City_Shopping_Weather_Hobbies
kawa;káva;coffee;core500 A1_05_Food_and_Drink
po południu;odpoledne;in the afternoon;core500 A1_06_Daily_Routine
nie rozumiem;nerozumím;I don't understand;core500 A1_01_Greetings_and_Introductions
drzwi;dveře;door;core500 A1_04_Home_and_Living
osiemnaście;osmnáct;eighteen;core500 A1_02_Numbers_and_Time
szwagier;švagr;brother-in-law;core500 A1_03_Family_and_People
piwo;pivo;beer;core500 A1_05_Food_and_Drink
wieczorem;večer;in the evening;core500 A1_06_Daily_Routine
nie wiem;nevím;I don't know;core500 A1_01_Greetings_and_Introductions
dach;střecha;roof;core500 A1_04_Home_and_Living
dziewiętnaście;devatenáct;nineteen;core500 A1_02_Numbers_and_Time
cena;cena;price;core500 A1_07_10_City_Shopping_Weather_Hobbies
wino;víno;wine;core500 A1_05_Food_and_Drink
w nocy;v noci;at night;core500 A1_06_Daily_Routine
stół;stůl;table;core500 A1_04_Home_and_Living
dwadzieścia;dvacet;twenty;core500 A1_02_Numbers_and_Time
tani;levný;cheap;core500 A1_07_10_City_Shopping_Weather_Hobbies
sok;džus/šťáva;juice;core500 A1_05_Food_and_Drink
krzesło;židle;chair;core500 A1_04_Home_and_Living
trzydzieści;třicet;thirty;core500 A1_02_Numbers_and_Time
drogi;drahý;expensive;core500 A1_07_10_City_Shopping_Weather_Hobbies
łóżko;postel;bed;core500 A1_04_Home_and_Living
czterdzieści;čtyřicet;forty;core500 A1_02_Numbers_and_Time
zniżka;sleva;discount;core500 A1_07_10_City_Shopping_Weather_Hobbies
śniadanie;snídaně;breakfast;core500 A1_05_Food_and_Drink
szafa;skříň;wardrobe;core500 A1_04_Home_and_Living
pięćdziesiąt;padesát;fifty;core500 A1_02_Numbers_and_Time
chłopak/chłopiec;chlapec/kluk;boy;core500 A1_03_Family_and_People
rozmiar;velikost;size;core500 A1_07_10_City_Shopping_Weather_Hobbies
obiad;oběd;lunch;core500 A1_05_Food_and_Drink
półka/regał;police/regál;shelf;core500 A1_04_Home_and_Living
sześćdziesiąt;šedesát;sixty;core500 A1_02_Numbers_and_Time
dziewczyna;dívka/holka;girl;core500 A1_03_Family_and_People
biały;bílý;white;core500 A1_07_10_City_Shopping_Weather_Hobbies
kolacja;večeře;dinner;core500 A1_05_Food_and_Drink
lampa;lampa;lamp;core500 A1_04_Home_and_Living
siedemdziesiąt;sedmdesát;seventy;core500 A1_02_Numbers_and_Time
przyjaciel/kolega;přítel/kamarád;friend;core500 A1_03_Family_and_People
czarny;černý;black;core500 A1_07_10_City_Shopping_Weather_Hobbies
menu/karta;jídelní lístek;menu;core500 A1_05_Food_and_Drink
lustro;zrcadlo;mirror;core500 A1_04_Home_and_Living
