a	b	c	d	e	f	g	h	y
-.760644	3.650674	1	.4735006	3	.1073445	2.736797	1.28678	6.804849
-.5178247	4.250417	1	1.40857	4	.683354	19.21503	.6542383	10.25385
.3475243	.2841043	0	5.519716	2	.9513566	14.07734	2.672922	1.236475
2.080849	1.232447	0	4.564569	6	.7689442	27.70195	-1.082704	5.651508
-.6577222	-1.183851	0	8.565285	5	.7522987	13.33002	-.1424864	-4.297085
-.0038635	-.7562542	1	1.273683	5	.7874078	9.876245	1.297628	-1.509071
-.3360559	.931267	0	4.070057	2	.1195728	6.589451	1.314461	1.087446
-2.260383	3.398536	0	3.282343	6	.393877	13.04949	1.32342	3.172871
-.0455438	.0231784	0	1.792816	7	.4603953	4.520054	3.482544	.1463795
.4389435	-1.951463	1	.612431	6	.985689	2.972389	.7224681	-1.662952
-1.039081	.5755629	0	3.315897	1	.2377056	6.544748	.6657057	.1006236
-.6975756	2.815448	0	1.435942	1	.5552323	5.658008	.1660161	3.421786
1.686082	2.102182	1	5.632145	9	.0165904	11.78382	-.7632858	5.706396
.0396736	.8282562	1	6.23255	2	.8081163	13.60535	-.5196326	3.170082
.6678256	2.611139	1	3.865102	4	.9849719	9.593736	-1.774845	4.402843
-1.162821	-1.477906	1	10.11191	7	.3650637	15.78285	.7955742	-7.014614
-1.585099	-4.350726	0	.9867902	6	.3296275	9.168187	-1.398348	-9.343627
-.0959236	2.210788	1	5.292393	3	.5987279	11.85329	.4287933	4.194595
1.384397	2.10355	0	3.853545	4	.929108	5.197164	.8757297	7.403592
.1471388	1.747773	1	1.501686	4	.4366042	9.760517	-.5637339	2.024268
-1.435165	3.867829	1	1.78169	3	.0901839	3.916567	.7094152	5.001065
1.673544	-.3384358	0	5.081553	3	.6637059	12.55914	1.589269	2.643774
1.122716	1.425703	0	6.320023	7	.8788022	3.378791	-.3686086	6.181778
-.6530445	-1.189703	1	2.760108	5	.2481877	9.071424	.4192487	-1.732189
-.2852106	2.209488	0	2.773835	5	.318841	4.674564	.2891137	3.633423
-.1370679	-2.481945	0	2.844469	3	.7591696	4.938555	.4945881	-3.091406
1.22838	-1.595758	1	4.203519	4	.8097247	7.179174	-.2749469	-1.735009
1.408024	-.4823747	0	2.269261	5	.4440827	7.485914	1.47055	-1.274972
-1.228262	-.8092332	1	2.203139	3	.7021644	10.11788	1.491018	-1.314928
.2137686	5.468765	1	1.073505	4	.3937324	3.204237	-.0425592	10.07375
.9158241	2.823742	1	.2415953	4	.995324	12.09621	-2.888819	7.704154
-.4988582	-.6916641	1	7.82072	4	.1562446	3.080782	1.386317	-2.779007
.6740854	1.386473	1	7.110836	3	.1296826	18.46334	.7113041	5.551294
.1856844	.7877162	0	5.509724	9	.8617202	16.34021	2.505627	2.03975
.6255603	-.8175951	1	.2996294	2	.479882	4.52006	-.1397276	.1229583
-.655491	2.104985	0	1.63642	1	.3473346	9.13295	-.2553729	3.20381
-.2095753	1.583806	0	4.325937	6	.6849363	13.33222	2.380549	3.282499
-.7241676	2.707394	1	1.345138	5	.7930698	8.931187	.19393	2.002775
1.12234	.9646117	0	1.162334	6	.9111771	4.63834	-.0905018	3.660483
.4568345	-.0436943	0	3.116212	4	.8017238	20.65429	-2.488212	1.259673
-1.319458	-.2206944	0	4.827918	3	.3803038	6.330001	-2.39772	-1.262877
.8044527	2.494117	1	2.67788	7	.0988947	6.203273	4.424865	3.558861
.871748	1.547544	1	8.329224	6	.7211223	7.666595	-.4882134	2.797817
-.4861534	1.636407	1	3.632067	2	.4454294	3.383445	-.8271616	1.57497
.0418676	1.868771	0	12.44505	5	.7940768	7.34479	1.90612	2.516423
1.016379	2.761598	0	3.452753	2	.0740184	10.30894	-.1200794	6.122395
.1252386	-2.607121	1	10.26873	3	.5636981	5.69559	-.0307234	-5.665835
-.9045002	-.856548	1	2.962754	6	.9153993	3.838381	6.546931	-3.614392
-.5808347	-.5067753	1	.9941129	4	.632225	3.697037	-.4270892	-1.191217
-1.424742	1.867495	0	4.886915	2	.7459138	10.36842	1.303348	3.682974
1.136199	-.2670146	1	1.611158	10	.4591914	10.68925	.0685927	.3424615
.2921139	6.044115	1	4.012683	6	.4583122	9.160495	.2924128	12.60315
.3096178	4.573682	0	.6872185	1	.7923464	7.831523	-1.944017	10.19467
-.7060056	.2582141	0	4.204186	3	.6021039	13.62543	-.4294204	.0941513
.0529082	1.999712	1	5.205145	4	.7011227	11.66436	1.663635	4.414536
-.2976007	.5851249	1	4.276627	4	.4728574	9.214474	.5527881	1.986941
-.2165111	1.67642	1	4.239596	7	.8112946	15.03755	-.3707408	1.913841
1.299809	-1.102832	0	5.173461	11	.1889619	11.97281	-.2721309	-1.00664
.1418742	-1.977946	1	.5021133	10	.1273327	3.351737	-.6610157	-3.413816
1.550615	.4217203	1	3.914529	1	.2265067	8.864313	-.2468092	3.535642
.2515597	2.195888	0	2.661842	5	.3369649	3.273554	-.5080582	5.704134
.5219213	-.6697158	1	3.719934	3	.8661997	6.500362	.6255077	-1.810746
-.0704348	3.586679	0	1.57296	5	.9233942	1.378247	.243619	9.736292
.4682247	.0679848	0	.4425429	1	.740212	2.052697	1.72056	.9404933
1.135783	.1837617	0	14.04695	3	.3860562	10.06627	1.645823	1.766248
-.5123183	.9008647	1	6.177872	5	.1409311	17.52429	-1.597132	.7977809
1.230411	2.099909	0	3.372137	5	.3133231	13.66076	1.76814	6.22224
-1.137331	-.1186569	0	10.94304	7	.043108	8.66466	-1.564082	-1.180367
-.2743827	-3.023044	1	.4707755	4	.8873985	15.66046	.0305581	-4.511286
-.4264619	.3700917	0	5.034762	4	.5560183	5.20086	-.5233489	-1.339935
-.3362288	2.32424	0	3.623266	2	.2967715	5.732927	-.87529	4.48673
-.2672246	3.005612	0	6.677405	4	.5803427	5.68339	-1.123483	6.54855
.5099298	2.016128	0	1.393994	3	.1914756	10.28144	-.6839556	6.832069
.1129395	1.585453	0	1.928462	2	.8258949	7.775233	-.108283	1.930487
.4352151	-1.108486	0	1.948906	6	.4361471	20.45631	-2.507108	-.1954969
-1.323763	-1.097621	0	1.432473	1	.6615179	9.132816	-.6838915	-3.061336
.365507	-1.646708	0	16.60947	2	.7884502	14.75615	3.041814	-2.024669
-1.428461	1.442712	1	.5844811	4	.1845328	8.73277	-.8309575	.9199159
-.3527708	.8254768	0	12.99883	3	.9679592	10.97176	-1.059992	.1991424
-.0646102	2.128306	0	4.063819	11	.5703554	3.992131	-.0219509	4.801355
-.2019482	1.439492	1	8.873811	4	.4997062	7.465328	.3533232	2.425223
.8477963	4.515255	1	2.507912	4	.2072219	17.37023	-.2260758	9.0524
-1.204137	.5161641	1	3.713429	7	.3236548	12.46825	1.364738	-.4386688
.2166059	.4264574	1	2.605462	4	.9409354	9.777436	-1.341161	.6944903
-.6621976	-.9944351	0	1.622614	3	.6483981	2.070297	.6684647	-3.013178
-.606875	2.126909	0	3.854992	4	.222099	11.88915	1.142742	.919698
-.116631	2.270835	1	3.358231	5	.2992429	2.178149	-.2325939	4.673659
.1313926	1.057471	0	1.971322	3	.2786171	4.650088	.7278882	3.621145
-.3845705	-.9301366	0	6.188886	5	.399317	12.08871	-.4188843	-3.720615
-1.975356	-.6503025	0	4.454499	3	.3321863	6.146629	-1.461738	-3.884545
1.446624	4.179547	0	4.443286	2	.6024429	3.351118	1.306391	9.075009
-.1528352	3.250695	0	2.020346	2	.5479161	8.266181	1.309806	8.798887
-.5537526	.9594533	1	8.371732	3	.2066354	15.49292	-.0791484	-.7644703
-1.655572	3.538612	1	1.206784	2	.3107345	6.371706	.2597583	5.732137
2.794861	.7667243	0	7.25342	2	.8482802	8.917305	.0612773	4.157172
-1.735899	-2.409932	1	.9977514	3	.297033	18.51615	-1.19087	-5.449041
.4828624	-.2362844	1	3.106897	6	.1912511	15.89023	-.8158513	-.8677973
1.495862	.644528	0	1.540637	2	.9327303	7.019125	.8137717	2.4354
1.775612	.1992328	0	.7136818	6	.2924948	4.325558	2.283007	2.937673
1.533041	2.796301	1	4.277943	5	.348473	3.405213	.8855132	5.398287
.807706	2.384365	1	1.205722	2	.7194619	11.24037	-.2848141	5.411912
.7253602	1.513412	1	16.10034	5	.4617797	8.568947	-1.820118	3.958497
.9061058	2.157975	1	4.317973	2	.5769529	9.718245	2.31275	5.791252
-2.685881	-1.365038	0	1.433419	6	.3200993	9.429574	-2.476	-6.096222
-1.277903	2.136992	1	2.372617	3	.6706094	8.043634	-1.528278	4.665025
-.5239586	2.21568	1	2.602125	2	.9354597	13.39873	.4757862	3.030018
.8698702	-3.554145	1	6.046968	2	.5728943	6.107167	-.8058365	-5.61961
1.040118	3.208124	1	1.426577	4	.4785589	7.209516	-.1703162	7.579714
-1.568616	-.5446439	0	.6772919	6	.8740149	6.595345	-.4191819	-3.492074
.2409494	3.531382	0	4.133889	6	.0809874	9.221939	-.0148144	5.437357
-1.188984	-1.285807	1	1.425429	6	.107921	10.36636	.6397391	-4.347274
-.1022815	.8641485	1	4.255594	8	.4055866	12.18885	1.674413	3.64165
-.6783351	.3420629	0	4.16738	1	.2497973	5.61205	.2120735	-.8434277
-2.006534	2.513705	0	1.851736	4	.5264707	9.486969	.8311034	2.183445
-.3832266	.9428707	0	.2592621	5	.5354263	2.163211	-1.073527	1.607693
-1.33277	3.110282	0	2.32152	6	.6614223	17.75974	.8107585	5.414666
-.5361734	2.931948	1	7.260271	0	.9162719	8.782498	.5844812	6.103159
1.535977	-.2891209	0	8.748812	2	.1182216	8.989676	1.220463	-.4976529
1.089039	3.806597	1	3.785206	2	.5655099	23.35459	-.6060824	8.014272
-1.446115	3.79117	0	2.428142	7	.5602405	17.26644	.2601374	6.09079
-.6660534	.0267509	0	6.398185	1	.7650436	4.145507	-1.448182	.9420631
.7262409	1.922733	0	3.530733	5	.0828805	4.595767	.7984026	3.413502
-.7197877	.3060845	1	1.909506	3	.2531882	7.45126	.2983955	-1.524161
1.428664	2.490133	1	3.480555	4	.6651546	21.91237	.0691732	5.472902
-1.861207	1.459518	0	2.153108	4	.7920017	10.52678	-.5581822	1.105777
1.158127	-2.90221	0	2.741189	5	.7490845	6.975039	.790507	-4.404836
.2347558	1.635342	1	6.943238	4	.4598303	8.715376	1.017062	1.837512
.1994864	-.7960641	0	3.615583	3	.3169619	7.521308	-1.003783	-1.601504
1.444645	-2.226828	1	.3382831	2	.1548511	13.00889	.784025	-2.464889
.2568011	-.4665899	0	3.202348	8	.7479578	9.895347	1.515318	.2741079
-.4792487	-2.733142	0	3.454221	5	.2793193	17.12715	.0407218	-6.081054
.255076	5.302268	1	1.159879	5	.5228348	7.278609	-.2627533	11.2451
.5560354	.8721173	1	2.915379	4	.9890515	5.615712	.8065109	3.31542
-1.798258	-1.576441	1	4.640396	0	.4970147	15.05374	-.5550698	-4.034184
-1.27296	-1.729792	0	4.48417	3	.9707284	4.935905	.2005143	-4.896026
.175548	-.3475895	0	4.567481	1	.3341964	6.246814	-1.260898	-.4194834
-1.309553	-1.980645	1	2.012753	2	.7867582	5.972115	.0220936	-6.185608
-.7548561	4.521932	0	2.98305	5	.4705476	12.13291	.0573621	7.282672
1.189875	2.890421	1	7.940441	3	.3527141	5.887215	.034808	6.648134
.5404224	-.8243895	0	4.60353	2	.8084488	8.883635	.0145766	-.2725682
1.846101	1.025989	1	6.306891	8	.9055491	9.660559	-1.29665	3.544816
1.202226	1.513702	0	4.147464	1	.6932192	9.302782	1.118418	5.341925
1.353276	2.388519	0	1.821336	9	.4064851	4.996157	1.459966	4.924536
-.0599763	2.289666	0	1.278178	6	.9190363	9.206072	2.765937	6.026793
-.1167567	-3.160301	0	4.077124	4	.4144972	1.425764	.450162	-7.054774
.4198408	.5106197	0	8.226402	1	.6680741	7.587735	-.8538943	-.7142174
-1.188903	.3640031	1	12.49065	2	.2006899	9.971481	.7046962	-2.279867
-1.836232	1.006684	1	3.88803	4	.9021895	1.887753	-1.202191	-1.511335
.4022007	1.488866	1	9.174941	2	.1335319	5.829562	-.9628404	4.071387
1.853389	-2.180101	1	2.394833	0	.6361535	4.892536	.9677226	-4.30078
-1.182597	-1.84447	0	4.646806	3	.1522467	6.136238	-.4793033	-5.48372
.2834011	3.105714	0	1.136496	4	.4908481	4.077269	-.1293313	6.412724
.2938585	-1.622491	1	1.113308	3	.5112404	3.707211	-.0650676	-3.000711
-2.096827	2.408196	1	6.475984	7	.8890985	18.34583	1.269539	2.834367
-.052662	3.391195	0	3.103657	3	.3094838	3.621803	-1.616398	6.650616
-.1591136	1.988976	0	4.060654	2	.535535	12.3701	2.412017	2.731867
1.274471	1.318893	1	3.096646	2	.0330614	8.389123	.1044722	5.57829
1.374705	.7331741	1	3.676622	3	.3869227	5.007317	.3606455	2.814777
.672011	2.633008	1	1.674706	4	.2864081	8.007166	-.1934867	5.218099
.1598892	-2.185463	1	6.050119	4	.4664854	16.9269	.9251086	-4.210242
.2856443	2.07552	1	4.140639	4	.3545258	12.796	-.2365255	3.271745
-2.228199	4.775643	1	1.718652	3	.2931171	3.696382	.178955	10.61659
2.12187	1.849004	0	3.462746	1	.5553617	5.65471	.227162	6.975296
.0560126	-2.067565	0	1.060323	2	.7535265	9.820807	-.5832194	-4.293978
.9925109	2.069818	1	2.36495	7	.0865373	13.99418	-.4114907	4.879594
-.0382041	.4287732	0	9.59996	13	.4355701	7.391064	-.7911508	.172102
2.16461	-2.840488	0	1.364386	1	.9092454	3.772127	-.9022618	-3.197251
.7344644	-1.755463	1	4.150207	3	.9393602	9.402309	.2913203	-2.580763
-1.042256	1.347305	0	8.843019	2	.7609978	11.56153	1.127711	.9801332
.5484444	-1.979391	0	2.437735	3	.2479045	8.989741	-2.697384	-3.697944
.2151211	3.360927	0	5.666398	5	.3445472	8.353258	.1398536	6.991877
1.956997	1.585917	0	4.366289	2	.7563298	3.697667	1.02338	5.57018
1.008357	1.11965	0	3.651092	3	.2399776	12.10666	-.1012782	3.467751
-.0181415	.0476169	0	4.779963	4	.2066362	9.265795	.1127228	-.9059544
-2.268521	1.338399	0	2.652859	6	.8075939	15.4383	-1.082874	-.1797113
-.2474441	.6389662	1	3.675406	6	.1936182	9.817682	7.970589	.6655808
-1.593462	2.574868	0	3.098357	2	.5658099	11.64359	.113557	2.242278
-.5144553	1.141287	1	8.894432	5	.606744	13.40816	1.299229	1.635032
-1.846865	3.933357	0	4.007704	2	.4935938	.853542	2.73532	5.350958
-.0200764	-3.995671	0	.3732087	4	.7300881	11.58529	-.6918741	-7.663567
-.6250777	.6856656	0	.9310173	4	.7379645	15.92704	.1741609	-.488158
2.109213	2.974049	1	.3493105	5	.5824198	3.864944	2.409592	8.00831
-.6289856	2.826348	0	6.091986	4	.2517381	16.49876	-.8120574	6.61987
-.6818407	-1.098343	1	4.571158	0	.8047374	8.383585	.4917488	-2.399427
-.2914008	.1872842	1	12.29299	8	.6714984	2.701793	.0348256	.5923873
.6255222	-1.741383	0	4.36906	1	.9612113	7.280153	.3887584	-2.894557
-.067036	2.02954	1	2.223566	4	.8393356	5.449423	1.388222	3.687235
1.061687	4.974237	1	1.775472	7	.2058346	16.03815	-.5320276	10.27468
-1.142176	-.2337314	0	9.093342	3	.6804887	12.75012	-1.432761	-1.881152
-2.028768	2.78826	1	6.247985	5	.4709633	21.19695	-2.454243	2.779086
-1.212474	-1.095623	1	7.126239	3	.6915244	7.416892	-1.836931	-3.559507
-.994473	-2.205239	0	1.200471	1	.3218063	11.88304	.307404	-6.415461
.5697532	-1.355839	1	2.082588	4	.041747	8.313874	1.016709	-3.263426
.2671605	-1.826132	0	1.483561	7	.241919	3.390061	-.4620125	-3.899887
2.251146	.0206877	0	4.200072	7	.9160578	11.75392	.2038772	.0113154
1.059948	3.601802	0	.8929614	6	.9926783	8.412714	-1.131402	8.353454
.8558082	1.491678	0	2.002898	4	.9548824	9.751576	-.0145516	5.126286
-.362899	2.514007	1	7.503487	5	.9654755	5.60751	1.71096	8.063107
-.4349391	.9445584	0	4.456808	3	.8457786	2.569043	1.397881	1.132781
-.8722016	2.294769	0	3.376143	4	.1706414	5.200891	2.445568	4.382899
-1.651658	3.633391	1	2.56716	4	.8220086	1.384215	-4.320873	7.789827
-.4181904	.3176057	0	.3263828	3	.3272909	8.733398	.2174342	1.873946
.1424432	2.160302	1	4.870209	3	.7582315	6.675708	-.3609971	3.41038
-1.609181	-5.26975	0	3.754267	4	.1248417	10.05624	3.096892	-12.26483
-.0945394	.8735964	0	2.28856	4	.8288413	3.893826	-.3299747	2.808508
-.4313065	4.379077	0	2.063364	2	.3468761	11.6037	.0945833	8.204548
-.3098606	2.466928	1	1.198626	3	.0809314	10.56704	.1415167	4.483764
-2.015078	.3467869	1	3.281375	2	.5888513	2.315872	.1931361	-1.799672
-.6534601	-.2544291	1	3.333892	2	.6169727	6.785081	.5958365	-1.230592
-.1074294	.8177294	0	2.59696	5	.7813526	4.429285	1.452031	1.918418
1.630128	-1.484807	0	1.483826	3	.755258	10.07557	1.732216	-.7855515
.9580944	-1.798867	0	6.278041	6	.6291271	29.29252	-1.783042	-4.28029
-.4813481	-2.981874	0	2.122247	1	.5273769	12.48453	1.692932	-7.213698
-.5571524	-.7754335	0	2.102467	3	.0645308	9.729632	.1355673	-1.812631
-.7358866	-.1844952	0	.3034999	3	.2018742	9.71095	.1144684	-1.215831
1.010093	2.644546	1	10.16205	3	.3700507	18.2214	-4.46063	6.723217
2.612439	-.4785245	1	5.946876	2	.967114	8.216997	1.105878	1.384749
.1778557	.5181575	0	3.075264	3	.5889282	7.228638	.3778342	1.160528
.3367403	-.4473225	0	2.802354	6	.2170015	10.95224	1.083139	-1.46174
.3923099	4.103908	0	12.28953	3	.1732573	5.285567	-1.138799	8.637455
.2792211	-4.237056	0	6.281555	6	.7619807	11.72632	-.4048761	-8.065606
-.3805102	1.219285	0	1.796729	3	.2905592	8.024433	2.719195	4.241116
.6530472	1.784376	0	6.787304	8	.7962059	22.45359	2.461661	5.025805
-.6116056	-2.115042	0	5.916351	5	.3686027	8.571618	.1319324	-4.699123
-.1112476	1.263426	0	1.535376	1	.7467481	2.60119	.0903789	4.052297
-1.570608	1.074077	1	9.373686	2	.2624792	13.05762	.8563491	1.437185
.9243056	.8822885	1	3.736654	5	.5274308	4.174085	.2092931	3.68165
.2369389	2.959945	0	3.718047	3	.0680974	17.88478	-2.170297	5.969795
.5654903	-1.742547	0	8.062371	1	.4841029	4.201057	-.6409919	-2.581103
-1.696874	.7735185	0	3.103856	1	.0263075	6.016327	-2.447895	-1.91454
.8299658	-.3596311	0	1.935932	3	.3115192	10.24655	-.70228	-1.608291
.701256	-3.136642	1	3.954153	6	.2183022	2.161894	.2264729	-5.409603
-.3538171	.2778336	0	6.889492	6	.1181492	2.226951	.8654204	-.217441
.241815	3.638432	1	2.966237	6	.8014563	14.62264	.214329	6.454909
.2797004	1.914524	0	3.8544	2	.1703478	7.827061	.4138665	5.217838
-.04498	5.883139	1	.7100502	7	.9623495	9.217317	1.888284	11.38407
-.4064309	1.601048	0	5.720373	3	.4717565	6.72717	1.361418	2.149336
-.0289903	2.351412	0	4.499294	2	.7226164	8.786129	1.338272	4.050432
1.350463	.4320322	0	2.320809	5	.2758479	2.492104	-.6168455	3.316368
-.7762255	-2.625437	0	.7982334	3	.4864301	9.888436	-1.636708	-6.570758
.5828066	2.028498	1	1.097218	5	.0309314	12.36577	-.6164366	5.090476
1.62613	.6450646	0	1.010881	4	.1312844	7.470429	-1.103663	2.776773
-.029369	3.0263	1	1.641595	4	.7481949	4.734878	1.941708	3.634242
.0227822	3.915139	0	10.66677	6	.2226066	5.087844	-.5298641	7.103407
.1956002	-1.495307	0	2.731676	4	.1374528	16.01287	-1.078051	-1.60254
-.3681657	-.2115811	1	2.200701	1	.2484414	5.335186	.0352067	-.6606128
.5442269	.4523338	0	4.57105	2	.7257216	8.615623	-.0792221	1.971036
-1.112118	-.5841063	1	3.184532	3	.032674	2.934361	2.073173	-2.793062
