s77,s78,s79,s80,s81,s82,s83,b77,b78,b79,b80,b81,b82,b83,is77,is78,is79,is80,is81,is82,is83,ia77,ia78,ia79,ia80,ia81,ia82,ia83,r77,r78,r79,r80,r81,r82,r83,rating83,rating83c,dia
1550217,1882628,2550824,2558637,2773200,2962700,3033700,1,1,1.05,1,1.1,1.05,.94999999,26.563829,26.842957,22.371321,23.793255,25.775278,24.899586,26.551737,23.154839,24.652555,25.866137,23.347813,24.629065,23.381006,23.595407,0,0,0,0,0,0,0,0,AAA,.21440125
748339,906323,1018557,983930,965665,929506,1130868,.89999998,.89999998,.94999999,1.1,1,.94999999,1,10.324866,13.578161,16.424608,11.580702,5.4457808,3.6344037,9.0138721,12.891079,17.766581,21.785769,14.190355,6.2991033,4.0516682,11.7719,0,0,0,0,0,0,0,0,AAA,7.720232
1533400,1690600,1846600,2150900,2321300,2367100,2381100,.75,.80000001,.75,.69999999,.69999999,.69999999,.69999999,17.647058,16.644978,15.818261,16.211819,16.826778,17.70521,18.945024,32.252682,29.875784,27.824347,29.503342,30.537096,32.303066,30.745638,1,1,1,1,1,0,0,0,AAA,-1.5574284
4594500,5018700,6192600,6573600,6947700,6325000,6299000,1.15,1.2,1.1,1.05,1,1,1,13.270214,13.531393,9.7600365,4.829926,11.426803,9.217391,10.573107,14.01577,13.485712,10.91152,5.4775376,13.080801,9.5935497,10.362533,2,2,2,2,2,2,2,2,AA_A,.76898289
1467014,1835252,2224255,2264514,2353917,2352902,2726143,1.05,1.05,1,1.05,1.05,1,1.1,14.691339,13.504031,9.1692724,4.2707176,3.9997163,2.9925599,5.5952311,21.366829,20.485859,13.581937,6.3051968,5.8772893,4.4064951,9.2979116,4,4,4,4,4,4,4,4,BA_B_C,4.8914165
1123865,1253543,1590484,1725304,1884664,1828027,1875937,1.15,1.1,1.05,1.2,1.1,1.05,1,9.4167004,11.045493,12.636971,10.2051,10.222936,7.94206,15.086861,10.378274,12.884123,16.862865,14.16816,14.286233,10.634847,18.727617,3,3,3,3,3,3,3,3,BAA,8.0927706
1134325,1328551,1508025,1767636,1903048,1835625,1993242,1.05,1.05,1.1,1.1,1.15,1.1,1.05,14.775924,16.394705,15.094644,14.838745,15.23083,12.219598,14.688683,15.990303,18.036394,16.216106,15.709853,14.936987,11.137422,13.33825,2,2,2,2,2,2,2,2,AA_A,2.2008286
328981,386812,474483,571245,644416,629994,549560,.80000001,.75,.75,.85000002,.85000002,.85000002,1.05,6.0647879,6.017652,6.7568278,7.0764732,9.446538,9.0792933,6.0764976,10.26871,10.129772,11.081347,12.784678,18.011793,17.982018,9.7879391,0,5,5,5,5,5,5,5,BA_B_C,-8.1940784
2284800,2469200,2598100,2659600,2703300,2522700,2478400,1.05,1.1,1.05,1.15,1.05,1.05,.94999999,8.4515057,6.9293699,4.8343019,6.5949769,6.2331223,4.3921194,5.0758553,13.208838,11.920022,8.4727468,11.4693,10.710653,7.7929387,8.8572836,5,5,5,5,5,5,5.7278018,5,BA_B_C,1.0643449
50032,93554,152943,267637,364787,435826,516503,2.27,2.27,2.27,1.55,1.55,1.6,1.65,17.60873,19.937149,19.956453,19.416597,16.473997,15.288211,9.58039,20.795959,23.00671,21.394175,22.29401,19.461067,17.712877,11.126276,0,6,6,5,5,0,0,0,AAA,-6.5866013
292290,333647,365971,336167,328821,281140,265120,.80000001,.80000001,.75,.89999998,1.05,.94999999,.94999999,12.978549,12.516222,11.200068,10.149122,8.1558046,4.914989,3.367909,18.969683,19.310089,17.725586,14.445272,11.41308,6.3655124,4.102571,5,5,5,0,0,0,0,0,AAA,-2.2629414
834895,921369,938418,1043126,1056118,952400,976741,1,1,1,.94999999,.89999998,.80000001,.85000002,11.351966,10.505563,10.092517,8.2201958,9.9331703,5.9987402,6.4661975,15.090605,14.012482,11.936901,10.631094,13.542234,7.5527272,7.2385402,3,3,3,3,3,3,3,3,BAA,-.31418705
3164321,3750412,4234458,3706658,4062291,3044214,2992703,.72000003,.60000002,.51999998,.44999999,.44999999,1.01,1.5700001,4.070889,6.7613106,5.814888,4.4969888,3.95981,-6.4032621,1.2504081,4.5164557,8.1013956,7.7965794,4.8361988,4.6708479,-7.3822174,1.4125764,4.0754967,4.0814028,4.0840516,4.076057,4.0821929,4.0709858,4.8380418,4,BA_B_C,8.7947941
502889,582624,637654,877226,1034024,810600,999737,.85000002,.80000001,.85000002,.89999998,1.05,1.05,1.05,8.3923092,13.211437,16.243448,11.075709,12.885097,-3.4235134,4.8650794,9.9760313,15.727135,8.1926785,7.6559453,9.4458876,-2.1932156,3.8271902,6,6,5.6060386,5.6060386,5.6060386,5.6044016,5.8336043,5,BA_B_C,6.0204058
430379,536568,753621,866761,859030,790897,755168,.80000001,.80000001,.85000002,.94999999,.89999998,.89999998,1,10.901554,11.044267,10.704054,10.419481,6.7735701,4.5911164,3.9971237,12.395085,13.722898,13.486926,13.273798,8.6990128,5.390676,4.2954397,4,4,4,4,4,4,4,4,BA_B_C,-1.0952363
2031925,2399262,2746000,3029300,3280900,3496000,3750000,1.2,1.2,1.15,1.05,1.05,1,1,15.916729,16.116539,16.179897,16.858681,17.348898,18.8873,21.061333,13.210019,13.974963,14.571513,15.182686,15.501934,17.463634,20.065548,2,2,2,2,2,2,2,2,AA_A,2.6019135
510560,651973,747745,753980,783290,719407,820519,.89999998,.89999998,.85000002,.80000001,.85000002,.75,.69999999,14.372454,14.362251,14.737645,16.167803,18.114491,12.669462,11.081523,17.165997,19.286921,20.298548,20.567268,21.005095,12.831559,12.375683,3,3,3,3,3,3,3,3,BAA,-.45587635
1899510,2049542,2234726,225696,2437091,2271305,2667682,1.2,1.2,1.1,.94999999,.85000002,.89999998,.85000002,11.622892,9.678504,9.6305323,88.732635,10.052025,1.0635296,12.076627,24.174107,21.290583,20.752352,18.637699,21.603443,1.9146477,21.968315,2,2,2,2,2,2,2,2,AA_A,20.053667
99082,111419,122013,148174,170805,174799,190421,.75999999,.75999999,.75999999,.75999999,.75999999,.52999997,1.1,12.498738,12.24836,12.142968,13.366718,15.142414,13.228337,16.916727,18.29571,18.231733,16.661419,18.751419,21.440592,17.005833,21.194855,0,0,0,0,0,0,0,0,AAA,4.1890221
2505800,2794000,3091800,3158400,3353600,3295500,3681600,1.1,1.05,1,1.1,1.1,1,1,9.6575947,10.021475,13.875412,12.5,11.551765,7.4070702,11.05226,11.483344,12.047156,16.268488,13.97077,13.111314,7.4646034,11.256812,2,2,2,2,2,2,2,2,AA_A,3.7922087
148449,174147,189794,183017,192880,188996,201512,.28999999,.28999999,.28999999,.28999999,.28999999,.28999999,.54000002,4.8144479,6.6392188,5.5918522,6.5267162,7.42275,6.1313467,8.492794,10.870954,14.636184,11.85095,13.351888,14.87326,11.677685,15.702934,0,0,0,0,0,0,0,0,AAA,4.0252495
174866,196303,276954,341114,319099,234902,212092,.69999999,2.1500001,.94999999,1.25,1.4,1.4,1.35,1.6978714,9.1053114,13.158142,13.567019,14.284282,2.455492,4.2481565,2.2468934,12.349637,19.649733,20.71826,20.882469,3.2494493,4.9243312,0,0,0,0,0,0,0,0,AAA,1.6748819
1116641,1213907,1434906,1655992,2006195,1588114,1679419,.89999998,.89999998,.94999999,1.05,1.15,1.35,1.25,3.3410022,3.3631902,4.1454978,8.6446066,8.5645218,4.4006286,2.2515526,6.9659405,7.0072999,9.26968,19.298819,19.991575,6.1110868,3.1322584,3,3,3,3,3,3,3,3,BAA,-2.9788284
661844,780193,957807,1111258,1243859,1404206,1545750,.80000001,.80000001,.75,.85000002,.85000002,.85000002,.85000002,13.682378,13.012037,12.25487,11.985156,12.533334,11.797842,13.187514,17.937708,17.825174,17.516933,17.257685,18.006184,17.10173,16.929087,0,0,0,0,0,0,0,0,AAA,-.17264366
6234253,6887621,9255382,10626000,11873000,10618000,10951000,1.15,1.15,1.15,1.25,1.25,1.25,1.25,18.915594,18.094536,17.906685,16.79842,11.328224,8.9376526,8.8119802,15.364316,14.179843,16.166569,15.470619,10.763444,8.0376043,8.0544195,3,3,3,3,3,3,3,3,BAA,.016815186
1697785,1946477,2345424,2485226,2718365,2468969,2628953,1,1,1.1,1.15,1.3,1.15,1.1,8.1489706,10.736166,12.398313,7.5895309,9.1163626,7.1107416,7.4800501,9.3636532,13.088893,16.511297,9.9814358,12.408519,8.7721615,9.0405226,3,3,3,3,3,3,3,3,BAA,.26836109
1472500,1560075,1778101,1852853,2001345,1823136,1934577,.89999998,.89999998,.94999999,1.2,1.2,1.15,1.1,9.5117826,7.4935498,7.5719547,3.9053288,8.0796165,4.7223029,6.546082,10.975733,8.3919334,9.2149401,4.6680017,9.9936714,5.2623825,6.9223728,0,0,0,0,0,0,4,4,BA_B_C,1.6599903
7036097,7869695,9176500,9994000,10168000,9061000,9001000,1.15,1.15,1.05,1.05,1.05,1,1,10.133459,9.860611,10.743748,12.507505,11.378836,7.7033439,4.8550162,9.6050234,9.8649931,11.200099,12.941298,11.100451,6.5749812,4.2447791,3,3,3,3,3,3,3,3,BAA,-2.3302021
2191432,2450429,2752776,3158299,3496701,3599901,3917001,1.1,1.15,1.15,1.2,1.05,1,1,15.836996,15.685743,16.109119,16.482512,16.81465,18.011606,18.542248,23.230831,22.659025,23.072048,23.561464,23.626995,23.525135,24.151224,1,1,1,1,1,1,1,1,AA_A,.6260891
891046,983980,1144922,1220884,1337779,1396531,1500504,.80000001,.80000001,.80000001,.89999998,.80000001,.75,.85000002,6.6880946,.51149416,7.6949348,7.2309899,8.1160641,8.4250908,8.6487608,14.930189,1.1884269,17.480495,16.391684,18.360779,18.929295,20.107218,3,3,3,3,3,3,3,3,BAA,1.1779232
155629,200907,281201,299072,330604,408515,464802,1.15,.94999999,1,1,1.15,1.05,1.05,20.683805,16.558905,17.678102,17.789026,20.69969,18.698458,19.515837,22.571892,16.071962,20.471018,16.709801,17.713505,18.371204,18.049694,0,0,0,0,0,0,4,4,BA_B_C,-.32151031
234640,263905,281846,282742,323646,242505,234107,1,1,.80000001,.85000002,.85000002,.80000001,.75,8.8548412,11.881169,9.8284168,10.021857,11.491877,3.1145749,3.5411158,11.830455,16.911716,15.208547,15.53364,18.284565,4.0400314,4.2962718,6,6,6,6,6,6,6,6,BA_B_C,.25624037
5370000,6184898,7137199,6743000,7298000,5260296,4898200,1.1,1.15,1.15,1.3,1.3,1.25,1.25,-16.545624,6.410728,6.6510825,2.6116121,5.1205673,1.2679895,.12249398,-18.136732,8.0373201,9.1891289,3.3821375,7.0748229,1.446448,.13460761,4,4,4,4,4,4,4,4,BA_B_C,-1.3118403
545830,699755,855725,914868,837078,618428,490166,.85000002,.85000002,.89999998,.94999999,1,1,1,11.994577,13.960172,14.005317,14.744094,10.642497,4.4467587,-1.8401929,21.137766,26.145874,28.422932,29.755735,18.102678,5.7744842,-1.939518,0,0,0,0,0,0,0,0,AAA,-7.7140021
450727,585660,726430,766440,876530,855740,1059450,1.25,1.2,1.25,1.2,1.15,1.05,1.05,22.925852,21.964792,21.831697,22.477428,21.746431,20.48052,20.497334,22.983473,19.492292,21.016586,19.976646,20.277805,14.340196,17.080172,3,3,3,3,3,3,3,3,BAA,2.7399759
293011,344794,398125,401654,455520,446983,497821,.89999998,.89999998,.85000002,.85000002,.89999998,.80000001,.69999999,15.990185,18.769758,18.869953,19.710995,17.42602,16.039536,17.138891,20.549742,23.878609,23.878254,23.042131,20.792307,18.17297,18.968189,0,0,0,0,0,0,0,0,AAA,.79521942
3604048,4154949,4933101,5469820,5446718,4608222,3967933,1.15,1.1,1.05,.89999998,.89999998,.80000001,1,13.903311,12.891711,12.5891,9.5638428,11.088237,6.1554761,5.2350178,14.88452,13.781758,14.859986,10.055415,10.625586,4.7788668,3.5326829,3,3,3,3,3,3,3,3,BAA,-1.2461839
474040,526498,590018,543297,624208,531452,532653,.69999999,.69999999,.69999999,.75,1,.89999998,.89999998,10.772509,10.564143,9.9878311,8.1141624,6.3156834,4.8277173,.5994522,18.060734,18.154461,17.468763,12.060098,9.824728,6.9830546,.84073883,0,0,0,0,0,0,0,0,AAA,-6.1423159
470745,488067,561941,642223,653679,451278,324110,1.15,1.15,1.1,1.2,1.15,1.15,1,12.599815,10.758564,5.7737379,4.6012053,11.690753,-12.698824,-3.8662801,14.460484,11.696999,6.4022369,5.7014084,14.96653,-12.54386,-3.0165961,0,0,0,0,0,0,0,0,AAA,9.5272646
5848898,7219199,7613199,8597796,9154496,6469000,5424000,1,1,1,1,1,.94999999,.94999999,15.026762,14.893619,11.357906,11.280775,11.225053,-2.303308,-5.5678468,20.225069,21.371084,16.003195,15.904663,14.105853,-2.069171,-4.3340988,2.8489654,2.8446603,2.8413203,2.8370035,2.8395894,3,3,3,BAA,-2.2649279
1199303,1346449,1573475,1802899,1747099,1710400,1685600,1.1,1.1,1.1,1.2,1.15,1.05,.94999999,10.237696,9.9461622,7.3090453,7.1052232,7.9846649,9.1557531,9.4447079,17.595116,17.034006,11.923354,13.111566,13.059352,15.625624,15.636971,3,3,3,3,3,3,3,3,BAA,.011347771
1809174,2177481,2614109,3066840,3429261,3502326,3475709,1,1,1.05,1,.94999999,.89999998,.85000002,16.155548,15.602938,15.378356,15.170599,15.466656,15.842786,15.939798,25.430532,26.109928,23.681377,24.11393,24.09033,23.91872,22.222708,2,2,2,2,2,2,2,2,AA_A,-1.6960125
1400026,1655979,2010114,2057336,2172771,1989562,2057957,1.2,1.15,1.05,1.1,.94999999,.89999998,.89999998,8.9706192,7.9339776,7.3446579,6.8897352,6.675899,4.2568665,5.6871452,13.443983,13.202665,12.715129,12.218385,11.436726,7.0572324,8.9012718,4,4,4,4,4.3189869,4.3780451,4.6125531,4,BA_B_C,1.8440394
649903,731575,842630,926026,1045687,961573,909318,1.3,1.3,1.25,1.35,1.3,1.2,1.25,11.521566,12.980077,14.546242,16.160669,17.783333,13.503707,10.304866,13.292752,15.22135,17.353884,19.022898,20.826435,14.503068,10.221749,5,5,5,0,0,0,0,0,AAA,-4.2813187
844446,1004196,1191193,1374384,1503890,1671445,1842544,1.25,1.25,1.25,1.2,1,1,1,14.992314,14.380559,14.417899,14.675229,15.394278,16.622503,17.872952,13.130413,12.783664,13.303995,14.277826,14.553765,15.498109,15.482429,2.0343153,2.0286839,2.0257933,2.0155058,2.0107524,2,2,2,AA_A,-.015680313
287765,363984,431495,433897,463261,439713,442137,.64999998,.64999998,.69999999,.85000002,.85000002,.85000002,.89999998,11.529199,11.353521,12.106745,11.151725,5.0811529,2.9093976,6.8510437,20.239134,19.947578,21.38302,19.375803,8.8978186,4.641367,11.398521,0,0,0,0,0,0,0,0,AAA,6.7571545
781207,876195,1348971,1735377,2048771,2349125,2154117,1.2,1.2,1.25,1.15,1.25,1.35,1.25,4.5777879,4.9743495,3.6004479,4.0253501,4.2629461,4.072793,3.7969618,10.656297,11.696307,7.7567673,10.734702,11.096838,10.710611,9.521409,0,0,0,0,0,0,0,0,AAA,-1.1892023
1106274,1244865,1414016,1321966,1433966,1426596,1417705,.44999999,.44999999,.5,.64999998,.75,.75,.69999999,4.0723186,3.111984,4.1966286,4.5257592,3.5736551,4.0375834,4.6290307,17.442495,14.064667,18.556877,16.812841,12.055803,11.782539,12.803599,3,3,3,3,3,3,3,3,BAA,1.02106
347458,419884,507388,611736,728643,747215,834154,.44,.44,.44,.44,.44,.44,.85000002,4.4203906,4.3111906,3.967181,4.4873934,4.9352016,5.2442737,5.5824223,17.974886,15.011693,15.294314,15.330787,18.838272,18.447329,18.813177,0,0,0,0,0,0,0,0,AAA,.36584854
550546,604781,644608,620475,601320,536650,584879,1.05,1.05,1.1,1.2,1.05,.94999999,.85000002,-.99828172,4.9913936,.045453981,2.9662757,5.4352093,5.217926,6.7957644,-1.682916,8.9369879,.083649755,5.6358857,9.8088236,8.3416243,10.937655,5.1340141,5.1067638,5.0737309,5,5,5,5,5,BA_B_C,2.5960312
1539151,1651451,1833075,1915958,2031334,1814313,1926136,1.05,1,.89999998,.89999998,.85000002,.75,.80000001,5.250947,5.2684579,6.1289363,3.3761177,-.51296341,4.0083494,2.7446141,9.0391254,9.1091928,10.795924,6.0433388,-.91196316,6.8057184,4.5415144,5,5,5,5,5,5,5,5,BA_B_C,-2.264204
97740,106115,121819,138521,170389,178497,236930,.55000001,.55000001,.55000001,.55000001,.33000001,.63999999,.46000001,14.142623,13.70777,13.275433,12.912844,12.984993,11.600195,12.030558,23.33823,19.60483,22.371935,20.797386,22.344873,16.537018,14.768147,0,0,0,0,0,0,0,0,AAA,-1.7688704
1725454,1910600,2218400,2600299,2885701,2946101,3274301,1.05,1.1,1.1,1,.94999999,.89999998,.85000002,14.021179,14.833037,13.568338,12.225517,12.354017,11.323441,10.88782,14.650483,15.521963,14.299287,13.670184,14.769237,12.524398,12.276589,2,2,2,2,2,2,2,2,AA_A,-.24780846
1821825,2322149,2569499,2707200,2899701,2666501,2366601,1,1,1.1,1.25,1.25,1.2,1.15,12.026183,11.183133,10.912633,9.035202,7.6357875,.11250699,5.949461,15.945933,17.042042,17.134129,13.104093,10.095058,.13401832,6.7458797,4,4,4,4,4,4,4,4,BA_B_C,6.6118612
267302,286814,328420,379188,411051,426639,655847,.94999999,.94999999,1,1.05,1.05,1.15,1.15,8.2902489,6.2374921,10.28835,10.9927,10.119912,8.9600344,2.5022604,11.585111,8.6833696,14.925195,16.402235,12.480236,10.031675,1.6949153,0,0,0,0,0,0,0,0,AAA,-8.3367596
1000622,1139196,1224159,1409911,1550529,1449664,1493412,1.15,1.15,1.05,1.05,1.1,1,1.05,13.124537,12.079133,11.580358,12.299145,12.661614,8.1116724,8.6019802,14.827314,14.517347,13.587143,15.070862,15.54878,8.7559328,8.6308298,3,3,3,3,3,3,3,3,BAA,-.125103
221391,242842,278354,312658,344786,333249,286214,1.3,1.2,1.25,1.1,.75,.64999998,.80000001,7.260006,7.0523219,7.1577921,9.4128408,8.9849939,7.2771411,10.841538,6.7420583,6.7188978,7.2605624,10.192031,10.754767,10.130289,13.234441,6,6,6,6,6,6,6,6,BA_B_C,3.1041517
2292214,2912765,3307483,3482182,3366744,3498792,3498161,1.1,1.05,1,1,1.1,.94999999,.94999999,10.74302,9.1879711,7.8323307,7.2689195,10.367584,7.7242947,8.6091518,11.498912,11.900604,10.639719,9.6709356,12.744349,9.7722626,10.820628,3.0061455,3.0035493,3.0027671,3.0025303,3,3,3,3,BAA,1.0483656
