date,tmax_om,tmin_om,tavg_om,precip_om_mm,et0_mm,wind_max_kmh,solar_mj_m2,water_balance_mm,cumulative_water_mm
2025-01-23,-1.6,-8.7,-3.4,0.4,1.06,17.7,0.0,-0.66,18.84
2025-01-24,-7.0,-11.9,-7.9,1.9,0.73,15.3,7.4,1.17,20.009999999999998
2025-01-25,-3.1,-8.2,-5.2,0.0,0.0,18.8,4.8,0.0,20.009999999999998
2025-01-26,-1.8,-5.8,-3.1,0.0,0.62,17.9,2.2,-0.62,19.389999999999997
2025-01-27,-1.3,-10.2,-6.9,0.0,0.77,18.9,0.7,-0.77,18.619999999999997
2025-01-28,2.1,-4.7,-2.2,3.7,1.12,18.8,0.0,2.58,21.199999999999996
2025-01-29,-2.1,-10.0,-5.1,5.4,1.37,19.0,0.0,4.03,25.229999999999997
2025-01-30,1.1,-4.9,-4.1,0.0,0.1,17.6,1.1,-0.1,25.129999999999995
2025-01-31,-1.8,-8.1,-4.9,0.0,0.23,15.7,1.8,-0.23,24.899999999999995
2025-02-01,4.2,1.2,2.5,0.0,0.03,18.4,0.0,-0.03,24.869999999999994
2025-02-02,2.3,-5.5,-3.0,0.0,0.57,18.1,2.3,-0.57,24.299999999999994
2025-02-03,-2.2,-8.4,-6.1,0.0,0.95,18.7,1.0,-0.95,23.349999999999994
2025-02-04,1.1,-2.5,-0.3,2.6,1.25,15.8,0.0,1.35,24.699999999999996
2025-02-05,-3.7,-8.7,-6.4,0.2,0.74,16.0,0.0,-0.54,24.159999999999997
2025-02-06,-0.3,-4.0,-2.0,0.0,0.65,19.5,0.7,-0.65,23.509999999999998
2025-02-07,-7.5,-9.4,-8.4,0.0,0.92,18.7,7.7,-0.92,22.589999999999996
2025-02-08,-2.0,-9.1,-6.4,0.0,0.46,19.5,3.9,-0.46,22.129999999999995
2025-02-09,4.1,-3.7,-1.7,0.0,1.96,18.8,0.0,-1.96,20.169999999999995
2025-02-10,0.9,-3.1,0.0,2.6,0.14,18.0,4.0,2.46,22.629999999999995
2025-02-11,2.3,-2.4,-1.6,0.0,1.07,18.3,0.0,-1.07,21.559999999999995
2025-02-12,-0.3,-6.3,-2.3,0.0,2.02,19.4,6.1,-2.02,19.539999999999996
2025-02-13,-0.5,-3.1,-2.8,0.0,1.05,17.9,1.6,-1.05,18.489999999999995
2025-02-14,-4.1,-9.2,-6.2,0.0,0.99,18.2,2.9,-0.99,17.499999999999996
2025-02-15,-2.1,-8.9,-3.8,0.0,0.94,15.8,7.3,-0.94,16.559999999999995
2025-02-16,0.2,-5.7,-2.9,0.0,1.06,17.4,0.0,-1.06,15.499999999999995
2025-02-17,3.6,-2.2,1.8,0.0,1.88,18.6,0.0,-1.88,13.619999999999994
2025-02-18,3.2,-1.9,-0.2,0.0,0.12,16.4,2.1,-0.12,13.499999999999995
2025-02-19,-3.5,-10.4,-6.4,0.0,2.03,16.0,7.2,-2.03,11.469999999999995
2025-02-20,2.7,-3.7,0.0,0.5,0.59,16.6,0.0,-0.08999999999999997,11.379999999999995
2025-02-21,-0.3,-7.8,-2.0,0.0,1.21,16.2,0.0,-1.21,10.169999999999995
2025-02-22,-0.6,-6.4,-2.7,0.0,1.16,16.1,3.3,-1.16,9.009999999999994
2025-02-23,5.4,-5.3,1.3,3.4,1.71,17.1,6.5,1.69,10.699999999999994
2025-02-24,6.5,-2.7,2.7,0.0,0.66,19.5,8.6,-0.66,10.039999999999994
2025-02-25,4.1,0.7,2.5,0.0,1.73,17.5,3.8,-1.73,8.309999999999993
2025-02-26,0.5,-4.4,-2.6,0.0,2.55,15.9,4.1,-2.55,5.759999999999994
2025-02-27,3.3,-3.2,-0.9,0.0,0.89,15.4,9.0,-0.89,4.869999999999994
2025-02-28,1.7,-3.2,1.2,0.0,1.71,18.5,0.1,-1.71,3.159999999999994
2025-03-01,7.1,0.2,3.3,3.8,1.33,16.9,4.8,2.4699999999999998,5.629999999999994
2025-03-02,1.1,-3.9,-0.9,0.5,1.91,19.1,6.7,-1.41,4.2199999999999935
2025-03-03,4.0,-4.6,0.1,1.7,1.75,18.3,7.7,-0.050000000000000044,4.169999999999994
2025-03-04,-0.6,-3.2,-2.5,0.0,1.46,19.0,5.0,-1.46,2.7099999999999937
2025-03-05,-2.3,-4.2,-2.6,0.0,2.06,16.4,6.8,-2.06,0.6499999999999937
2025-03-06,4.2,0.3,3.6,2.7,2.76,18.5,0.0,-0.05999999999999961,0.5899999999999941
2025-03-07,8.5,2.5,5.4,0.0,1.81,16.3,5.2,-1.81,-1.220000000000006
2025-03-08,4.7,-1.4,1.3,0.0,2.31,19.7,8.7,-2.31,-3.530000000000006
2025-03-09,6.4,-1.3,4.7,0.0,1.34,18.2,4.6,-1.34,-4.870000000000006
2025-03-10,6.9,-0.4,3.0,0.0,1.55,16.6,7.9,-1.55,-6.420000000000006
2025-03-11,0.6,-3.9,0.1,2.0,2.31,16.3,9.3,-0.31000000000000005,-6.730000000000006
2025-03-12,6.2,-1.2,3.3,0.0,2.86,16.0,7.1,-2.86,-9.590000000000005
2025-03-13,8.2,3.6,7.1,0.0,2.33,18.5,8.9,-2.33,-11.920000000000005
2025-03-14,4.5,2.2,2.5,0.0,2.04,16.1,5.7,-2.04,-13.960000000000004
2025-03-15,10.6,5.5,7.5,0.0,2.24,18.0,8.1,-2.24,-16.200000000000003
2025-03-16,-3.2,-8.7,-4.9,0.0,1.66,16.3,10.8,-1.66,-17.860000000000003
2025-03-17,8.1,3.5,5.6,0.0,2.63,18.3,9.6,-2.63,-20.490000000000002
2025-03-18,8.1,2.7,3.6,6.9,2.81,19.1,7.6,4.09,-16.400000000000002
2025-03-19,4.8,1.1,2.7,0.0,2.19,18.9,10.3,-2.19,-18.590000000000003
2025-03-20,8.3,1.1,4.0,0.0,2.22,18.8,11.9,-2.22,-20.810000000000002
2025-03-21,-0.7,-6.0,-2.0,0.0,2.63,15.9,3.9,-2.63,-23.44
2025-03-22,7.3,1.5,3.5,4.0,2.32,15.4,13.7,1.6800000000000002,-21.76
2025-03-23,10.6,3.0,5.4,0.2,2.55,18.5,9.4,-2.3499999999999996,-24.11
2025-03-24,8.3,7.3,9.0,1.2,3.68,16.8,11.9,-2.4800000000000004,-26.59
2025-03-25,5.0,1.1,3.2,0.0,2.55,17.2,14.4,-2.55,-29.14
2025-03-26,6.4,1.1,2.5,0.0,2.54,15.2,6.9,-2.54,-31.68
2025-03-27,6.3,-0.2,3.6,4.6,2.43,16.3,9.1,2.1699999999999995,-29.51
2025-03-28,11.6,7.1,8.1,0.0,3.17,15.2,10.6,-3.17,-32.68
2025-03-29,8.6,3.8,6.5,0.0,2.75,19.4,9.3,-2.75,-35.43
2025-03-30,7.3,4.3,4.2,0.0,2.56,16.2,17.1,-2.56,-37.99
2025-03-31,10.3,3.5,7.5,0.0,3.59,17.8,9.5,-3.59,-41.58
2025-04-01,11.2,6.0,6.4,0.0,3.68,15.2,10.6,-3.68,-45.26
2025-04-02,12.6,6.6,9.3,0.0,2.71,18.3,13.1,-2.71,-47.97
2025-04-03,8.0,0.5,4.5,5.6,2.12,16.6,9.1,3.4799999999999995,-44.49
2025-04-04,8.2,2.1,5.8,0.0,3.6,19.5,11.7,-3.6,-48.09
2025-04-05,8.1,2.3,5.8,0.0,2.8,19.4,14.0,-2.8,-50.89
2025-04-06,5.1,0.4,2.8,0.0,3.58,16.6,12.3,-3.58,-54.47
2025-04-07,11.9,6.1,8.3,0.0,2.24,19.5,13.2,-2.24,-56.71
2025-04-08,10.7,4.5,8.4,0.0,3.71,20.0,12.1,-3.71,-60.42
2025-04-09,11.2,4.8,7.8,4.5,2.7,19.1,9.3,1.7999999999999998,-58.620000000000005
2025-04-10,13.4,7.5,7.3,0.0,3.71,19.2,15.0,-3.71,-62.330000000000005
2025-04-11,8.3,3.6,4.0,3.6,3.39,16.2,19.5,0.20999999999999996,-62.120000000000005
2025-04-12,9.7,4.8,7.2,0.0,2.95,17.9,14.5,-2.95,-65.07000000000001
2025-04-13,12.4,4.6,7.6,0.0,3.26,15.3,15.3,-3.26,-68.33000000000001
2025-04-14,8.8,3.6,6.4,0.0,3.85,15.5,16.9,-3.85,-72.18
2025-04-15,8.5,6.5,8.5,3.8,3.6,20.0,11.2,0.19999999999999973,-71.98
2025-04-16,11.9,5.9,10.4,0.0,3.87,16.6,20.3,-3.87,-75.85000000000001
2025-04-17,15.3,11.7,15.1,0.0,4.61,18.7,16.0,-4.61,-80.46000000000001
2025-04-18,12.6,4.7,10.2,0.5,2.88,19.0,20.5,-2.38,-82.84
2025-04-19,13.7,8.2,10.6,0.0,4.51,19.3,13.5,-4.51,-87.35000000000001
2025-04-20,15.3,7.8,9.8,0.0,3.79,20.0,21.4,-3.79,-91.14000000000001
2025-04-21,8.0,0.8,4.5,0.0,3.32,16.2,18.4,-3.32,-94.46000000000001
2025-04-22,13.1,9.7,10.4,0.6,3.14,15.2,17.9,-2.54,-97.00000000000001
2025-04-23,15.1,6.0,10.8,0.0,3.75,17.1,17.2,-3.75,-100.75000000000001
2025-04-24,17.9,13.1,18.3,0.0,4.34,15.7,15.9,-4.34,-105.09000000000002
2025-04-25,13.8,7.8,10.5,0.0,3.85,15.1,20.4,-3.85,-108.94000000000001
2025-04-26,16.3,10.7,12.2,2.7,4.71,16.8,17.4,-2.01,-110.95000000000002
2025-04-27,12.1,10.9,11.4,0.0,3.26,18.9,11.2,-3.26,-114.21000000000002
2025-04-28,12.9,4.5,8.2,0.2,4.02,17.8,14.0,-3.8199999999999994,-118.03000000000002
2025-04-29,18.8,13.9,15.3,0.0,3.43,16.6,16.9,-3.43,-121.46000000000002
2025-04-30,16.7,11.2,14.3,3.3,4.27,18.3,18.6,-0.9699999999999998,-122.43000000000002
2025-05-01,18.6,11.4,14.6,0.0,4.57,16.2,17.6,-4.57,-127.00000000000003
2025-05-02,16.1,8.0,9.7,5.2,3.94,15.1,21.6,1.2600000000000002,-125.74000000000002
2025-05-03,20.1,14.8,16.8,4.2,2.88,18.8,12.2,1.3200000000000003,-124.42000000000002
2025-05-04,12.0,3.2,8.6,7.5,4.32,18.1,18.7,3.1799999999999997,-121.24000000000001
2025-05-05,17.1,14.0,14.8,4.7,4.47,18.8,12.9,0.23000000000000043,-121.01
2025-05-06,21.5,18.8,19.8,0.0,4.48,15.2,20.8,-4.48,-125.49000000000001
2025-05-07,14.7,6.5,10.4,0.0,4.93,19.2,18.4,-4.93,-130.42000000000002
2025-05-08,13.6,9.5,11.9,1.3,3.8,18.1,20.1,-2.5,-132.92000000000002
2025-05-09,17.2,11.8,14.0,0.0,4.71,17.8,16.4,-4.71,-137.63000000000002
2025-05-10,14.7,9.8,12.4,0.0,4.99,18.1,22.9,-4.99,-142.62000000000003
2025-05-11,13.2,5.6,9.5,0.0,3.53,19.3,22.4,-3.53,-146.15000000000003
2025-05-12,18.0,10.5,14.5,0.0,4.61,17.9,21.1,-4.61,-150.76000000000005
2025-05-13,15.8,8.2,11.3,6.9,4.23,17.9,19.1,2.67,-148.09000000000006
2025-05-14,18.3,14.8,16.1,0.0,4.46,20.0,21.4,-4.46,-152.55000000000007
2025-05-15,14.6,9.9,12.0,0.0,4.7,18.8,17.6,-4.7,-157.25000000000006
2025-05-16,21.2,16.1,19.6,2.3,4.31,17.2,22.4,-2.01,-159.26000000000005
2025-05-17,15.1,10.9,12.8,0.0,4.24,18.5,24.9,-4.24,-163.50000000000006
2025-05-18,17.9,7.1,14.3,3.5,4.62,16.9,23.3,-1.12,-164.62000000000006
2025-05-19,22.0,16.6,17.9,0.0,4.08,16.1,18.0,-4.08,-168.70000000000007
2025-05-20,13.5,6.3,11.9,3.7,4.1,18.0,21.4,-0.39999999999999947,-169.10000000000008
2025-05-21,20.8,12.9,16.5,0.0,5.01,19.6,16.5,-5.01,-174.11000000000007
2025-05-22,24.9,15.2,19.9,0.0,4.12,19.6,22.2,-4.12,-178.23000000000008
2025-05-23,14.9,6.3,11.3,0.0,5.04,16.7,22.0,-5.04,-183.27000000000007
2025-05-24,22.6,15.5,16.8,0.7,4.96,17.6,15.1,-4.26,-187.53000000000006
2025-05-25,19.0,13.5,17.2,0.0,3.89,16.1,17.3,-3.89,-191.42000000000004
2025-05-26,20.0,16.4,18.9,0.0,4.43,20.0,20.0,-4.43,-195.85000000000005
2025-05-27,13.3,9.9,13.0,0.0,5.38,19.9,20.1,-5.38,-201.23000000000005
2025-05-28,18.1,10.6,12.9,0.0,4.31,18.2,17.4,-4.31,-205.54000000000005
2025-05-29,22.5,15.6,18.5,0.0,4.59,19.0,22.3,-4.59,-210.13000000000005
2025-05-30,20.9,13.1,18.0,0.0,5.07,18.6,22.0,-5.07,-215.20000000000005
2025-05-31,21.4,16.5,18.0,4.2,5.24,18.0,20.7,-1.04,-216.24000000000004
2025-06-01,19.7,14.7,18.4,0.0,4.74,15.3,19.1,-4.74,-220.98000000000005
2025-06-02,22.1,10.1,15.5,0.0,4.58,17.3,24.6,-4.58,-225.56000000000006
2025-06-03,21.5,14.7,18.3,0.3,5.6,18.4,26.4,-5.3,-230.86000000000007
2025-06-04,21.8,17.9,18.6,2.1,5.77,18.4,20.1,-3.6699999999999995,-234.53000000000006
2025-06-05,19.8,14.0,15.7,1.5,5.4,16.9,19.8,-3.9000000000000004,-238.43000000000006
2025-06-06,27.3,20.0,23.6,0.0,4.97,19.7,23.1,-4.97,-243.40000000000006
2025-06-07,22.8,16.0,19.5,0.0,4.53,15.8,20.6,-4.53,-247.93000000000006
2025-06-08,16.4,11.1,14.6,0.0,4.53,17.5,21.3,-4.53,-252.46000000000006
2025-06-09,24.0,20.4,20.3,0.0,5.21,18.5,24.0,-5.21,-257.6700000000001
2025-06-10,21.3,13.1,15.5,0.0,5.17,18.5,16.1,-5.17,-262.8400000000001
2025-06-11,25.9,18.5,20.9,2.4,5.67,18.2,25.8,-3.27,-266.11000000000007
2025-06-12,27.5,20.6,22.1,4.7,5.3,16.4,22.1,-0.5999999999999996,-266.7100000000001
2025-06-13,18.5,13.6,16.2,0.0,4.23,15.8,20.7,-4.23,-270.9400000000001
2025-06-14,23.2,18.3,21.7,2.7,5.51,18.2,21.7,-2.8099999999999996,-273.7500000000001
2025-06-15,22.9,16.8,20.1,0.1,4.49,18.0,21.8,-4.390000000000001,-278.1400000000001
2025-06-16,24.5,18.3,21.4,0.0,4.8,15.9,16.8,-4.8,-282.9400000000001
2025-06-17,29.4,21.7,24.7,0.0,5.12,18.5,26.5,-5.12,-288.0600000000001
2025-06-18,18.9,16.5,18.4,0.0,6.0,17.3,22.1,-6.0,-294.0600000000001
2025-06-19,22.2,14.0,16.9,0.0,6.55,18.3,23.3,-6.55,-300.6100000000001
2025-06-20,19.4,14.7,16.6,0.0,5.3,19.2,24.9,-5.3,-305.91000000000014
2025-06-21,19.3,13.8,16.9,0.0,4.91,15.8,18.9,-4.91,-310.82000000000016
2025-06-22,20.7,16.3,19.2,0.0,5.27,15.1,23.4,-5.27,-316.09000000000015
2025-06-23,21.0,14.5,20.5,0.0,5.44,18.9,21.2,-5.44,-321.53000000000014
2025-06-24,24.6,18.7,20.4,5.6,4.83,18.0,24.5,0.7699999999999996,-320.76000000000016
2025-06-25,25.2,19.6,22.1,0.0,5.89,18.5,15.6,-5.89,-326.65000000000015
2025-06-26,20.7,18.2,19.7,0.0,5.1,19.2,21.6,-5.1,-331.75000000000017
2025-06-27,25.1,16.7,24.0,9.2,5.23,19.0,20.1,3.969999999999999,-327.7800000000002
2025-06-28,21.4,19.1,18.9,0.0,5.31,19.8,23.2,-5.31,-333.0900000000002
2025-06-29,33.4,24.7,27.9,0.0,5.18,17.7,23.3,-5.18,-338.2700000000002
2025-06-30,24.3,20.4,21.7,1.5,5.38,17.4,19.7,-3.88,-342.1500000000002
2025-07-01,18.0,12.7,17.3,8.8,4.65,17.0,19.7,4.15,-338.0000000000002
2025-07-02,19.3,14.6,16.7,3.7,4.67,15.8,21.4,-0.9699999999999998,-338.97000000000025
2025-07-03,23.9,16.8,21.4,7.0,4.39,17.9,19.0,2.6100000000000003,-336.36000000000024
2025-07-04,18.2,15.3,19.3,16.5,5.15,16.4,24.2,11.35,-325.0100000000002
2025-07-05,25.0,22.0,22.1,0.0,5.31,19.6,20.5,-5.31,-330.3200000000002
2025-07-06,24.0,18.1,21.4,13.0,5.14,17.9,12.8,7.86,-322.4600000000002
2025-07-07,23.8,17.1,19.8,0.0,5.73,18.0,20.4,-5.73,-328.1900000000002
2025-07-08,23.2,15.8,17.5,1.9,4.88,16.8,18.3,-2.98,-331.17000000000024
2025-07-09,20.1,13.2,15.5,0.0,5.21,15.3,16.5,-5.21,-336.3800000000002
2025-07-10,21.3,15.9,18.7,3.1,4.31,15.2,17.6,-1.2099999999999995,-337.5900000000002
2025-07-11,23.9,20.1,22.6,0.0,4.65,17.1,21.6,-4.65,-342.2400000000002
2025-07-12,27.5,21.2,20.6,0.0,5.17,15.4,25.2,-5.17,-347.4100000000002
2025-07-13,19.3,13.2,16.2,0.0,5.24,18.0,22.0,-5.24,-352.6500000000002
2025-07-14,23.5,17.8,20.5,5.7,4.65,19.4,19.2,1.0499999999999998,-351.6000000000002
2025-07-15,24.1,19.7,21.1,0.0,4.74,19.4,22.3,-4.74,-356.3400000000002
2025-07-16,20.6,15.9,17.3,0.0,4.0,18.3,19.5,-4.0,-360.3400000000002
2025-07-17,23.2,19.2,20.4,0.0,4.56,16.1,18.7,-4.56,-364.9000000000002
2025-07-18,22.2,18.0,20.1,1.2,5.17,19.3,17.2,-3.9699999999999998,-368.87000000000023
2025-07-19,18.6,11.7,16.4,0.9,4.99,19.4,15.3,-4.09,-372.9600000000002
2025-07-20,23.9,20.4,20.9,0.0,4.93,16.0,19.3,-4.93,-377.8900000000002
2025-07-21,23.7,16.8,21.5,0.0,4.68,18.7,20.8,-4.68,-382.5700000000002
2025-07-22,24.9,20.5,23.0,0.0,4.64,16.4,20.0,-4.64,-387.2100000000002
2025-07-23,26.0,18.7,22.9,0.0,4.28,19.0,18.9,-4.28,-391.4900000000002
2025-07-24,18.1,12.4,15.5,0.0,4.94,20.0,17.2,-4.94,-396.4300000000002
2025-07-25,22.1,14.3,16.8,1.7,4.78,15.2,21.7,-3.08,-399.51000000000016
2025-07-26,20.1,18.6,21.1,0.0,4.79,19.5,15.8,-4.79,-404.3000000000002
2025-07-27,25.7,18.7,21.0,0.6,4.25,18.1,22.0,-3.65,-407.95000000000016
2025-07-28,25.9,20.4,21.0,0.0,3.41,19.9,16.5,-3.41,-411.3600000000002
2025-07-29,30.8,28.6,30.9,0.0,5.01,17.3,17.2,-5.01,-416.3700000000002
2025-07-30,23.5,17.7,21.0,0.0,4.2,19.2,14.9,-4.2,-420.57000000000016
2025-07-31,25.1,21.1,22.6,2.1,3.98,15.3,17.7,-1.88,-422.45000000000016
2025-08-01,22.9,20.8,22.0,20.4,4.73,16.7,22.0,15.669999999999998,-406.78000000000014
2025-08-02,22.9,16.2,21.0,8.5,4.16,15.3,20.4,4.34,-402.44000000000017
2025-08-03,19.4,16.0,18.1,3.9,4.85,19.9,21.7,-0.9499999999999997,-403.39000000000016
2025-08-04,26.8,19.3,21.2,3.4,4.6,19.1,20.2,-1.1999999999999997,-404.59000000000015
2025-08-05,20.9,13.1,16.5,0.0,4.61,19.3,15.2,-4.61,-409.20000000000016
2025-08-06,22.9,17.1,18.0,0.9,3.55,19.7,17.3,-2.65,-411.85000000000014
2025-08-07,21.3,14.0,17.2,2.0,4.81,15.4,15.8,-2.8099999999999996,-414.66000000000014
2025-08-08,20.1,16.0,18.8,0.0,4.3,16.9,22.0,-4.3,-418.96000000000015
2025-08-09,27.6,22.1,25.4,0.0,3.95,15.4,14.3,-3.95,-422.91000000000014
2025-08-10,16.5,9.8,12.8,0.0,4.18,16.1,20.4,-4.18,-427.09000000000015
2025-08-11,21.5,15.7,20.3,1.0,3.18,16.1,20.2,-2.18,-429.27000000000015
2025-08-12,17.4,8.1,13.3,0.0,4.24,17.3,22.9,-4.24,-433.51000000000016
2025-08-13,19.3,16.0,16.6,9.6,3.49,16.3,16.0,6.109999999999999,-427.40000000000015
2025-08-14,23.6,16.9,21.2,5.1,3.29,15.5,19.2,1.8099999999999996,-425.59000000000015
2025-08-15,22.1,13.5,18.0,0.0,3.17,15.8,23.7,-3.17,-428.76000000000016
2025-08-16,18.1,8.2,14.4,8.2,4.46,15.7,14.9,3.7399999999999993,-425.02000000000015
2025-08-17,17.9,11.4,15.4,0.0,3.55,19.9,11.9,-3.55,-428.57000000000016
2025-08-18,24.2,14.5,19.5,0.0,4.59,18.8,10.7,-4.59,-433.16000000000014
2025-08-19,16.5,14.6,15.1,0.0,3.52,19.8,18.3,-3.52,-436.6800000000001
2025-08-20,21.7,16.3,17.8,0.0,2.9,17.2,10.4,-2.9,-439.5800000000001
2025-08-21,21.1,13.1,17.2,1.3,3.16,16.4,14.7,-1.86,-441.4400000000001
2025-08-22,17.5,15.3,14.9,0.0,4.3,19.0,17.0,-4.3,-445.7400000000001
2025-08-23,26.7,21.7,23.2,0.0,3.56,16.6,16.0,-3.56,-449.3000000000001
2025-08-24,19.6,15.0,18.5,0.0,3.33,16.5,16.6,-3.33,-452.6300000000001
2025-08-25,14.8,3.6,10.4,0.0,3.64,16.2,15.8,-3.64,-456.2700000000001
2025-08-26,19.6,17.3,16.9,15.9,3.77,15.6,18.7,12.13,-444.1400000000001
2025-08-27,16.4,9.1,14.2,0.0,4.04,16.3,11.9,-4.04,-448.1800000000001
2025-08-28,23.1,13.1,18.6,8.0,4.17,16.8,12.5,3.83,-444.35000000000014
2025-08-29,15.4,12.0,13.5,0.0,3.22,18.4,12.0,-3.22,-447.57000000000016
2025-08-30,16.2,16.0,15.4,0.0,2.7,15.3,16.6,-2.7,-450.27000000000015
2025-08-31,17.7,16.1,17.1,1.3,3.12,16.1,16.7,-1.82,-452.09000000000015
2025-09-01,21.9,15.8,18.0,0.0,3.41,19.0,15.1,-3.41,-455.50000000000017
2025-09-02,12.7,9.5,11.6,5.7,2.76,15.7,17.1,2.9400000000000004,-452.5600000000002
2025-09-03,19.7,12.3,14.0,0.0,2.72,16.7,9.8,-2.72,-455.2800000000002
2025-09-04,13.3,11.6,13.5,0.0,3.33,19.3,18.2,-3.33,-458.6100000000002
2025-09-05,18.3,10.2,12.8,0.0,3.09,15.8,17.5,-3.09,-461.70000000000016
2025-09-06,23.2,17.0,19.8,0.0,3.09,15.4,15.0,-3.09,-464.79000000000013
2025-09-07,18.4,12.5,15.6,0.0,2.65,17.4,17.9,-2.65,-467.4400000000001
2025-09-08,12.6,6.3,10.4,15.8,2.88,16.5,7.4,12.920000000000002,-454.5200000000001
2025-09-09,20.4,13.3,16.8,2.1,2.49,17.8,10.6,-0.3900000000000001,-454.9100000000001
2025-09-10,23.1,14.7,20.2,7.0,3.35,19.0,9.7,3.65,-451.2600000000001
2025-09-11,21.4,13.6,16.8,5.8,3.38,15.7,13.9,2.42,-448.8400000000001
2025-09-12,12.1,4.4,8.9,0.0,1.9,17.9,8.4,-1.9,-450.74000000000007
2025-09-13,15.1,7.2,11.8,0.0,2.31,17.5,13.6,-2.31,-453.05000000000007
2025-09-14,19.4,14.2,16.9,0.0,1.99,15.7,15.2,-1.99,-455.0400000000001
2025-09-15,13.7,9.9,10.8,0.5,2.37,18.1,13.0,-1.87,-456.9100000000001
2025-09-16,17.5,12.4,14.1,0.0,2.61,16.4,11.6,-2.61,-459.5200000000001
2025-09-17,15.3,9.5,14.9,0.0,1.88,17.4,7.6,-1.88,-461.4000000000001
2025-09-18,10.5,5.1,9.6,7.5,2.1,15.4,7.8,5.4,-456.0000000000001
2025-09-19,16.1,10.4,12.0,0.0,2.02,17.3,13.9,-2.02,-458.0200000000001
2025-09-20,5.5,-2.2,2.2,0.0,2.58,16.5,12.2,-2.58,-460.6000000000001
2025-09-21,11.4,5.3,8.7,8.6,2.47,19.1,9.6,6.129999999999999,-454.4700000000001
2025-09-22,13.8,8.6,10.8,0.0,2.03,15.3,8.2,-2.03,-456.50000000000006
2025-09-23,11.1,3.2,7.6,0.0,2.44,17.1,3.2,-2.44,-458.94000000000005
2025-09-24,18.3,13.2,16.1,3.9,2.03,17.3,5.9,1.87,-457.07000000000005
2025-09-25,8.5,1.7,6.7,0.0,2.13,18.6,14.6,-2.13,-459.20000000000005
2025-09-26,12.7,5.5,9.4,0.0,3.06,17.9,4.8,-3.06,-462.26000000000005
2025-09-27,12.5,8.4,11.0,0.0,2.85,18.3,9.0,-2.85,-465.11000000000007
2025-09-28,18.3,9.3,14.7,0.0,1.49,18.9,11.3,-1.49,-466.6000000000001
2025-09-29,6.3,3.5,5.8,0.0,2.51,19.3,4.3,-2.51,-469.11000000000007
2025-09-30,18.0,10.4,13.4,0.0,2.46,16.6,8.4,-2.46,-471.57000000000005
2025-10-01,13.5,7.6,9.8,0.0,1.43,17.7,10.5,-1.43,-473.00000000000006
2025-10-02,10.0,3.9,6.6,1.4,2.38,19.2,7.5,-0.98,-473.9800000000001
2025-10-03,15.2,9.8,10.7,0.0,2.69,19.9,15.8,-2.69,-476.6700000000001
2025-10-04,15.2,6.9,9.7,0.0,1.32,19.4,2.0,-1.32,-477.99000000000007
2025-10-05,11.6,3.5,7.1,0.0,1.38,16.9,10.0,-1.38,-479.37000000000006
2025-10-06,9.2,6.1,8.9,0.9,2.31,16.0,6.1,-1.4100000000000001,-480.7800000000001
