"","row_no","x","y"
"174188",174188,587.309139102405,-540.93778503384
"784334",784334,327.856566053938,637.754469614417
"80211",80211,903.603710849702,-1454.97665772358
"819796",819796,426.102014744698,19.8214097882667
"429882",429882,559.431424782982,-415.890254194202
"193578",193578,483.803510368343,1671.36979874429
"672522",672522,495.780524099615,-590.351633906303
"379972",379972,621.129760136743,-811.022966950401
"756079",756079,502.292226430796,-293.071608053557
"757511",757511,483.378103098263,-726.497708791741
"642209",642209,422.238992446449,-427.483534229053
"236331",236331,323.381407654849,-1045.7246425613
"684142",684142,133.307674687341,1646.59596525725
"605983",605983,391.972068660919,-636.6432371206
"48309",48309,767.328008726469,3265.75650722293
"850926",850926,325.856354394372,402.72383887719
"296020",296020,216.931285571544,-866.147929912638
"306793",306793,471.419464890959,-300.90318965223
"985743",985743,507.422093745786,-164.02976086892
"835832",835832,446.076714192276,-392.082148102608
"502520",502520,409.176658178737,465.030541288352
"550427",550427,671.158248634697,-2743.41391176892
"140085",140085,747.015026604208,-473.269508220907
"625774",625774,313.28105604702,-408.66788993115
"467378",467378,668.23500762394,-1057.03510907554
"579177",579177,452.399267691711,-45.5510386934576
"169606",169606,750.060224243287,119.335788784913
"405193",405193,876.47208840048,500.488213918584
"956679",956679,581.519508963784,1220.19772468607
"261488",261488,395.466610740417,84.2237724918595
"163091",163091,597.806316186521,-577.761767117092
"633251",633251,418.895490058015,-1023.25555971202
"887657",887657,451.642802265921,1722.87765555778
"358114",358114,597.198990802574,569.757100948603
"296633",296633,437.324954835092,-172.28250682245
"670289",670289,479.989493523874,-38.9131474568051
"821919",821919,403.15769902949,-1560.92163132588
"323950",323950,337.326796971687,-251.550284271034
"101179",101179,573.380577279463,3757.93665653235
"86084",86084,290.975492705643,33.4684967182649
"427586",427586,705.327285297358,-669.866981491095
"501156",501156,727.039391136002,-413.500007912321
"475515",475515,510.775049798328,-1025.15993718351
"621258",621258,956.05725057447,-608.762176729262
"767780",767780,381.329618129941,-262.485178839195
"20920",20920,457.992493850117,-1249.35833577681
"352485",352485,692.252538087521,4.89074145530549
"955442",955442,154.733513089951,267.645927567094
"186066",186066,223.776536102961,23.5129419514835
"967163",967163,810.521600629619,-128.036150797653
"678282",678282,152.1253881606,2502.7531966209
"750144",750144,580.709162365839,2210.02686708475
"547203",547203,467.639100325375,737.734271521781
"4892",4892,436.413854540383,-2250.64860869448
"23217",23217,391.352044108441,-391.001996571517
"374195",374195,709.222732780814,-429.774295899434
"140187",140187,142.822383407805,0.418365960161545
"569530",569530,655.771776440961,-4291.2745858948
"958628",958628,907.431914450363,-230.771466081877
"574674",574674,150.252953051791,233.496559411983
"621918",621918,730.989875522231,-672.036525259273
"874384",874384,857.483964715648,-465.42174293292
"845454",845454,701.285444208352,-557.128136457217
"868800",868800,570.096915314455,-268.568229528766
"48306",48306,838.278318068342,-462.735849858519
"858152",858152,949.955207708303,-456.943761263408
"286520",286520,543.699006340385,-3.68643060886546
"563406",563406,407.155066527202,-1186.71787146631
"29109",29109,650.918160658,-427.8851731715
"785836",785836,846.741108532126,-4089.39168577357
"545393",545393,469.402006059459,538.723880210071
"5765",5765,733.847043387761,-600.701478234324
"601202",601202,575.267474230747,-455.487099224139
"15385",15385,20.1885456603831,-824.159760483951
"333207",333207,609.789997247138,-1385.25453222
"991297",991297,479.808570552346,-195.175951427293
"178237",178237,748.811333431146,-698.973626340607
"348166",348166,472.033514936145,1499.1812455223
"694590",694590,498.433041225643,-262.512713877877
"237478",237478,198.556793966927,1391.36721434201
"318762",318762,409.978612539887,799.235757504801
"575439",575439,237.817656275345,579.370055091519
"439212",439212,510.609631402141,-288.097501134513
"431585",431585,411.932586285746,-3568.91669900532
"296246",296246,640.60778908504,-951.557417575644
"762576",762576,472.010925384406,233.20920798553
"229764",229764,375.638298728132,2054.03476388796
"489389",489389,412.767493827108,-345.326064329934
"258391",258391,809.994620699119,-872.043514235804
"292409",292409,494.637439702186,-103.582258552817
"628463",628463,771.413232647372,-3310.88150930808
"210617",210617,266.453013631433,-556.869564979571
"845535",845535,584.093501771356,413.939155602489
"811713",811713,297.461026785631,-361.376751954589
"782736",782736,325.664046056925,-663.836565609351
"975382",975382,332.846972386915,-115.91885767765
"958415",958415,523.056167571804,1487.49264759192
"559602",559602,409.969597165479,-206.814869113277
"540945",540945,749.315562656456,141.437729821234
"927583",927583,247.868387798766,-57.9664784971687
"857537",857537,242.48374425156,-185.029021316381
"487151",487151,451.494453035999,-1188.55217771875
"852835",852835,511.289745799436,-467.721399763328
"565559",565559,328.925225943341,1009.53014267466
"650013",650013,885.78054162994,-2133.09909382103
"398672",398672,347.46772531384,97.5113639347719
"362051",362051,399.349515946996,2262.44643264702
"130006",130006,53.5042840364037,176.671122749531
"132545",132545,479.865330903432,1310.43560760171
"521480",521480,302.530085753403,-518.033816026785
"687049",687049,431.236665208995,22.6245845550818
"155453",155453,636.57398698367,-1218.56111898148
"609422",609422,345.631080060048,-5462.78498280765
"566410",566410,407.604766022638,-1522.0108907884
"337739",337739,768.582224975119,348.052550152898
"405932",405932,358.088849302044,-181.157900418149
"685968",685968,584.787218322484,315.740053501729
"610516",610516,771.443495983392,202.685918072652
"937082",937082,495.084249724157,-260.891290901734
"424366",424366,913.083193720504,-3695.25409219714
"641793",641793,694.366475646638,-243.772841899028
"392706",392706,574.595078899238,402.411828561392
"611569",611569,675.508318334957,-852.831720088011
"356915",356915,837.280672650494,-619.110352220369
"753532",753532,857.579739972648,-155.728190711297
"66685",66685,247.270491233508,-45.9675149155397
"593065",593065,259.621916767392,-51.7632057427803
"638432",638432,640.619461669786,-315.983766515734
"479680",479680,606.072188149314,-3131.44242518468
"314413",314413,709.143917161672,-2702.409332309
"404532",404532,504.791362261969,-3579.50807755008
"882732",882732,898.027415209841,10.6755279611951
"960733",960733,598.544881062038,-504.996089255057
"309767",309767,391.21684686756,-638.458562635473
"826775",826775,561.788576065985,-305.952163163914
"26463",26463,229.246551866298,-2551.91638267537
"799971",799971,454.830329504599,31.6691694628696
"929401",929401,400.352387521415,613.550289678505
"628650",628650,284.31096702883,398.095023866017
"325934",325934,554.750304980589,3968.18088421849
"240343",240343,598.500497785735,-355.055734216487
"624730",624730,516.136121735595,-484.39970314419
"994328",994328,330.224383379633,-216.067857155288
"407577",407577,731.185299209886,-1529.26578974217
"660350",660350,460.178644271086,-534.379667412607
"726587",726587,491.330590923359,-608.895575079027
"266426",266426,550.115249872012,6327.58392664031
"247085",247085,733.469976383616,-356.431242807343
"930292",930292,520.762461754672,-649.667071456117
"881944",881944,692.264707281409,-1042.5909297362
"446466",446466,686.087116704178,-1584.41659872943
"799652",799652,436.232687222032,228.527165837818
"212057",212057,937.399918250598,-883.656421171364
"659237",659237,405.793314436968,-1092.23304111063
"402492",402492,265.538178877328,-21.0411869018225
"829241",829241,561.822620411042,850.758295256733
"120410",120410,794.438692629571,4119.68054437589
"749618",749618,382.054431651734,-278.963644348838
"777133",777133,702.444476341271,-95.9270508175661
"35103",35103,494.209608791672,-817.437127188673
"731739",731739,801.384926247543,-485.106781144455
"55015",55015,221.881696165982,2003.12468905772
"872701",872701,332.901026504627,-2364.22341390367
"910772",910772,949.851781397779,-539.541397191151
"253838",253838,274.155863735228,-629.381294095529
"558948",558948,562.738729981118,2671.21318636927
"388113",388113,511.018725557554,-297.438721273421
"585845",585845,527.067238483367,-482.363562012294
"244820",244820,656.602096305267,-2677.93207590888
"53730",53730,340.969214901305,29.6712628147227
"875852",875852,373.68829134445,-11249.5239783199
"238161",238161,289.226291661275,-11.4305299074642
"65844",65844,389.590407833105,-306.102381760154
"907341",907341,813.918618816245,-1093.02564125601
"1784",1784,167.164958566189,14.5136612681117
"726388",726388,636.184708062062,-339.241337577246
"445997",445997,599.165658140514,-472.661444160093
"782866",782866,448.275298410326,-475.032552968166
"325915",325915,442.37888212858,-141.722320827744
"509986",509986,489.117224680509,80.9039364795931
"394334",394334,426.371649699336,1378.04792024736
"596105",596105,661.512016596653,-1095.13640093133
"329904",329904,332.43447583446,-1563.48513317579
"41355",41355,943.980423695573,2203.50970714305
"325571",325571,375.919037139953,-1919.50569810926
"761815",761815,524.563819555283,-1200.15521155725
"495314",495314,474.279834674755,-1825.3961063803
"972397",972397,636.124564232075,99.0325085258684
"405325",405325,533.421651988364,1268.60008186271
"952461",952461,178.058363032093,-614.781238101617
"454107",454107,527.829477687904,223.891161925975
"152144",152144,604.837175555608,-5359.54394884854
"709133",709133,720.938703337941,-1457.02684178392
"501441",501441,375.406849839986,-2662.70715460632
"28767",28767,663.238995011817,53.6018670227529
"892741",892741,560.168215387592,3873.24456408488
"300383",300383,544.156140102794,-492.427775327892
"629885",629885,851.509552676892,315.988179281797
"475630",475630,783.862070411009,421.015114268473
"709895",709895,387.604773282599,-402.950635781001
"914368",914368,501.593020138105,2484.57484774736
"391777",391777,321.197782865213,-1356.3187084364
"154919",154919,473.74615284013,-251.736775989363
"589767",589767,817.726762282575,-1047.11657813263
"798972",798972,390.364816859676,1039.40308374608
"535501",535501,566.917263055563,2034.58347996027
"532185",532185,235.860935693595,-2034.24433163794
"749651",749651,739.682844021592,-541.406548899055
"132057",132057,372.540536151648,-9.28677866541145
"455250",455250,222.284214031437,574.332190113225
"195900",195900,455.727277039402,96.0908483640418
"187028",187028,720.351100275728,-449.019617728753
"787115",787115,125.373351219707,674.516136165248
"571723",571723,750.656756126449,-2418.68929537506
"121617",121617,368.938036136807,642.326537975442
"59765",59765,490.253963045879,-1499.1869557811
"850636",850636,463.697986361673,-752.426983327866
"878226",878226,161.034213590205,495.365670575322
"867724",867724,123.683866321945,4831.78364934251
"992650",992650,521.756724819048,-2776.79882167425
"470688",470688,422.900475950269,414.00285648876
"525332",525332,318.656585190486,-1530.81632880582
"888594",888594,258.489953007049,-196.398884188506
"761985",761985,325.145765094102,-92.4834045483276
"531957",531957,713.620337086886,-2558.74962971741
"159092",159092,418.454184544739,7.55181436774529
"768441",768441,489.531159897098,-108.408138243441
"539256",539256,840.115161119767,-5067.09420516744
"292752",292752,923.348623219648,-1050.60817655281
"843312",843312,425.95799809358,-1018.49544853013
"834910",834910,480.276916314069,-1101.81103421465
"268278",268278,756.69780909567,-402.609330767491
"819309",819309,727.788054077537,-1494.74549082112
"978840",978840,115.100718933591,-435.989338902136
"903261",903261,311.588984128925,-1885.25755561256
"367327",367327,559.457816293793,3392.70720851354
"781347",781347,390.935956598046,-27.080000557835
"286855",286855,640.130965047221,-312.527387842229
"316434",316434,503.677447209353,-470.858152823326
"710461",710461,500.381889724407,-185.972659532558
"28681",28681,688.383720893002,128.248771124592
"925525",925525,725.64977916757,-424.64332097173
"2067",2067,561.586647405526,1297.40540800768
"131418",131418,246.247950231985,-70.166746711343
"194951",194951,67.8159228792658,-362.53393285611
"768597",768597,108.562222241931,45.0548734562606
"267107",267107,692.041695407888,507.759204039078
"275557",275557,110.116156846927,-754.277347054282
"483570",483570,515.832305093433,-15.4468599020214
"314835",314835,594.703516121718,3164.84345065999
"82136",82136,233.040139077458,-1972.3621648774
"871821",871821,700.646064428967,-901.64873793562
